arquivo,pico_id,A,mu,k_global,theta_global
Bag178,1,16.257927668098404,7.0854927831812144,10.297582813887711,0.04877815347574498
Bag178,2,38.54865549802392,9.721323637576608,10.297582813887711,0.04877815347574498
Bag178,3,7.834618910837678,7.564081208642974,10.297582813887711,0.04877815347574498
Bag178_2.5x,1,4.187560999979021,7.169359563057565,10.297582813887711,0.04877815347574498
Bag178_2.5x,2,11.346724481205005,9.68648924835044,10.297582813887711,0.04877815347574498
Bag178_2.5x,3,2.0429579726212395,7.673013197106375,10.297582813887711,0.04877815347574498
Bag178_4x,1,3.361191262925109,7.189494366593728,10.297582813887711,0.04877815347574498
Bag178_4x,2,9.410471933680437,9.685677226013524,10.297582813887711,0.04877815347574498
Bag178_4x,3,1.6515495174305057,7.695556104668303,10.297582813887711,0.04877815347574498
Bag32,1,31.92879321686898,9.723460789918988,10.297582813887711,0.04877815347574498
Bag32_2.5x,1,11.134877163016629,9.69255392100735,10.297582813887711,0.04877815347574498
Bag32_4x,1,7.783433417627533,9.685490271423259,10.297582813887711,0.04877815347574498
EnzFul,1,35.094930512875344,9.729692309569678,10.297582813887711,0.04877815347574498
EnzFul,2,25.359223524699853,10.958709044400562,10.297582813887711,0.04877815347574498
EnzFul,3,0.00956470094548508,26.660109365525383,10.297582813887711,0.04877815347574498
Enz_16x,1,0.2538936075183585,8.87920205820965,10.297582813887711,0.04877815347574498
Enz_16x,2,2.440279795193818,9.680069534871656,10.297582813887711,0.04877815347574498
Enz_16x,3,0.5120191945214138,11.760632370653417,10.297582813887711,0.04877815347574498
Enz_2.5x,1,12.859629515608221,9.697485963489179,10.297582813887711,0.04877815347574498
Enz_2.5x,2,9.151905682001061,10.957628970582087,10.297582813887711,0.04877815347574498
Enz_2.5x,3,0.007571738622463172,0.6519557029365697,10.297582813887711,0.04877815347574498
Enz_4x,1,8.80634685165814,9.691943469445334,10.297582813887711,0.04877815347574498
Enz_4x,2,6.278670253087908,10.959215294449146,10.297582813887711,0.04877815347574498
Enz_4x,3,0.02003992702945738,5.315666740976263,10.297582813887711,0.04877815347574498
