time,signal,baseline_protected,corr
0.0,-0.5804255,-1.0910426548987076,0.5106171548987075
0.0166666666666666,-0.22468086,-1.091594091146286,0.866913231146286
0.0333333333333333,-0.08893617,-1.0921455273928522,1.0032093573928522
0.05,-0.037446808,-1.0926969636356605,1.0552501556356604
0.0666666666666666,-0.0140425535,-1.0932483998699576,1.0792058463699576
0.0833333333333333,-0.009361702,-1.0937998360888808,1.0844381340888807
0.1,-0.004680851,-1.0943512722834083,1.0896704212834083
0.1166666666666666,0.0,-1.094902708442349,1.094902708442349
0.1333333333333333,0.0,-1.0954541445523314,1.0954541445523314
0.15,0.0,-1.0960055805977942,1.0960055805977942
0.1666666666666666,-0.004680851,-1.096557016560985,1.091876165560985
0.1833333333333333,-0.009361702,-1.097108452421959,1.087746750421959
0.2,-0.0140425535,-1.0976598881585868,1.083617334658587
0.2166666666666666,-0.023404256,-1.0982113237465632,1.074807067746563
0.2333333333333333,-0.028085107,-1.0987627591594147,1.0706776521594146
0.25,-0.037446808,-1.099314194349172,1.061867386349172
0.2666666666666666,-0.042127658,-1.0998656292464521,1.057737971246452
0.2833333333333333,-0.05148936,-1.1004170637606356,1.0489277037606357
0.3,-0.056170214,-1.1009684977799488,1.0447982837799488
0.3166666666666666,-0.06553192,-1.1015199311716395,1.0359880111716395
0.3333333333333333,-0.074893616,-1.1020713637820596,1.0271777477820596
0.35,-0.079574466,-1.1026227954368417,1.0230483294368418
0.3666666666666666,-0.08893617,-1.1031742259410753,1.0142380559410753
0.3833333333333333,-0.09361702,-1.1037256550793884,1.0101086350793884
0.4,-0.10297872,-1.1042770826161241,1.001298362616124
0.4166666666666667,-0.10765957,-1.1048285082954235,0.9971689382954234
0.4333333333333333,-0.11702128,-1.1053799318414015,0.9883586518414015
0.45,-0.12638298,-1.10593135295823,0.9795483729582299
0.4666666666666667,-0.13106383,-1.1064827713303134,0.9754189413303134
0.4833333333333333,-0.14042553,-1.1070341866224658,0.9666086566224658
0.5,-0.14510638,-1.1075855984799925,0.9624792184799925
0.5166666666666667,-0.15446809,-1.1081370065288672,0.9536689165288672
0.5333333333333333,-0.16382979,-1.1086884103758134,0.9448586203758135
0.55,-0.16851063,-1.1092398096084821,0.9407291796084821
0.5666666666666667,-0.17787234,-1.109791203795627,0.931918863795627
0.5833333333333334,-0.18255319,-1.1103425924871884,0.9277894024871883
0.6,-0.18723404,-1.1108939752144675,0.9236599352144675
0.6166666666666667,-0.19659574,-1.1114453514902096,0.9148496114902096
0.6333333333333333,-0.2012766,-1.1119967208086867,0.9107201208086867
0.65,-0.2106383,-1.112548082645875,0.9019097826458748
0.6666666666666666,-0.21531914,-1.1130994364595361,0.8977802964595362
0.6833333333333333,-0.22468086,-1.1136507816893935,0.8889699216893935
0.7,-0.23404256,-1.1142021177572161,0.8801595577572161
0.7166666666666667,-0.2387234,-1.1147534440669953,0.8760300440669953
0.7333333333333333,-0.2480851,-1.115304760005119,0.867219660005119
0.75,-0.2574468,-1.1158560649404548,0.8584092649404548
0.7666666666666667,-0.26212767,-1.116407358224526,0.854279688224526
0.7833333333333333,-0.27148935,-1.1169586391916884,0.8454692891916884
0.8,-0.27617022,-1.1175099071592123,0.8413396871592123
0.8166666666666667,-0.2855319,-1.1180611614274591,0.8325292614274591
0.8333333333333334,-0.29489362,-1.1186124012799643,0.8237187812799642
0.85,-0.29957446,-1.1191636259836124,0.8195891659836124
0.8666666666666667,-0.30893618,-1.1197148347888135,0.8107786547888135
0.8833333333333333,-0.31829786,-1.1202660269295854,0.8019681669295855
0.9,-0.3229787,-1.1208172016237319,0.7978385016237319
0.9166666666666666,-0.33234042,-1.121368358073018,0.7890279380730181
0.9333333333333332,-0.33702126,-1.1219194954632532,0.7848982354632532
0.95,-0.34170213,-1.1224706129644666,0.7807684829644665
0.9666666666666668,-0.34638298,-1.1230217097309896,0.7766387297309896
0.9833333333333332,-0.3557447,-1.1235727849015391,0.7678280849015391
1.0,-0.36042553,-1.1241238375992988,0.7636983075992988
1.0166666666666666,-0.36510637,-1.1246748669320967,0.7595684969320967
1.0333333333333334,-0.36978722,-1.125225871992488,0.7554386519924878
1.05,-0.3744681,-1.1257768518578364,0.7513087518578363
1.0666666666666669,-0.3744681,-1.1263278055903967,0.7518597055903966
1.0833333333333333,-0.37914893,-1.1268787322373974,0.7477298022373975
1.1,-0.37914893,-1.1274296308310296,0.7482807008310297
1.1166666666666667,-0.37914893,-1.1279805003885297,0.7488315703885298
1.1333333333333333,-0.37914893,-1.128531339912169,0.7493824099121691
1.15,-0.37914893,-1.1290821483892426,0.7499332183892427
1.1666666666666667,-0.37914893,-1.1296329247920573,0.7504839947920574
1.1833333333333331,-0.3744681,-1.1301836680779223,0.7557155680779222
1.2,-0.36978722,-1.1307343771891367,0.7609471571891366
1.2166666666666666,-0.36042553,-1.1312850510528865,0.7708595210528865
1.2333333333333334,-0.3557447,-1.1318356885811385,0.7760909885811385
1.25,-0.34638298,-1.1323862886704428,0.7860033086704428
1.2666666666666666,-0.33702126,-1.1329368502018287,0.7959155902018287
1.2833333333333334,-0.3229787,-1.133487372040606,0.8105086720406061
1.3,-0.31361702,-1.1340378530361659,0.8204208330361659
1.3166666666666669,-0.29957446,-1.1345882920216903,0.8350138320216903
1.3333333333333333,-0.29021275,-1.1351386878139533,0.8449259378139533
1.35,-0.27617022,-1.1356890392130292,0.8595188192130292
1.3666666666666667,-0.26212767,-1.1362393450020936,0.8741116750020936
1.3833333333333333,-0.25276595,-1.1367896039471317,0.8840236539471317
1.4,-0.24340425,-1.1373398147966471,0.8939355647966472
1.4166666666666667,-0.23404256,-1.1378899762814638,0.9038474162814638
1.4333333333333331,-0.22468086,-1.1384400871145264,0.9137592271145264
1.45,-0.22,-1.1389901459907033,0.9189901459907033
1.4666666666666666,-0.21531914,-1.1395401515865875,0.9242210115865875
1.4833333333333334,-0.2106383,-1.1400901025603927,0.9294518025603926
1.5,-0.2106383,-1.140639997551848,0.9300016975518479
1.5166666666666666,-0.2106383,-1.1411898351820942,0.9305515351820941
1.5333333333333334,-0.2106383,-1.141739614053673,0.931101314053673
1.55,-0.21531914,-1.1422893327505155,0.9269701927505155
1.5666666666666669,-0.22,-1.1428389898379312,0.9228389898379312
1.5833333333333333,-0.2293617,-1.1433885838626912,0.9140268838626912
1.6,-0.2387234,-1.1439381133531097,0.9052147133531097
1.6166666666666667,-0.2480851,-1.1444875768192206,0.8964024768192207
1.6333333333333333,-0.2574468,-1.1450369727529532,0.8875901727529533
1.65,-0.27148935,-1.145586299628308,0.874096949628308
1.6666666666666667,-0.2855319,-1.1461355559015338,0.8606036559015338
1.6833333333333331,-0.29957446,-1.146684740011399,0.8471102800113991
1.7,-0.31361702,-1.1472338503794597,0.8336168303794597
1.7166666666666666,-0.33234042,-1.1477828854103296,0.8154424654103296
1.7333333333333334,-0.34638298,-1.148331843491951,0.8019488634919509
1.75,-0.36042553,-1.1488807229959568,0.7884551929959568
1.7666666666666666,-0.37914893,-1.1494295222779425,0.7702805922779425
1.7833333333333334,-0.39787233,-1.149978239677734,0.752105909677734
1.8,-0.41191489,-1.150526873519752,0.738611983519752
1.8166666666666669,-0.43063828,-1.151075422113374,0.7204371421133742
1.8333333333333333,-0.4493617,-1.151623883753207,0.7022621837532069
1.85,-0.46340424,-1.1521722567194477,0.6887680167194477
1.8666666666666667,-0.4774468,-1.1527205392782502,0.6752737392782502
1.8833333333333333,-0.49148935,-1.153268729681992,0.661779379681992
1.9,-0.5102128,-1.1538168261695452,0.6436040261695452
1.9166666666666667,-0.52425534,-1.154364826966547,0.630109486966547
1.9333333333333331,-0.5382979,-1.1549127302857618,0.6166148302857618
1.95,-0.55234045,-1.1554605343273516,0.6031200843273516
