arquivo,sample_name,injection_date_time_stamp,sample_id_comments,sample_type,sample_injection_volume,sample_amount,detector_name,detector_unit,retention_unit,n_pontos,tempo_final_min
B2ExportedRawData1877.cdf,ESTR13-1,20260304134547-0200,"$$ 2.1 vial 1:F,7 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1871.cdf,ESTR12-2,20260304125503-0200,"$$ 2.1 vial 1:F,5 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1778.cdf,ESTR2-2,20260304001342-0200,"$$ 2.1 vial 1:B,7 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1820.cdf,ESTR7-1,20260304060900-0200,"$$ 2.1 vial 1:D,5 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1805.cdf,ESTR5-2,20260304040207-0200,"$$ 2.1 vial 1:C,8 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1829.cdf,ESTR8-1,20260304072507-0200,"$$ 2.1 vial 1:D,8 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1868.cdf,ESTR12-1,20260304122940-0200,"$$ 2.1 vial 1:F,4 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1502,25.016666666666666
B2ExportedRawData1862.cdf,ESTR11-2,20260304113854-0200,"$$ 2.1 vial 1:F,2 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1775.cdf,ESTR2-1,20260303234820-0200,"$$ 2.1 vial 1:B,6 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1855.cdf,ESTR10-3,20260304104808-0200,"$$ 2.1 vial 1:E,8 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1817.cdf,ESTR6-3,20260304054337-0200,"$$ 2.1 vial 1:D,4 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1847.cdf,ESTR10-1,20260304095721-0200,"$$ 2.1 vial 1:E,6 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1844.cdf,ESTR9-3,20260304093159-0200,"$$ 2.1 vial 1:E,5 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
B2ExportedRawData1790.cdf,ESTR3-3,20260304015514-0200,"$$ 2.1 vial 1:C,3 injection 1",UNKNOWN,20.0,1.0,410 ,MV,seconds,1501,25.0
