time,signal,baseline,corrected
0.0,-0.5804255,0.017127138486438025,-0.597552638486438
0.0166666666666666,-0.22468086,0.011447586612614087,-0.2361284466126141
0.0333333333333333,-0.08893617,0.005767754465609237,-0.09470392446560923
0.05,-0.037446808,8.764973063091208e-05,-0.03753445773063091
0.0666666666666666,-0.0140425535,-0.00559271990711345,-0.008449833592886551
0.0833333333333333,-0.009361702,-0.011273346762416408,0.0019116447624164083
0.1,-0.004680851,-0.01695422315007052,0.01227337215007052
0.1166666666666666,0.0,-0.02263534138486836,0.02263534138486836
0.1333333333333333,0.0,-0.028316693781602478,0.028316693781602478
0.15,0.0,-0.03399827265506567,0.03399827265506567
0.1666666666666666,-0.004680851,-0.03968015623520631,0.03499930523520631
0.1833333333333333,-0.009361702,-0.04536235124397492,0.03600064924397492
0.2,-0.0140425535,-0.051044831911500575,0.037002278411500576
0.2166666666666666,-0.023404256,-0.05672754767697466,0.03332329167697466
0.2333333333333333,-0.028085107,-0.062410422139333316,0.03432531513933332
0.25,-0.037446808,-0.06809335365561134,0.03064654565561134
0.2666666666666666,-0.042127658,-0.07377621621569379,0.03164855821569379
0.2833333333333333,-0.05148936,-0.07945886040539075,0.027969500405390757
0.3,-0.056170214,-0.08514111443453497,0.028970900434534964
0.3166666666666666,-0.06553192,-0.09082278485145498,0.025290864851454986
0.3333333333333333,-0.074893616,-0.09650365717505431,0.021610041175054315
0.35,-0.079574466,-0.10218349673901253,0.022609030739012534
0.3666666666666666,-0.08893617,-0.10786204948478208,0.018925879484782082
0.3833333333333333,-0.09361702,-0.1135390430202619,0.0199220230202619
0.4,-0.10297872,-0.11921418756135888,0.01623546756135888
0.4166666666666667,-0.10765957,-0.12488717690701123,0.017227606907011236
0.4333333333333333,-0.11702128,-0.13055768970606693,0.013536409706066926
0.45,-0.12638298,-0.13622539072120743,0.009842410721207423
0.4666666666666667,-0.13106383,-0.1418899323232931,0.010826102323293119
0.4833333333333333,-0.14042553,-0.14755095622230743,0.0071254262223074405
0.5,-0.14510638,-0.1532080949025474,0.00810171490254738
0.5166666666666667,-0.15446809,-0.15886097326564208,0.004392883265642078
0.5333333333333333,-0.16382979,-0.16450921016986586,0.0006794201698658575
0.55,-0.16851063,-0.17015242000746675,0.0016417900074667535
0.5666666666666667,-0.17787234,-0.17579021417150842,-0.002082125828491571
