time,signal,baseline_orig,baseline_fixed,corr_orig,corr_fixed
0.0,-0.5804255,-0.5800220155303606,-0.5800220155303606,-0.00040348446963944795,-0.00040348446963944795
0.0166666666666666,-0.22468086,-0.5799788321044587,-0.5799788321044587,0.3552979721044587,0.3552979721044587
0.0333333333333333,-0.08893617,-0.5798896564051651,-0.5798896564051651,0.4909534864051651,0.4909534864051651
0.05,-0.037446808,-0.5797488276492572,-0.5797488276492572,0.5423020196492572,0.5423020196492572
0.0666666666666666,-0.0140425535,-0.5795477531850041,-0.5795477531850041,0.565505199685004,0.565505199685004
0.0833333333333333,-0.009361702,-0.5792748458173701,-0.5792748458173701,0.5699131438173701,0.5699131438173701
0.1,-0.004680851,-0.5789152733065983,-0.5789152733065983,0.5742344223065983,0.5742344223065983
0.1166666666666666,0.0,-0.5784510641974386,-0.5784510641974386,0.5784510641974386,0.5784510641974386
0.1333333333333333,0.0,-0.577860897587358,-0.577860897587358,0.577860897587358,0.577860897587358
0.15,0.0,-0.5771201878772382,-0.5771201878772382,0.5771201878772382,0.5771201878772382
0.1666666666666666,-0.004680851,-0.5761992071846604,-0.5761992071846604,0.5715183561846604,0.5715183561846604
0.1833333333333333,-0.009361702,-0.5750700060520223,-0.5750700060520223,0.5657083040520223,0.5657083040520223
0.2,-0.0140425535,-0.573699336724891,-0.573699336724891,0.559656783224891,0.559656783224891
0.2166666666666666,-0.023404256,-0.5720521833946999,-0.5720521833946999,0.5486479273946999,0.5486479273946999
0.2333333333333333,-0.028085107,-0.5700925509897036,-0.5700925509897036,0.5420074439897036,0.5420074439897036
0.25,-0.037446808,-0.5677844557957394,-0.5677844557957394,0.5303376477957394,0.5303376477957394
0.2666666666666666,-0.042127658,-0.5650931033307285,-0.5650931033307285,0.5229654453307285,0.5229654453307285
0.2833333333333333,-0.05148936,-0.5619862239370446,-0.5619862239370446,0.5104968639370445,0.5104968639370445
0.3,-0.056170214,-0.5584355210872085,-0.5584355210872085,0.5022653070872085,0.5022653070872085
0.3166666666666666,-0.06553192,-0.5544181726624375,-0.5544181726624375,0.48888625266243757,0.48888625266243757
0.3333333333333333,-0.074893616,-0.5499183128443691,-0.5499183128443691,0.4750246968443691,0.4750246968443691
0.35,-0.079574466,-0.5449284131600188,-0.5449284131600188,0.4653539471600188,0.4653539471600188
0.3666666666666666,-0.08893617,-0.5394504769132084,-0.5394504769132084,0.4505143069132084,0.4505143069132084
0.3833333333333333,-0.09361702,-0.533496962716135,-0.533496962716135,0.439879942716135,0.439879942716135
0.4,-0.10297872,-0.5270913606743269,-0.5270913606743269,0.42411264067432697,0.42411264067432697
0.4166666666666667,-0.10765957,-0.5202683590162227,-0.5202683590162227,0.4126087890162227,0.4126087890162227
