time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9
7.633333333333334,-0.38851064,0.0039813348368289295,7.690653308046111e-47,9.086509273585986e-45,0.0039813348368289295,0.0,0.0,0.0,0.0,0.0,0.0
7.65,-0.35106382,0.0038551449064079184,6.303725511871027e-47,7.448340805352862e-45,0.0038551449064079184,0.0,0.0,0.0,0.0,0.0,0.0
7.666666666666667,-0.31361702,0.0037317223565170596,5.166902157164256e-47,6.105493271552935e-45,0.0037317223565170596,0.0,0.0,0.0,0.0,0.0,0.0
7.683333333333334,-0.2855319,0.003611085117457861,4.2350843997498246e-47,5.004730904357034e-45,0.003611085117457861,0.0,0.0,0.0,0.0,0.0,0.0
7.7,-0.26212767,0.0034932444262926305,3.471305170968228e-47,4.1024138387806255e-45,0.0034932444262926305,0.0,0.0,0.0,0.0,0.0,0.0
7.716666666666667,-0.2387234,0.00337820529369636,2.8452630195773803e-47,3.362768532946838e-45,0.00337820529369636,0.0,0.0,0.0,0.0,0.0,0.0
7.733333333333333,-0.22,0.0032659669517207945,2.3321202865132354e-47,2.756469910121671e-45,0.0032659669517207945,0.0,0.0,0.0,0.0,0.0,0.0
7.75,-0.2012766,0.0031565232825389966,1.9115179588906478e-47,2.2594790447065583e-45,0.0031565232825389966,0.0,0.0,0.0,0.0,0.0,0.0
7.766666666666667,-0.18723404,0.0030498632283164524,1.5667681400467916e-47,1.8520903379285e-45,0.0030498632283164524,0.0,0.0,0.0,0.0,0.0,0.0
7.783333333333333,-0.17319149,0.0029459711824226698,1.2841921143669573e-47,1.5181504283290777e-45,0.0029459711824226698,0.0,0.0,0.0,0.0,0.0,0.0
7.8,-0.16382979,0.0028448273622566356,1.0525777581971968e-47,1.2444178860027432e-45,0.0028448273622566356,0.0,0.0,0.0,0.0,0.0,0.0
7.816666666666666,-0.14978723,0.00274640816401081,8.627347801379703e-48,1.0200383173416093e-45,0.00274640816401081,0.0,0.0,0.0,0.0,0.0,0.0
7.833333333333333,-0.14042553,0.0026506864997423896,7.071301529945558e-48,8.361140797202335e-46,0.0026506864997423896,0.0,0.0,0.0,0.0,0.0,0.0
7.85,-0.13574468,0.002557632117157919,5.795892793901913e-48,6.853515542153489e-46,0.002557632117157919,0.0,0.0,0.0,0.0,0.0,0.0
7.866666666666666,-0.12638298,0.0024672119025486473,4.750510395699603e-48,5.617719975821086e-46,0.0024672119025486473,0.0,0.0,0.0,0.0,0.0,0.0
