time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15,peak_16,peak_17,peak_18
17.75,0.10765957,0.1077845196222116,6.950689047419367e-06,4.060436396659133e-09,0.0,3.485834356846556e-10,2.197207900628533e-42,3.1385526632573795e-37,8.000313449404084e-64,2.912510211497438e-45,1.0064851801091328e-30,0.00010214225774418407,0.10767542226640016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.766666666666666,0.11702128,0.11676699535105635,6.893383683274082e-06,3.993573780364705e-09,0.0,3.3598978033460133e-10,1.8135668710504448e-42,2.612533436862653e-37,5.554182362748339e-64,2.118647231721361e-45,7.8155027749248095e-31,9.223135769601757e-05,0.1166678662801135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.783333333333335,0.12638298,0.12485794343680041,6.836550385498766e-06,3.927811831788579e-09,0.0,3.2385066379694783e-10,1.4968835372166368e-42,2.174644873898285e-37,3.855816956060652e-64,1.5410858099520897e-45,6.068443745499971e-31,8.325782069611638e-05,0.1247678448140563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.8,0.13106383,0.13190283077373507,6.78018526937483e-06,3.863132438632667e-09,0.0,3.1214969811345384e-10,1.2354765123450127e-42,1.8101264175093113e-37,2.67667654944563e-64,1.1209134599249376e-45,4.711603864896735e-31,7.513576920351923e-05,0.13182091064398005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.816666666666666,0.13574468,0.13778470770960724,6.7242844821091414e-06,3.799517786528764e-09,0.0,3.0087108548403543e-10,1.0197014684883657e-42,1.5066888121082465e-37,1.8580554053799868e-64,8.152570247945647e-46,3.657896355170747e-31,6.778687639672581e-05,0.13771019244833954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.833333333333332,0.14042553,0.14242529505167884,6.668844202572183e-06,3.736950354140258e-09,0.0,2.899995970416701e-10,8.415960577474654e-43,1.254100491728404e-37,1.2897477409231162e-64,5.929175821144424e-46,2.8396536030821414e-31,6.113973852479762e-05,0.14235748244200153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.85,0.14510638,0.14578422403833965,6.61386064103824e-06,3.675412908344205e-09,0.0,2.79520552389549e-10,6.945866998346e-43,1.0438431675195925e-37,8.952293455134865e-65,4.3119283144053515e-46,2.204300674288811e-31,5.512929525979342e-05,0.14572247692750537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.866666666666667,0.14978723,0.14785674976870453,6.559330038927808e-06,3.6148884994926637e-09,0.0,2.6941979987318104e-10,5.732464616792302e-43,8.688250413798969e-38,6.2136577748734114e-65,3.1356405250558766e-46,1.710991897571856e-31,4.969629486840536e-05,0.14780049025948888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.883333333333333,0.14978723,0.14867028851669412,6.505248668552006e-06,3.555360456751789e-09,0.0,2.596836975610713e-10,4.7309513030460876e-43,7.231420074696829e-38,4.31264693107977e-65,2.2801249511952465e-46,1.3279963339149805e-31,4.4786801171797546e-05,0.1486189926518096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.9,0.14978723,0.14828013058714815,6.451612832859154e-06,3.4968123835175995e-09,0.0,2.5029909490858404e-10,3.9043412941108635e-43,6.018788147880976e-38,2.9931198033783243e-65,1.6579398684986877e-46,1.0306655358081947e-31,4.035173941479715e-05,0.148233323487789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.916666666666668,0.14510638,0.14676465959763188,6.398418865183397e-06,3.4392281529070524e-09,0.0,2.4125331508046875e-10,3.222102097269899e-43,5.009435061092142e-38,2.077246252859233e-65,1.2054709803712144e-46,7.998540283541657e-32,3.634647831706546e-05,0.14672191101996818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.933333333333334,0.14510638,0.14422037289086034,6.345663128995441e-06,3.3825919033232686e-09,0.0,2.3253413790845294e-10,2.6590290012322275e-43,4.16929566374303e-38,1.4415696244906358e-65,8.764410443452322e-47,6.206917484832283e-32,3.273044572865404e-05,0.14418129316687664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.95,0.14042553,0.1407569522017303,6.293342017655204e-06,3.3268880340935076e-09,0.0,2.2412978346108166e-10,2.1943157946653214e-43,3.4700114459049854e-38,1.0003847938720702e-65,6.3718673172570415e-47,4.8163008560681767e-32,2.9466775459241324e-05,0.14072118853323556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.966666666666665,0.13574468,0.13649258382800827,6.241451954166631e-06,3.2721012011789783e-09,0.0,2.1602889620388238e-10,1.8107875021268216e-43,2.88797488617453e-38,6.941965116888244e-66,4.632217181464197e-47,3.7370059597934484e-32,2.6521982993679204e-05,0.13645981690493034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.983333333333334,0.13106383,0.13154967746559393,6.189989390934424e-06,3.2182163129550308e-09,0.0,2.0822052972866027e-10,1.4942669024966585e-43,2.403533779344067e-38,4.817056317952603e-66,3.3673586877133215e-47,2.8993901880447195e-32,2.3865667945460087e-05,0.1315196183818207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.12638298,0.12605108561034545,6.1389508095228385e-06,3.1652185260608164e-09,0.0,2.0069413203150952e-10,1.2330515133424588e-43,2.0003287723385732e-38,3.3424509054779073e-66,2.4477565771271258e-47,2.2493776463023862e-32,2.147024123396944e-05,0.12602347305238928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.016666666666666,0.12170213,0.12011688307551922,6.088332720416354e-06,3.1130932413170163e-09,0.0,1.9343953131983846e-10,1.017481786625408e-43,1.6647418152594515e-38,2.3191691798702507e-66,1.7792032194396056e-47,1.744982450048545e-32,1.931067510043637e-05,0.1200914807611656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.03333333333333,0.11234043,0.1138617299624272,6.0381316627823956e-06,3.061826099710773e-09,0.0,1.8644692232946312e-10,8.395846158156627e-44,1.385436963893563e-38,1.6091034637251105e-66,1.293187416237828e-47,1.353607874252231e-32,1.7364274201152657e-05,0.11383832430829025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.05,0.10765957,0.10739281189491462,5.988344204235954e-06,3.0114029784465674e-09,0.0,1.7970685313343029e-10,6.927790249358675e-44,1.1529780758652838e-38,1.1163997151021347e-66,9.398879241768661e-48,1.0499483645283527e-32,1.561046613453574e-05,0.10737120989346602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.066666666666663,0.10297872,0.10080832849158225,5.938966940606181e-06,2.961809987062023e-09,0.0,1.7321021242494978e-10,5.716331979891943e-44,9.595105290029051e-39,7.745326609947283e-67,6.8307667475097e-48,8.143599571054408e-33,1.4030609870956756e-05,0.10078835577975048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.08333333333333,0.09361702,0.0941964845183281,5.889996495704768e-06,2.913033463607434e-09,0.0,1.669482172573993e-10,4.716638966466233e-44,7.984962442890456e-39,5.37333713380022e-67,4.9641137784121115e-48,6.315946152613313e-33,1.260782066083586e-05,0.09417798362118988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.1,0.08893617,0.08763492729345444,5.841429521096381e-06,2.8650599708882523e-09,0.0,1.6091240122502373e-10,3.8917087435551717e-44,6.644930893010762e-39,3.7276303666657666e-67,3.607389053344336e-48,4.898172800871514e-33,1.1326810097424238e-05,0.08761775602786355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.116666666666667,0.084255315,0.08119056791362657,5.793262695870949e-06,2.8178762927692783e-09,0.0,1.5509460306850413e-10,3.211001834902935e-44,5.529712315524517e-39,2.5858662118721856e-67,2.6213398025104976e-48,3.798425370349794e-33,1.017374010594089e-05,0.08117459793785387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.133333333333333,0.079574466,0.07491972187555247,5.74549272641765e-06,2.771469430539469e-09,0.0,1.4948695569011136e-10,2.649313361368338e-44,4.601602547974941e-39,1.793757720008992e-67,1.9047274516969892e-48,2.9454187070028915e-33,9.136089720497554e-06,0.07490483737214917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.15,0.074893616,0.06886850583387728,5.698116346200956e-06,2.72582659933664e-09,0.0,1.4408187556380782e-10,2.1858415767785732e-44,3.8292188694150875e-39,1.2442455539080945e-67,1.3839539433195335e-48,2.2838341615364456e-33,8.202533594639018e-06,0.06885460231402797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.166666666666668,0.06553192,0.06307343076082488,5.651130315538397e-06,2.6809352246308737e-09,0.0,1.3887205252606025e-10,1.8034189781613995e-44,3.1864405050124685e-39,8.630442343776175e-68,1.0055179023942822e-48,1.7707461378094385e-33,7.362831270492507e-06,0.06306041397943157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.183333333333334,0.060851064,0.05756213694080395,5.604531421380211e-06,2.6367829387657542e-09,0.0,1.338504399337354e-10,1.4878776270815674e-44,2.651526645749574e-39,5.98611034264847e-68,7.3052897487926e-49,1.3728477871824082e-33,6.607726305696447e-06,0.05754992191244349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.2,0.056170214,0.05235422242567168,5.55831647709071e-06,2.5933575775563875e-09,0.0,1.290102451758686e-10,1.227525265050473e-44,2.2063822513760136e-39,4.151845128022437e-68,5.307190154590389e-49,1.0642972752923308e-33,5.928854426619003e-06,0.05234273253240015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.216666666666665,0.05148936,0.04746212328192833,5.5124823222315155e-06,2.550647176943411e-09,0.0,1.2434492052662537e-10,1.0127128900303645e-44,1.8359468827800837e-39,2.8795352340463575e-68,3.855418340945927e-49,8.250459183702742e-34,5.318659941119372e-06,0.047451289464672884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.23333333333333,0.05148936,0.042892010772065586,5.467025822346549e-06,2.508639969701919e-09,0.0,1.1984815432719332e-10,8.354778331292201e-45,1.5276859547827005e-39,1.997048136194764e-68,2.8006453772995994e-49,6.39540462246598e-34,4.770319704441166e-06,0.042881770798050674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.25,0.04680851,0.038644677218595117,5.421943868748748e-06,2.467324382204584e-09,0.0,1.1551386248479073e-10,6.892491587534948e-45,1.2711672514240584e-39,1.3849675975573055e-68,2.0343448683581144e-49,4.957158411950091e-34,4.277673987996315e-06,0.03863497501790013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.266666666666666,0.042127658,0.034716388477770574,5.377233378308615e-06,2.4266890312379234e-09,0.0,1.1133618027741159e-10,5.686045102012828e-45,1.0577084191889499e-39,9.604520661256996e-69,1.4776479346594066e-49,3.8421344679141443e-34,3.835163653002404e-06,0.03470717354271405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.28333333333333,0.037446808,0.0310996865526603,5.332891293244362e-06,2.3867227208708267e-09,0.0,1.0730945445331847e-10,4.690694205477913e-45,8.800835459669163e-40,6.660346728578377e-69,1.0732413400375334e-49,2.9777445677690716e-34,3.4377730793976263e-06,0.031090913394255484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.3,0.037446808,0.027784130816343077,5.288914580913901e-06,2.3474144393747137e-09,0.0,1.0342823561470549e-10,3.8695167556853765e-45,7.3227892537271305e-40,4.6185228996739925e-69,7.794781289694443e-50,2.307690514050004e-34,3.0809783453945534e-06,0.027775758472574092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.316666666666663,0.03276596,0.024756970559713373,5.2453002336085134e-06,2.308753356194193e-09,0.0,9.96872708753239e-11,3.1920460905528217e-45,6.0928976438298005e-40,3.202539841290496e-69,5.660967805342748e-50,1.7883110333662304e-34,2.760700194641865e-06,0.024748962150844496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.33333333333333,0.028085107,0.02200374512743359,5.202045268348097e-06,2.2707288189675332e-09,0.0,9.608149678221504e-11,2.6331427885120178e-45,5.069509729017711e-40,2.2206045028800127e-69,4.111097110217678e-50,1.3857472897544294e-34,2.4732613664568577e-06,0.02199606745398847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.35,0.028085107,0.019508810790873535,5.159146726678255e-06,2.233330350596164e-09,0.0,9.260603249209247e-11,2.1720635360482682e-45,4.217963233260052e-40,1.539689623776954e-69,2.985418192101831e-50,1.073743710082942e-34,2.215347900163344e-06,0.01950143397031031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.366666666666667,0.023404256,0.017255795778643817,5.116601674468993e-06,2.196547646362316e-09,0.0,8.925617319320095e-11,1.7916926809925943e-45,3.509412251413849e-40,1.0675310085281754e-69,2.167869282051395e-50,8.31941832063665e-35,1.9839740574003923e-06,0.01724869291710813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.383333333333333,0.023404256,0.01522798660614099,5.074407201714945e-06,2.1603705710940054e-09,0.0,8.60273837638329e-11,1.4779080587981223e-45,2.919851562700506e-40,7.401388826250415e-70,1.5741335439575484e-50,6.445567291805686e-35,1.7764505365489872e-06,0.015221133502004772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.4,0.023404256,0.013408650083994405,5.032560422337408e-06,2.124789156376649e-09,0.0,8.291529265902323e-11,1.2190576392502483e-45,2.429304561429157e-40,5.131347224618026e-70,1.1429591487624896e-50,4.993502897007735e-35,1.590355681323795e-06,0.013402024960186294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.416666666666668,0.018723404,0.01178129621174901,4.991058473987888e-06,2.089793597810555e-09,0.0,7.991568601719744e-11,1.00552763568993e-45,2.0211473762342865e-40,3.5574196852204264e-70,8.298518803945341e-51,3.8683481998852633e-35,1.4235094112546e-06,0.011774879474154485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.433333333333334,0.018723404,0.0103298876462745,4.949898517853337e-06,2.055374252313462e-09,0.0,7.702450197888988e-11,8.293860988725308e-46,1.6815463457077e-40,2.4661777654183484e-70,6.024919966524533e-51,2.996553414765022e-35,1.2739496254028562e-06,0.01032366166573249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.45,0.018723404,0.009039001638698245,4.909077738462885e-06,2.0215216354673494e-09,0.0,7.423782520989405e-11,6.840888076840226e-46,1.3989898448538138e-40,1.709618782246778e-70,4.374041440882368e-51,2.3211051574002726e-35,1.1399108523613426e-06,0.00903295055434796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
