time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15,peak_16
12.666666666666666,0.8987234,0.641289082259841,8.986024236197883e-05,2.788459944532706e-13,0.0,2.4905421049557148e-05,1.2110830257426506e-17,2.7711188371468613e-11,8.522794794503751e-17,2.3561530157787005e-05,0.6411507550382816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.683333333333334,0.8425532,0.5649008960070393,8.905476886389926e-05,2.6713748553201497e-13,0.0,2.4013221315259852e-05,1.0105224393003913e-17,2.3973813841935007e-11,6.116660201726432e-17,1.8414383688491664e-05,0.5647694136089306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.7,0.79574466,0.49640947205249364,8.825642075081894e-05,2.559212640907492e-13,0.0,2.3152848006026942e-05,8.431143104440275e-18,2.0739224728538535e-11,4.388548510012506e-17,1.4379923926094652e-05,0.4962836828388155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.716666666666669,0.753617,0.43520223014365883,8.746513619738337e-05,2.451766016166663e-13,0.0,2.2323171573618566e-05,7.033890990487678e-18,1.7939963606515214e-11,3.147770726643846e-17,1.122040524220369e-05,0.4350812214124605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.733333333333333,0.7161702,0.38067797040483864,8.66808538986278e-05,2.3488364379240067e-13,0.0,2.1523102310805577e-05,5.867778298641967e-18,1.551759761557047e-11,2.257159830762715e-17,8.748220128578577e-06,0.3805610182127481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.75,0.68340427,0.3322544713558688,8.590351306582022e-05,2.2502337356368004e-13,0.0,2.0751588956885528e-05,4.894641237992034e-18,1.34215148626939e-11,1.61807978776365e-17,6.8154813276988555e-06,0.3321410007588718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.766666666666667,0.6506383,0.289374264284695,8.513305342233741e-05,2.1557757577030436e-13,0.0,2.000761735153465e-05,4.082604882850084e-18,1.1607880814885586e-11,1.1596242744345408e-17,5.305732046043858e-06,0.28926381787005156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.783333333333331,0.62255317,0.2515088215111691,8.436941519956787e-05,2.0652880327406505e-13,0.0,1.929020913533748e-05,3.405048986045384e-18,1.0038733491056749e-11,8.30836812061309e-18,4.127358100129257e-06,0.2514010345184888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.8,0.59446806,0.2181613870220293,8.361253913284516e-05,1.9786034452015665e-13,0.0,1.8598420495397495e-05,2.839743495938514e-18,8.681199058220637e-12,5.951090196936243e-18,3.208359185992331e-06,0.218055967694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.816666666666666,0.5710638,0.18886866409977598,8.286236645741225e-05,1.8955619247129436e-13,0.0,1.7931340954486285e-05,2.3681259924150193e-18,7.506811865598494e-12,4.261485194098218e-18,2.4922039693686596e-06,0.18876537818069836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.833333333333334,0.5476596,0.1632015575288277,8.211883890441179e-05,1.8160101485628262e-13,0.0,1.7288092202233906e-05,1.9746977954563327e-18,6.490925059488762e-12,3.0507761581045393e-18,1.9345482665674047e-06,0.16310021604278196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
