time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13
21.366666666666667,0.0140425535,0.03760439655954928,4.546130009250062e-100,2.4584632694516984e-98,7.461102231358149e-179,1.561408670056551e-23,1.6081863577557743e-62,6.368029212727792e-50,5.957729192379865e-100,2.0257870803103994e-76,2.7859296360213047e-55,2.537298405339727e-17,3.2146638566138132e-18,0.03760410892531902,2.876342302297409e-07
21.383333333333333,0.0140425535,0.03741104345412017,3.723820036044767e-100,2.0137916258149257e-98,4.6591564128682516e-179,1.4592912655631983e-23,1.3139774766630475e-62,5.375231514438156e-50,4.0899393612230974e-100,1.457154329085748e-76,2.140399405798569e-55,2.2070481864655272e-17,2.547408249761338e-18,0.03739970986394587,1.1333590174274832e-05
21.4,0.0140425535,0.037285853900875875,3.0502492042855096e-100,1.649548672695563e-98,2.9094546577287255e-179,1.3638504712154257e-23,1.073581233234489e-62,4.537187092997879e-50,2.80766287055655e-100,1.0481111741686063e-76,1.6444019929979274e-55,1.919698520225046e-17,2.018348190911768e-18,0.037195298914966715,9.055498590913553e-05
21.416666666666668,0.0140425535,0.03736738641113299,2.498513879397171e-100,1.3511872447766139e-98,1.8168367226205138e-179,1.27464989099044e-23,8.771570449047249e-63,3.829777955667692e-50,1.9273698039945492e-100,7.538748057125067e-77,1.2633093221187444e-55,1.669687906247554e-17,1.5989273049939298e-18,0.03699091159651881,0.00037647481461416016
21.433333333333334,0.018723404,0.03788078052882637,2.0465766562035792e-100,1.1067913020254537e-98,1.1345410357222679e-179,1.1912816435954154e-23,7.166634662920556e-63,3.2326441678045354e-50,1.323052773227414e-100,5.422270980060135e-77,9.705099227841718e-56,1.4521742741556765e-17,1.2664760102148762e-18,0.03678658213915738,0.0010941983896689776
21.45,0.023404256,0.03911818604891377,1.676386181749571e-100,9.066000464401537e-99,7.084749857206406e-180,1.1133644998811975e-23,5.85529327283519e-63,2.7285983815435184e-50,9.081996536566054e-101,3.899898889166954e-77,7.455535992559323e-56,1.2629421280900588e-17,1.0030009817322595e-18,0.036582343533379275,0.002535842515534479
21.466666666666665,0.028085107,0.04140499921681787,1.3731561782827516e-100,7.426181094337807e-99,4.424139746701886e-180,1.0405421418794883e-23,4.7838497016726537e-63,2.303131558491298e-50,6.234154581291243e-101,2.8048888091676215e-77,5.727253585883993e-56,1.098321647628148e-17,7.942229021868627e-19,0.03637822757502803,0.005026771641789823
21.48333333333333,0.03276596,0.045061922765838466,1.1247748716820371e-100,6.0829624284274895e-99,2.762696359756782e-180,9.724815355241851e-24,3.9084260523531427e-63,1.943995684600243e-50,4.2792326104398115e-101,2.017289164999697e-77,4.399493127800311e-56,9.551182093697695e-18,6.288117116221488e-19,0.03617426490869471,0.008887657857143752
21.5,0.042127658,0.050370074767031446,9.213212387044251e-101,4.982697620187853e-99,1.7251921658053202e-180,9.088714096361692e-24,3.193168100685645e-63,1.640851486645813e-50,2.937286691315796e-101,1.450811191421257e-77,3.3794622693635376e-56,8.305509902028111e-18,4.977789286735704e-19,0.035970485069222416,0.014399589697809023
21.516666666666666,0.05148936,0.05754346059059591,7.54668752528576e-101,4.081442957303509e-99,1.0773127564058957e-180,8.494208342348055e-24,2.6087783719620325e-63,1.3849710267549613e-50,2.0161317931194026e-101,1.0433833545587328e-77,2.595860357520159e-56,7.221994848668931e-18,3.939948674600418e-19,0.03576691652141541,0.021776544069180493
21.53333333333333,0.06553192,0.06671071981593654,6.181608005783527e-101,3.343202867541961e-99,6.727382644543986e-181,7.938578916918462e-24,2.1313173487578006e-63,1.1689866278007504e-50,1.3838329232754086e-101,7.503557373343594e-78,1.993902207037223e-56,6.279569201044463e-18,3.1180514749496806e-19,0.03556358669804657,0.031147133117889955
