time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11
20.25,0.05148936,0.046947837379749655,0.0,3.518138162804236e-53,6.901240162546827e-77,5.284078868752349e-58,5.494848415676231e-89,1.1783875801755765e-64,1.9562260140489113e-41,4.274064453301963e-06,0.04694356331529635,0.0,0.0
20.266666666666666,0.05148936,0.048394618812441795,0.0,2.9365300392488474e-53,5.236249991942066e-77,4.229847999874791e-58,3.761624172790305e-89,8.549830550754801e-65,1.551145100657861e-41,3.87760658401137e-06,0.04839074120585778,0.0,0.0
20.28333333333333,0.05148936,0.04967993019604834,0.0,2.451050978036272e-53,3.972890157144545e-77,3.3859131993846395e-58,2.5750471203914957e-89,6.20317896077437e-65,1.229907768866955e-41,3.5174749152034403e-06,0.049676412721133135,0.0,0.0
20.3,0.05148936,0.050805887622678424,0.0,2.0458160853272567e-53,3.014294737086794e-77,2.710331931669448e-58,1.7627271001128423e-89,4.500477666175751e-65,9.751679954915692e-42,3.1903878736885797e-06,0.05080269723480473,0.0,0.0
20.316666666666663,0.05148936,0.051775672737905266,0.0,1.7075647943896934e-53,2.2869562889027035e-77,2.1695254952964348e-58,1.206632827565609e-89,3.265054633317198e-65,7.731667357708371e-42,2.8933554415264167e-06,0.05177277938246374,0.0,0.0
20.33333333333333,0.05148936,0.052593360276420115,0.0,1.425227400337942e-53,1.7350940578689398e-77,1.7366114593162232e-58,8.25953080199558e-90,2.3686990199519202e-65,6.12990522754092e-42,2.623653761909992e-06,0.0525907366226582,0.0,0.0
20.35,0.05148936,0.05326376298736369,0.0,1.1895631749108526e-53,1.3163798006614724e-77,1.3900685177726632e-58,5.65360984006158e-90,1.7183710137923569e-65,4.859832350097647e-42,2.378801903781654e-06,0.053261384185459906,0.0,0.0
20.366666666666667,0.05148936,0.05379229275992948,0.0,9.928582436825938e-54,9.98694007248975e-78,1.112667508498238e-58,3.8697823425759194e-90,1.2465556459573548e-65,3.85279404547689e-42,2.1565406072013106e-06,0.05379013621932228,0.0,0.0
20.383333333333333,0.05148936,0.054184836766695534,0.0,8.286733586900319e-54,7.576641593175423e-78,8.906155449475515e-59,2.648728967668056e-90,9.04261664417468e-66,3.054339645750669e-42,1.954812845583511e-06,0.05418288195384995,0.0,0.0
20.4,0.056170214,0.054447647468148584,0.0,6.916333281659575e-54,5.747965169561225e-78,7.12870782015584e-59,1.8129207195069563e-90,6.559403242924232e-66,2.4212851785567856e-42,1.771746053960992e-06,0.054445875722094625,0.0,0.0
20.416666666666668,0.056170214,0.05458724536127013,0.0,5.772512249881466e-54,4.360583571940764e-78,5.705938024983688e-59,1.2408247367518023e-90,4.757977074374264e-66,1.9193831864935073e-42,1.6056358844855674e-06,0.054585639725385646,0.0,0.0
20.433333333333334,0.056170214,0.054610333403515225,0.0,4.8178163094821487e-54,3.308020723056671e-78,4.567083897239028e-59,8.492439130228529e-91,3.451184738681885e-66,1.521474249011625e-42,1.4549313615217644e-06,0.054608878472153705,0.0,0.0
20.45,0.056170214,0.05452372209780519,0.0,4.020981220292387e-54,2.5094871010122473e-78,3.6554987995724557e-59,5.812257441819426e-91,2.5032369425572796e-66,1.2060206751943403e-42,1.3182213189791652e-06,0.054522403876486214,0.0,0.0
20.466666666666665,0.056170214,0.05433426428182991,0.0,3.355909914872017e-54,1.90368404921474e-78,2.9258363458774017e-59,3.977843304302405e-91,1.8156145070609016e-66,9.559433915216735e-43,1.194222012032166e-06,0.05433307005981788,0.0,0.0
20.48333333333333,0.056170214,0.0540487987241937,0.0,2.8008186847568104e-54,1.4441022660903614e-78,2.34179652344788e-59,2.722331196544633e-91,1.3168408902573998e-66,7.576993612624741e-43,1.0817658041426554e-06,0.05404771695838956,0.0,0.0
20.5,0.05148936,0.053674101689376044,0.0,2.3375244179877094e-54,1.0954541907784872e-78,1.874321284465114e-59,1.8630509753682054e-91,9.550607122343208e-67,6.005498169675171e-43,9.797908383890458e-07,0.05367312189853766,0.0,0.0
20.516666666666666,0.05148936,0.05321684569212207,0.0,1.950849591283876e-54,8.309668599735724e-79,1.5001499886071325e-59,1.2749672659658683e-91,6.926545880767498e-67,4.759798595690344e-43,8.87331609560562e-07,0.05321595836051251,0.0,0.0
20.53333333333333,0.05148936,0.0526835647189923,0.0,1.6281255671138098e-54,6.303277331715964e-79,1.2006629441895965e-59,8.724968742371404e-92,5.0233165993413395e-67,3.772381284144229e-43,8.035103603459225e-07,0.052682761208631954,0.0,0.0
20.55,0.05148936,0.05208062524988147,0.0,1.3587779577401188e-54,4.7812601465435997e-79,9.609555999285881e-60,5.9706182279675314e-92,3.642944276540545e-67,2.9897171400217658e-43,7.275292312750194e-07,0.05207989772065019,0.0,0.0
20.566666666666663,0.05148936,0.051414202464998116,0.0,1.1339804998721654e-54,3.626699706086595e-79,7.690973927872129e-60,4.0856892517135655e-92,2.6418167448022184e-67,2.369366167341278e-43,6.586630998983984e-07,0.05141354380189822,0.0,0.0
20.58333333333333,0.05148936,0.05069026107285856,0.0,9.463661223824202e-55,2.75089555900355e-79,6.155384276814876e-60,2.7957735870556147e-92,1.915759875298236e-67,1.87768126459015e-43,5.962530500524774e-07,0.05068966481980851,0.0,0.0
20.6,0.05148936,0.04991454024216667,0.0,7.897857587164312e-55,2.0865553369346343e-79,4.9263450708799593e-60,1.913063245282016e-92,1.3892094280311513e-67,1.4879872784207364e-43,5.397004169927892e-07,0.04991400054174967,0.0,0.0
20.616666666666667,0.05148936,0.04909254216494357,0.0,6.591070161537003e-55,1.5826286704393192e-79,3.9426690715877286e-60,1.3090232245647095e-92,1.0073553017420107e-67,1.179136993695998e-43,4.884613587140486e-07,0.049092053703584854,0.0,0.0
20.633333333333333,0.05148936,0.04822952381995888,0.0,5.5004611692826975e-55,1.2003875590173534e-79,3.1553800355681714e-60,8.95686643422629e-93,7.30442403112309e-68,9.343660694620337e-44,4.420419079471782e-07,0.048229081778050936,0.0,0.0
