time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10
21.58333333333333,0.084255315,0.07409409018750332,2.7374177079017835e-182,1.2921243360825486e-31,8.727612667325366e-42,1.348613013452109e-103,2.1651500366738597e-62,1.2613934943672887e-42,5.0444003623351445e-09,4.2339823092372065e-13,0.0092216611398344,0.06487242400284517
21.6,0.09361702,0.08794208522608055,1.6955197065677828e-182,1.1800355260207276e-31,7.603053387326018e-42,9.175056013501063e-104,1.626925671100567e-62,1.0124859859584207e-42,4.794405588858491e-09,3.650848631024506e-13,0.008845108414768973,0.0790969720165409
21.616666666666667,0.10765957,0.10278359075853229,1.0501806546881857e-182,1.0776686682136522e-31,6.623344614584882e-42,6.241979070451673e-104,1.22246485163736e-62,8.126732176430922e-43,4.556755754974169e-09,3.1477632945283284e-13,0.008482483477868532,0.09430110272359322
21.633333333333333,0.12170213,0.11834953198671919,6.504659836520549e-183,9.841806680899208e-32,5.769835192677075e-42,4.246470579808556e-104,9.185314722210032e-63,6.52276015413081e-43,4.330843667567625e-09,2.7137762769596977e-13,0.008133362182605823,0.11021616547299831
21.65,0.13574468,0.1343522291968548,4.0288822173889485e-183,8.988015330231408e-32,5.0262746591949063e-42,2.888857904215852e-104,6.90145609692385e-63,5.2352261816464774e-43,4.116091868118878e-09,2.339429870964361e-13,0.0077973271950184594,0.12655489788551053
21.666666666666668,0.14978723,0.15049751044798912,2.495421767047331e-183,8.208280349543445e-32,4.3785043511575676e-42,1.9652441523031067e-104,5.185330976816441e-63,4.201729693410039e-43,3.911951183662983e-09,2.016556110768924e-13,0.007473968365061459,0.14302353817077482
21.683333333333334,0.16382979,0.16649564252536486,1.5456200926898636e-183,7.496179223230944e-32,3.814188240854638e-42,1.336900660390596e-104,3.8958420086687267e-63,3.3721697817275124e-43,3.717899347981393e-09,1.7381015803594432e-13,0.007162883047745983,0.15933275575954572
21.7,0.17787234,0.18207072536372332,9.573284376516333e-184,6.845846337024069e-32,3.322578393864885e-42,9.094400535933985e-105,2.92695016115366e-63,2.706321943040905e-43,3.5334396896407863e-09,1.497975919213045e-13,0.006863676377697877,0.17520704545243596
21.716666666666665,0.19191489,0.19696835629245757,5.929506856836176e-184,6.25192469658499e-32,2.894310597526034e-42,6.186447806578602e-105,2.1989658879078904e-63,2.1718920266707787e-43,3.3580998836588884e-09,1.2909208344683848e-13,0.006575961500575652,0.19039239143365294
21.73333333333333,0.20595744,0.21096150329347368,3.6726166877299984e-184,5.709521831225677e-32,2.5212262803121547e-42,4.20824471300138e-105,1.652003132688095e-63,1.7429534567719384e-43,3.1914307637296946e-09,1.1123968560657598e-13,0.006299359764595764,0.20466214033733593
