time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6
0.8333333333333334,-0.009361702,4.732217448967434e-12,4.732217448967434e-12,0.0,0.0,0.0,0.0,0.0
0.85,-0.0140425535,3.932677059104326e-12,3.932677059104326e-12,0.0,0.0,0.0,0.0,0.0
0.8666666666666667,-0.0140425535,3.2668105695426527e-12,3.2668105695426527e-12,0.0,0.0,0.0,0.0,0.0
0.8833333333333333,-0.0140425535,2.712578304375173e-12,2.712578304375173e-12,0.0,0.0,0.0,0.0,0.0
0.9,-0.0140425535,2.2515054323286843e-12,2.2515054323286843e-12,0.0,0.0,0.0,0.0,0.0
0.9166666666666666,-0.0140425535,1.8681211572734264e-12,1.8681211572734264e-12,0.0,0.0,0.0,0.0,0.0
0.9333333333333332,-0.018723404,1.5494824008997408e-12,1.5494824008997408e-12,0.0,0.0,0.0,0.0,0.0
0.95,-0.018723404,1.2847701673428681e-12,1.2847701673428681e-12,0.0,0.0,0.0,0.0,0.0
0.9666666666666668,-0.018723404,1.0649481904852926e-12,1.0649481904852926e-12,0.0,0.0,0.0,0.0,0.0
0.9833333333333332,-0.018723404,8.824747754311369e-13,8.824747754311369e-13,0.0,0.0,0.0,0.0,0.0
1.0,-0.0140425535,3.739773657317136e-08,7.310599402712006e-13,3.7397005513231085e-08,0.0,0.0,0.0,0.0
1.0166666666666666,-0.0140425535,2.4463200488946905e-06,6.054610374148421e-13,2.446319443433653e-06,0.0,0.0,0.0,0.0
1.0333333333333334,-0.0140425535,2.607831506245341e-05,5.013109870082776e-13,2.6078314561142423e-05,0.0,0.0,0.0,0.0
1.05,-0.009361702,0.00013226931523866107,4.149740940975574e-13,0.00013226931482368697,0.0,0.0,0.0,0.0
1.0666666666666669,-0.009361702,0.0004465593299761897,3.4342515447952013e-13,0.0004465593296327645,0.0,0.0,0.0,0.0
1.0833333333333333,-0.004680851,0.0011654537788587545,2.8414819107480795e-13,0.0011654537785746064,0.0,0.0,0.0,0.0
1.1,0.004680851,0.0025465717912932827,2.350517129945975e-13,0.002546571791058231,0.0,0.0,0.0,0.0
1.1166666666666667,0.009361702,0.004885896203387743,1.943978629461324e-13,0.004885896203193346,0.0,0.0,0.0,0.0
1.1333333333333333,0.018723404,0.008487906808481662,1.6074322443719533e-13,0.008487906808320919,0.0,0.0,0.0,0.0
1.15,0.028085107,0.013634333031425274,1.3288940692969022e-13,0.013634333031292384,0.0,0.0,0.0,0.0
1.1666666666666667,0.037446808,0.020556118480297265,1.0984182242468012e-13,0.020556118480187423,0.0,0.0,0.0,0.0
1.1833333333333331,0.04680851,0.029411649571761928,9.077531790896072e-14,0.029411649571671153,0.0,0.0,0.0,0.0
1.2,0.060851064,0.04027278919404591,7.50055408488867e-14,0.040272789193970905,0.0,0.0,0.0,0.0
1.2166666666666666,0.074893616,0.0531189951120838,6.196509493213351e-14,0.05311899511202184,0.0,0.0,0.0,0.0
1.2333333333333334,0.08893617,0.067838875775353,5.118369529674548e-14,0.06783887577530182,0.0,0.0,0.0,0.0
1.25,0.10297872,0.08423794451047105,4.227166068865414e-14,0.08423794451042878,0.0,0.0,0.0,0.0
1.2666666666666666,0.12170213,0.10205103330355039,3.490618793184778e-14,0.10205103330351549,0.0,0.0,0.0,0.0
1.2833333333333334,0.13574468,0.12095775710725891,2.8819944859209534e-14,0.12095775710723009,0.0,0.0,0.0,0.0
1.3,0.15446809,0.14059951343990465,2.379159407733115e-14,0.14059951343988086,0.0,0.0,0.0,0.0
1.3166666666666669,0.17319149,0.16059670051064737,1.963792388231346e-14,0.16059670051062772,0.0,0.0,0.0,0.0
1.3333333333333333,0.18723404,0.18056509091679523,1.620731622914483e-14,0.18056509091677903,0.0,0.0,0.0,0.0
1.35,0.20595744,0.20013056925635106,1.3374326519823331e-14,0.20013056925633768,0.0,0.0,0.0,0.0
1.3666666666666667,0.22468086,0.2189417038410172,1.1035187501862967e-14,0.21894170384100614,0.0,0.0,0.0,0.0
1.3833333333333333,0.2387234,0.2366798576320118,9.104080933150057e-15,0.2366798576320027,0.0,0.0,0.0,0.0
1.4,0.25276595,0.25306674179668953,7.510046863265804e-15,0.25306674179668204,0.0,0.0,0.0,0.0
1.4166666666666667,0.2668085,0.2678694730069928,6.194422242111289e-15,0.2678694730069866,0.0,0.0,0.0,0.0
1.4333333333333331,0.28085107,0.28090331307686334,5.1087187988064946e-15,0.28090331307685823,0.0,0.0,0.0,0.0
1.45,0.29021275,0.29203234985011284,4.2128653302546185e-15,0.2920323498501086,0.0,0.0,0.0,0.0
1.4666666666666666,0.29957446,0.3011684261292946,3.4737521975729595e-15,0.3011684261292911,0.0,0.0,0.0,0.0
