time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8
19.466666666666665,-0.004680851,4.384082595569006e-19,4.3354934487110874e-19,4.858914608082954e-21,7.770896963366795e-29,2.3541739315342476e-82,0.0,0.0,0.0,0.0
19.48333333333333,-0.004680851,4.202785561408928e-19,4.156398719007973e-19,4.638684167320196e-21,7.277525590790231e-29,1.6061970553342375e-82,0.0,0.0,0.0,0.0
19.5,-0.004680851,4.028984770464806e-19,3.984700427312647e-19,4.428434247061102e-21,6.81547681016045e-29,1.0958409572707325e-82,0.0,0.0,0.0,0.0
19.516666666666666,-0.004680851,3.8623703119420185e-19,3.820093185177901e-19,4.2277126125841205e-21,6.382762138977544e-29,7.476265136146087e-83,0.0,0.0,0.0,0.0
19.53333333333333,-0.004680851,3.7026450856287473e-19,3.6622842098560992e-19,4.036087517489603e-21,5.977519325601533e-29,5.100471958205775e-83,0.0,0.0,0.0,0.0
19.55,-0.004680851,3.5495242724285274e-19,3.510992804112357e-19,3.853146775636991e-21,5.598004336378246e-29,3.4795619749114344e-83,0.0,0.0,0.0,0.0
19.566666666666663,-0.004680851,3.402734826772833e-19,3.3659498574974384e-19,3.678496875113657e-21,5.242583851381153e-29,2.3737084166289167e-83,0.0,0.0,0.0,0.0
19.58333333333333,-0.004680851,3.2620149900091275e-19,3.2268973681948413e-19,3.511762132331312e-21,4.9097282364841553e-29,1.6192681875662575e-83,0.0,0.0,0.0,0.0
19.6,-0.004680851,3.1271138238988614e-19,3.0935879845947213e-19,3.3525838844339542e-21,4.59800496153533e-29,1.1045842768725703e-83,0.0,0.0,0.0,0.0
19.616666666666667,-0.004680851,2.9977907633934296e-19,2.965784565780001e-19,3.2006197182821216e-21,4.3060724363143684e-29,7.534728848634994e-84,0.0,0.0,0.0,0.0
19.633333333333333,-0.004680851,2.8738151878917276e-19,2.8432597601448963e-19,3.055542734356348e-21,4.032674237755437e-29,5.139550470186128e-84,0.0,0.0,0.0,0.0
19.65,-0.004680851,2.7549660102162293e-19,2.725795601398563e-19,2.9170408440002803e-21,3.776633703603785e-29,3.505673103111308e-84,0.0,0.0,0.0,0.0
19.666666666666668,-0.004680851,2.6410312825748567e-19,2.6131831212362488e-19,2.784816098492304e-21,3.5368488692447215e-29,2.391148289537005e-84,0.0,0.0,0.0,0.0
19.683333333333334,0.0,2.53180781880711e-19,2.50522197799083e-19,2.6585840485051695e-21,3.3122877259246565e-29,1.6309117203587787e-84,0.0,0.0,0.0,0.0
19.7,0.0,2.427100832241337e-19,2.40172010060537e-19,2.5380731325768557e-21,3.101983779963286e-29,1.1123546761603155e-84,0.0,0.0,0.0,0.0
19.716666666666665,0.0,2.326723588518309e-19,2.302493347295009e-19,2.4230240932796897e-21,2.9050318938527864e-29,7.586562515350722e-85,0.0,0.0,0.0,0.0
