time,signal,fit_total,peak_1,peak_2
0.0,-0.018723404,0.0,0.0,0.0
0.0166666666666666,-0.009361702,0.0,0.0,0.0
0.0333333333333333,-0.004680851,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.0666666666666666,0.0,0.0,0.0,0.0
0.0833333333333333,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.1166666666666666,0.0,0.0,0.0,0.0
0.1333333333333333,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0
0.1666666666666666,0.0,0.0,0.0,0.0
0.1833333333333333,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.2166666666666666,0.0,0.0,0.0,0.0
0.2333333333333333,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.2666666666666666,0.0,0.0,0.0,0.0
0.2833333333333333,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.3166666666666666,0.0,0.0,0.0,0.0
0.3333333333333333,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0
0.3666666666666666,-0.004680851,0.0,0.0,0.0
0.3833333333333333,-0.004680851,0.0,0.0,0.0
0.4,-0.004680851,0.0,0.0,0.0
0.4166666666666667,-0.004680851,0.0,0.0,0.0
0.4333333333333333,-0.004680851,0.0,0.0,0.0
0.45,-0.004680851,0.0,0.0,0.0
0.4666666666666667,0.0,0.0,0.0,0.0
0.4833333333333333,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5166666666666667,0.0,0.0,0.0,0.0
0.5333333333333333,0.0,0.0,0.0,0.0
0.55,-0.004680851,0.0,0.0,0.0
0.5666666666666667,-0.004680851,0.0,0.0,0.0
0.5833333333333334,-0.004680851,0.0,0.0,0.0
0.6,-0.004680851,0.0,0.0,0.0
0.6166666666666667,-0.004680851,0.0,0.0,0.0
0.6333333333333333,-0.004680851,0.0,0.0,0.0
0.65,-0.004680851,0.0,0.0,0.0
0.6666666666666666,-0.004680851,0.0,0.0,0.0
0.6833333333333333,-0.004680851,0.0,0.0,0.0
0.7,-0.009361702,0.0,0.0,0.0
0.7166666666666667,-0.009361702,0.0,0.0,0.0
0.7333333333333333,-0.009361702,0.0,0.0,0.0
0.75,-0.009361702,0.0,0.0,0.0
0.7666666666666667,-0.009361702,0.0,0.0,0.0
0.7833333333333333,-0.009361702,0.0,0.0,0.0
0.8,-0.009361702,0.0,0.0,0.0
0.8166666666666667,-0.009361702,0.0,0.0,0.0
0.8333333333333334,-0.004680851,0.0,0.0,0.0
0.85,-0.004680851,4.2348815692942614e-08,4.2348815692942614e-08,0.0
0.8666666666666667,-0.004680851,2.5255346830450837e-06,2.5255346830450837e-06,0.0
0.8833333333333333,-0.004680851,2.559317179833171e-05,2.559317179833171e-05,0.0
0.9,0.0,0.00012552977794124404,0.00012552977794124404,0.0
0.9166666666666666,0.0,0.0004137003118572459,0.0004137003118572459,0.0
0.9333333333333332,0.004680851,0.0010602270773305796,0.0010602270773305796,0.0
0.95,0.004680851,0.0022842101773734007,0.0022842101773734007,0.0
0.9666666666666668,0.0140425535,0.004334139606611519,0.004334139606611519,0.0
0.9833333333333332,0.018723404,0.007463325423919382,0.007463325423919382,0.0
1.0,0.023404256,0.011904833889943482,0.011904833889943482,0.0
1.0166666666666666,0.03276596,0.017849372548273568,0.017849372548273568,0.0
1.0333333333333334,0.042127658,0.0254283241699872,0.0254283241699872,0.0
1.05,0.05148936,0.03470297355592603,0.03470297355592603,0.0
1.0666666666666669,0.060851064,0.04566003773470295,0.04566003773470295,0.0
1.0833333333333333,0.074893616,0.05821294075455954,0.05821294075455954,0.0
1.1,0.084255315,0.07220785700740329,0.07220785700740329,0.0
1.1166666666666667,0.09829787,0.08743334296254901,0.08743334296254901,0.0
1.1333333333333333,0.11234043,0.10363233762013309,0.10363233762013309,0.0
1.15,0.12638298,0.12051538845969141,0.12051538845969141,0.0
1.1666666666666667,0.14510638,0.13777410930647088,0.13777410930647088,0.0
1.1833333333333331,0.15914893,0.15509406443860294,0.15509406443860294,0.0
1.2,0.17787234,0.17216647285586267,0.17216647285586267,0.0
1.2166666666666666,0.19191489,0.18869831913239468,0.18869831913239468,0.0
1.2333333333333334,0.20595744,0.20442063052496137,0.20442063052496137,0.0
1.25,0.22,0.2190948271780443,0.2190948271780443,0.0
1.2666666666666666,0.23404256,0.23251717057729457,0.23251717057729457,0.0
1.2833333333333334,0.24340425,0.24452142496945292,0.24452142496945292,0.0
1.3,0.25276595,0.2549799093348556,0.2549799093348556,0.0
1.3166666666666669,0.26212767,0.2638031568677926,0.2638031568677926,0.0
1.3333333333333333,0.2668085,0.2709384185548146,0.2709384185548146,0.0
1.35,0.27617022,0.27636725124204015,0.27636725124204015,0.0
1.3666666666666667,0.28085107,0.2801024222923795,0.2801024222923795,0.0
1.3833333333333333,0.2855319,0.2821843459519668,0.2821843459519668,0.0
1.4,0.2855319,0.28267724382583703,0.28267724382583703,0.0
1.4166666666666667,0.28085107,0.2816651958731051,0.2816651958731051,0.0
1.4333333333333331,0.28085107,0.27924822105368446,0.27924822105368446,0.0
1.45,0.27617022,0.275538499719507,0.275538499719507,0.0
1.4666666666666666,0.27148935,0.27065682416361675,0.27065682416361675,0.0
1.4833333333333334,0.26212767,0.26472934018964217,0.26472934018964217,0.0
1.5,0.2574468,0.25788462161864656,0.25788462161864656,0.0
1.5166666666666666,0.2480851,0.2502511015509699,0.2502511015509699,0.0
1.5333333333333334,0.24340425,0.24195486900488583,0.24195486900488583,0.0
1.55,0.23404256,0.2331178271822867,0.2331178271822867,0.0
1.5666666666666669,0.22468086,0.22385619988802022,0.22385619988802022,0.0
1.5833333333333333,0.21531914,0.21427936531419836,0.21427936531419836,0.0
1.6,0.20595744,0.20448899121746303,0.20448899121746303,0.0
1.6166666666666667,0.19191489,0.19457844217416714,0.19457844217416714,0.0
1.6333333333333333,0.18255319,0.18463242780441966,0.18463242780441966,0.0
1.65,0.17319149,0.17472686033202667,0.17472686033202667,0.0
1.6666666666666667,0.15914893,0.16492889033451008,0.16492889033451008,0.0
1.6833333333333331,0.14978723,0.1552970908017251,0.1552970908017251,0.0
1.7,0.14042553,0.14588176145683487,0.14588176145683487,0.0
1.7166666666666666,0.13106383,0.13672532752168606,0.13672532752168606,0.0
1.7333333333333334,0.12170213,0.12786280957998833,0.12786280957998833,0.0
1.75,0.11234043,0.11932234378257363,0.11932234378257363,0.0
1.7666666666666666,0.10297872,0.11112573425012137,0.11112573425012137,0.0
