time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6
18.116666666666667,0.018723404,0.0012074886258966213,6.683735877409107e-76,0.0012074886258966152,5.476114929266195e-50,5.996471261458304e-18,3.418119145822856e-42,1.4036324139988183e-39
18.133333333333333,0.018723404,0.0011990338332408148,5.539741531564739e-76,0.0011990338332408092,4.578102358647773e-50,5.666511171911086e-18,2.644152893937616e-42,1.0434090491120238e-39
18.15,0.018723404,0.001190636093258192,4.591526467630542e-76,0.0011906360932581867,3.8273078880472077e-50,5.354695405457973e-18,2.0453784869532744e-42,7.75592358330505e-40
18.166666666666668,0.018723404,0.0011822950424312717,3.805590498722897e-76,0.0011822950424312667,3.199604317252526e-50,5.060026906655906e-18,1.5821534923480162e-42,5.764880023231593e-40
18.183333333333334,0.018723404,0.001174010319335559,3.154164891215084e-76,0.0011740103193355542,2.6748173614869387e-50,4.7815633697146836e-18,1.223802715616127e-42,4.284744898671091e-40
18.2,0.018723404,0.0011657815646299444,2.6142319300261662e-76,0.0011657815646299399,2.2360782242783806e-50,4.518414234426538e-18,9.465904873615953e-43,3.184474148328036e-40
18.216666666666665,0.018723404,0.001157608421047138,2.1667121743738032e-76,0.0011576084210471336,1.8692821749741053e-50,4.269737846794284e-18,7.321513042608273e-43,2.3666207015522987e-40
18.23333333333333,0.0140425535,0.0011494905333841086,1.7957907270255836e-76,0.0011494905333841044,1.562635780184373e-50,4.034738775334284e-18,5.66275252640032e-43,1.7587247610070986e-40
18.25,0.0140425535,0.0011414275484925352,1.4883587434301018e-76,0.0011414275484925313,1.3062782774493285e-50,3.8126652745276424e-18,4.379680381757564e-43,1.306909445451093e-40
18.266666666666666,0.0140425535,0.001133419115269289,1.2335504721823256e-76,0.0011334191152692853,1.0919649540474877e-50,3.602806887357558e-18,3.387235575279991e-43,9.711171563555314e-41
18.28333333333333,0.0140425535,0.0011254648846469014,1.0223594883614389e-76,0.001125464884646898,9.128023800518232e-51,3.4044921793128997e-18,2.61960969866917e-43,7.215665271758514e-41
18.3,0.0140425535,0.0011175645095840763,8.473205751862685e-77,0.001117564509584073,7.630270060030054e-51,3.2170865966553978e-18,2.0258908155330956e-43,5.361173494633876e-41
18.316666666666663,0.0140425535,0.001109717645056213,7.022460256423266e-77,0.00110971764505621,6.378200250440389e-51,3.039990442141551e-18,1.5666926063020596e-43,3.983108947651098e-41
18.33333333333333,0.0140425535,0.0011019239480459231,5.820070559210134e-77,0.0011019239480459203,5.331525615018456e-51,2.8726369617629248e-18,1.2115460288816537e-43,2.959126000004176e-41
18.35,0.0140425535,0.0010941830775335981,4.823526143715906e-77,0.0010941830775335953,4.456562198878665e-51,2.71449053642226e-18,9.368810673666296e-44,2.1982839341250273e-41
18.366666666666667,0.0140425535,0.00108649469448798,3.9975918932799785e-77,0.0010864946944879775,3.725148412240645e-51,2.56504497279401e-18,7.244651184456433e-44,1.6329890634453255e-41
18.383333333333333,0.0140425535,0.0010788584618567337,3.3130631317952155e-77,0.0010788584618567313,3.113739935034035e-51,2.4238218879334963e-18,5.601947347790007e-44,1.213003444696001e-41
18.4,0.0140425535,0.001071274044557061,2.7457336698205194e-77,0.0010712740445570587,2.602652917272298e-51,2.2903691824977826e-18,4.331607961478672e-44,9.009904024354598e-42
18.416666666666668,0.0140425535,0.0010637411094663284,2.2755404174125558e-77,0.0010637411094663262,2.175431185260082e-51,2.1642595977203752e-18,3.3492525284193855e-44,6.6920283483139e-42
18.433333333333334,0.0140425535,0.0010562593254127039,1.8858543576185137e-77,0.001056259325412702,1.818317140979433e-51,2.0450893515497518e-18,2.589615740353899e-44,4.970212520947987e-42
18.45,0.018723404,0.0010488283631658198,1.5628928412927286e-77,0.0010488283631658179,1.5198093682246758e-51,1.9324768496120242e-18,2.0022185992232856e-44,3.6912361331952824e-42
18.466666666666665,0.0140425535,0.0010414478954274544,1.295232446995057e-77,0.0010414478954274527,1.2702927407959456e-51,1.826061466896305e-18,1.5480195476735829e-44,2.7412489720603354e-42
18.48333333333333,0.0140425535,0.0010341175968222366,1.0734052002850537e-77,0.0010341175968222348,1.0617291543967735e-51,1.7255023962857406e-18,1.1968238195663217e-44,2.035658955260453e-42
18.5,0.0140425535,0.0010268371438883622,8.89563890018226e-78,0.0010268371438883605,8.873989493522326e-52,1.6304775602693617e-18,9.252793981965124e-45,1.5116162203569363e-42
18.516666666666666,0.0140425535,0.0010196062150683444,7.372046591213374e-78,0.0010196062150683429,7.416847182046447e-52,1.5406825823710795e-18,7.153267988296824e-45,1.1224271194251877e-42
18.53333333333333,0.0140425535,0.0010124244906997697,6.1093706986665905e-78,0.0010124244906997682,6.1989055278371214e-52,1.4558298150214107e-18,5.529999386843857e-45,8.33402775314062e-43
18.55,0.0140425535,0.0010052916530060815,5.062935202527126e-78,0.0010052916530060802,5.1809092310229135e-52,1.3756474207772757e-18,4.2749860733145896e-45,6.1877393957262245e-43
18.566666666666663,0.0140425535,0.0009982073860874006,4.1957127789562874e-78,0.0009982073860873993,4.330043318598801e-52,1.2998785039647338e-18,3.3047104055831166e-45,4.593983860825757e-43
18.58333333333333,0.0140425535,0.0009911713759113289,3.4770154989295364e-78,0.0009911713759113276,3.618876839497434e-52,1.2282802899791092e-18,2.5545902055690748e-45,3.4105733218033668e-43
18.6,0.0140425535,0.000984183310303816,2.881409621023106e-78,0.000984183310303815,3.0244797567376966e-52,1.1606233496297558e-18,1.9746869541976033e-45,2.531896140401593e-43
18.616666666666667,0.0140425535,0.0009772428789400361,2.387816128863391e-78,0.000977242878940035,2.527684647018335e-52,1.0966908660586976e-18,1.5263864381385806e-45,1.8795117654525085e-43
18.633333333333333,0.0140425535,0.0009703497733352641,1.9787652256046284e-78,0.000970349773335263,2.1124694701864852e-52,1.036277941898074e-18,1.1798315770251215e-45,1.395163066271875e-43
18.65,0.0140425535,0.0009635036868358068,1.6397784370359817e-78,0.0009635036868358058,1.765441560996679e-52,9.791909444599031e-19,9.119370376359312e-46,1.0355849894451686e-43
18.666666666666668,0.0140425535,0.0009567043146099378,1.3588564835645408e-78,0.0009567043146099368,1.4754062482833355e-52,9.252468868716501e-19,7.048538287984371e-46,7.686479438341401e-44
18.683333333333334,0.0140425535,0.0009499513536388677,1.1260548185847134e-78,0.0009499513536388669,1.233006226488391e-52,8.742728431862466e-19,5.447819224517937e-46,5.704928844519437e-44
18.7,0.0140425535,0.000943244502707726,9.331318285659944e-79,0.0009432445027077251,1.0304200786670214e-52,8.26105395602481e-19,4.210520393335986e-46,4.23403189447375e-44
18.716666666666665,0.0140425535,0.0009365834623965724,7.732572579722033e-79,0.0009365834623965716,8.61110251651125e-53,7.805901120347421e-19,3.2541560183739073e-46,3.1422391865542457e-44
18.73333333333333,0.0140425535,0.0009299679350714358,6.407705505372375e-79,0.0009299679350714351,7.196123740049519e-53,7.375810523667743e-19,2.5149567532021353e-46,2.3318771557886985e-44
18.75,0.0140425535,0.0009233976248753713,5.3098056263834537e-79,0.0009233976248753707,6.0135913681151465e-53,6.969403018159084e-19,1.9436240829926225e-46,1.730427855246695e-44
18.766666666666666,0.0140425535,0.0009168722377195498,4.399995668344639e-79,0.0009168722377195491,5.025330688657632e-53,6.585375299204275e-19,1.502047500952454e-46,1.284052610664739e-44
18.78333333333333,0.0140425535,0.0009103914812743593,3.646056757261728e-79,0.0009103914812743587,4.199434672105716e-53,6.222495737439097e-19,1.1607661973289905e-46,9.527823830086171e-45
18.8,0.0140425535,0.0009039550649605434,3.021288209613571e-79,0.0009039550649605428,3.5092352098874733e-53,5.879600439680888e-19,8.970064639477703e-47,7.069460724483881e-45
18.816666666666663,0.0140425535,0.0008975626999403656,2.503562549455096e-79,0.0008975626999403651,2.932443162520475e-53,5.555589526180282e-19,6.931642753699691e-47,5.2451825554927553e-45
18.83333333333333,0.0140425535,0.00089121409910878,2.0745423303832382e-79,0.0008912140991087794,2.4504295254027136e-53,5.2494236123255e-19,5.356320973354807e-47,3.891497639524657e-45
18.85,0.0140425535,0.0008849089770846553,1.7190310611429905e-79,0.0008849089770846547,2.0476245617245395e-53,4.960120483580667e-19,4.1389185768685746e-47,2.887053697364893e-45
18.866666666666667,0.0140425535,0.0008786470502020101,1.424435275471566e-79,0.0008786470502020096,1.7110155486753739e-53,4.686751953051838e-19,3.198137133379882e-47,2.1417805192932794e-45
