arquivo,tempo_pico,amplitude,k,theta,area,R2
Celobiose 0.5gl_10ul.csv,9.2,1.0138931364914756,9.999999999999838,0.036210490546521444,1.013893136486209,0.9984402121395919
Celobiose 0.5gl_10ul.csv,21.8,0.12183046072950977,9.999999999998492,0.05977031255416908,0.12183046072950443,0.9956602529601246
Celobiose 0.5gl_20ul.csv,9.2,2.122382124026091,9.999999999999998,0.0375639155510463,2.1223821240226832,0.998553008063848
Celobiose 0.5gl_20ul.csv,21.9,0.13381033988638896,9.449872817903097,0.06340971245833103,0.13381033988638114,0.9854979273764676
Celobiose 0.5gl_40ul.csv,9.2,4.355208197977773,9.999999999999911,0.03938771839608391,4.355208197990982,0.9981107122807817
Celobiose 0.5gl_40ul.csv,11.4,0.07557265526154948,9.999999999999998,0.04470588651920555,0.07557265526153048,0.9919513069114143
Celobiose 0.5gl_40ul.csv,21.9,0.16296227658866116,9.556158829002495,0.06415502437914382,0.1629622765886519,0.9967895489814247
Celobiose 0.5gl_5ul.csv,9.2,0.48705395035356003,9.999999999999988,0.036107102437971224,0.48705395035786875,0.9979364859487029
Celobiose 0.5gl_5ul.csv,21.8,0.09910129018344208,9.999999999605357,0.058494236193372615,0.09910129018343866,0.996513253269932
ESTR-1-1.csv,7.5,0.2725466678042049,1.6670730982891402,0.22441859414540696,0.2724115167589127,0.9412657840000028
ESTR-1-1.csv,10.0,8.415950585718718,9.999999999999998,0.03794780460814992,8.415950585682392,0.9951132644481768
ESTR-1-1.csv,12.1,0.16983722814903307,9.999999999999718,0.055087344414012474,0.1698372281490464,0.984935733273186
ESTR-1-1.csv,21.9,0.17945579172985796,8.849014467069763,0.06915021844116907,0.17945579172991336,0.9956596701824953
ESTR-1-2.csv,7.5,0.2516862186640235,1.697072275964632,0.2083116735043705,0.25149495676897177,0.7724434643283034
ESTR-1-2.csv,10.0,8.496370281524618,9.999999999999996,0.03813957437242053,8.496370281503935,0.9947454805874164
ESTR-1-2.csv,12.1,0.16300549065512102,9.999999999999998,0.0542893819116582,0.16300549065509615,0.9839837339523574
ESTR-1-2.csv,21.9,0.17021741269066812,8.918355236211038,0.06861565074077072,0.1702174126907055,0.9958641089687006
ESTR-1-3.csv,7.5,0.3207843585417782,1.4736354253617723,0.28602882131664953,0.32101523509350255,0.946588929902182
ESTR-1-3.csv,10.0,8.664463423222996,9.999999999997373,0.03804489401598568,8.664463423184626,0.995126199372937
ESTR-1-3.csv,12.1,0.16822988939490854,9.999999999999767,0.05277765728264342,0.16822988939488873,0.9940368894244985
ESTR-1-3.csv,21.9,0.19704683951278554,8.274205101683318,0.07486962624064322,0.19704683951314966,0.9962182222466407
ESTR0-1.csv,7.8,0.2187911107482892,9.99999999924574,0.057836542314198984,0.2187911107482741,0.9907963226952398
ESTR0-1.csv,8.3,0.4728809429094295,6.373426238627698,0.07671520958314719,0.47288094333416836,0.9979328902490516
ESTR0-1.csv,9.2,0.8637058845704967,3.676128070594659,0.09983414682319772,0.8637088070045822,0.9928725495039881
ESTR0-1.csv,10.0,8.425855803423453,9.999999999999998,0.03854006538662233,8.425855803438527,0.9941985871254033
ESTR0-1.csv,11.3,4.859915009305401,9.999999999999996,0.04348767364248867,4.859915009298616,0.9972956691136687
ESTR0-1.csv,12.2,2.564677833128647,9.999999999998794,0.05567131258347182,2.5646778331286613,0.9903686061285583
