time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7
0.0,-0.009361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0166666666666666,-0.004680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,3.3965532800720114e-12,3.3965532800720114e-12,0.0,0.0,0.0,0.0,0.0,0.0
0.2166666666666666,0.0,1.091396188756216e-09,1.091396188756216e-09,0.0,0.0,0.0,0.0,0.0,0.0
0.2333333333333333,0.0,2.86114785710981e-08,2.86114785710981e-08,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,2.688377216873257e-07,2.688377216873257e-07,0.0,0.0,0.0,0.0,0.0,0.0
0.2666666666666666,0.0,1.439699485990186e-06,1.439699485990186e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.2833333333333333,0.0,5.402712370140169e-06,5.402712370140169e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.5862553801485747e-05,1.5862553801485747e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.3166666666666666,0.0,3.891576067375128e-05,3.891576067375128e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.004680851,8.323332808201176e-05,8.323332808201176e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.004680851,0.0001597610622095624,0.0001597610622095624,0.0,0.0,0.0,0.0,0.0,0.0
0.3666666666666666,0.004680851,0.00028094495232937057,0.00028094495232937057,0.0,0.0,0.0,0.0,0.0,0.0
