arquivo,pico,tempo_pico,amplitude,sigma,lambda,area
BAGACO.csv,1,10.14886522710773,1.242528030196202,0.10581420183985633,3.6667682075235035,1.2425280301962067
CLB05gl 10ul.csv,1,9.111553363589966,0.986975551519343,0.07440924836666712,4.455358785563042,0.9869755515193425
CLB05gl 20ul.csv,1,9.12069082830612,2.3613071843400237,0.08039740922907056,4.0578467377980765,2.361307184340024
CLB05gl 40ul.csv,1,9.138099732291373,5.105372961956233,0.08635377924637075,3.9182085846509107,5.105372961956212
COMERCIAL.csv,1,10.158703122468637,2.3836437556114514,0.08840259535251078,3.5579907729333717,2.383643755611454
DAVI_BRUTO_10X.csv,1,6.3947090627453695,8.601725055331054,0.0768860264474149,0.8893764449306523,8.601725048753941
DAVI_BRUTO_10X.csv,2,7.4068371537132665,1.8257591669714506,0.23763513915986753,9.999999999999998,1.8257591669714475
DAVI_BRUTO_10X.csv,3,8.286046807693056,1.6484046607021534,0.11090007005250817,2.613403995777092,1.6484046607021483
DAVI_BRUTO_10X.csv,4,10.157489757318636,2.129677481711273,0.09780157089065519,3.4263024559457813,2.1296774817112745
DAVI_CARVAO_10X.csv,1,6.285475187015548,2.254403439928547,0.0674897176836166,5.979803254415374,2.25440343992854
DAVI_CARVAO_10X.csv,2,8.297711792733965,1.642630379788137,0.09243541973137101,3.517565966071192,1.6426303797881359
DAVI_CARVAO_10X.csv,3,10.168535389824932,6.968246389763685,0.09178158643832175,3.9158119880039766,6.968246389763721
DAVI_HID_ACD_10X.csv,1,6.306366980776066,5.5487009985767495,0.06999814335485648,9.474018090070455,5.548700998576745
DAVI_HID_ACD_10X.csv,2,10.171448178971294,7.884116532125863,0.09140601878423635,4.096240017507128,7.884116532125866
DAVI_HID_ACD_10X.csv,3,10.950903693979452,1.8151794276432096,0.3215140310442008,9.99999999999844,1.815179427643207
DCS_Celobiose_2gL_10uL.csv,1,7.787703926378831,1.0796629737550638,0.08312019805349323,4.736765393739038,1.0796629737550638
DCS_Celobiose_2gL_20uL.csv,1,7.798414256401906,2.2592126187726413,0.08674674787073758,4.671043566375751,2.2592126187726436
DCS_Celobiose_2gL_40uL.csv,1,7.814104988459609,4.56576463081364,0.08828716273901509,4.543422089021024,4.565764630813626
DCS_E5106.csv,1,7.775439275615001,3.0975164728068,0.10622856298539775,1.611414052274246,3.0975164728067965
DCS_E5106.csv,2,8.58559487923647,13.439019028027223,0.09329708244597376,6.112821352409003,13.439019028027223
DCS_E5106.csv,3,9.525746378003008,20.789685855270474,0.09295743520453022,4.287074727544885,20.78968585527057
DCS_E5106.csv,4,10.195357033985838,8.817438809758919,0.18107633349989125,9.999999999999998,8.81743880975891
DCS_E5107.csv,1,7.774621609777806,3.0476135965310522,0.1065925044283633,1.747933566391013,3.047613596531051
DCS_E5107.csv,2,8.583640409926767,14.128050633384067,0.0919922639721771,5.9830477615855795,14.128050633384028
DCS_E5107.csv,3,9.52359935681145,22.682892141979355,0.09167693417294645,4.189140276056291,22.682892141979313
DCS_E5107.csv,4,10.19370767105526,9.439066941568615,0.18127119008879325,9.99999999999999,9.439066941568496
DCS_E5108.csv,1,7.772086429286298,3.0152702055720306,0.10509257197317766,1.751749503046861,3.015270205572031
DCS_E5108.csv,2,8.583375583656341,14.079021862300703,0.09275897059579828,6.0596854840387575,14.079021862300705
DCS_E5108.csv,3,9.52271675662537,23.188390459834068,0.0920470848039691,4.221823209719951,23.1883904598341
DCS_E5108.csv,4,10.191979505175665,9.592399122103492,0.1816611607230399,9.99999999999999,9.592399122103522
DCS_E5109.csv,1,7.76730843041419,3.153720642172153,0.1026177726428775,1.7159770455643621,3.1537206421721495
DCS_E5109.csv,2,8.582916898821217,14.724929016120589,0.09238657916880391,6.179615600016855,14.724929016120601
DCS_E5109.csv,3,9.519905847008044,24.763264459435014,0.09043356220883439,4.238710983450206,24.763264459435128
DCS_E5109.csv,4,10.190821639100358,10.165742045653808,0.17983263395051713,9.999999999999721,10.165742045653806
DCS_E511.csv,1,7.774089396007539,2.9896757488975942,0.10830886512784854,1.2301670190317697,2.9896757488935672
DCS_E511.csv,2,8.575656991604474,11.101357865130263,0.09263461789389785,5.642617551045635,11.101357865130186
DCS_E511.csv,3,9.51921662274934,10.91334514537595,0.09721580137455092,4.150115389390678,10.913345145376002
DCS_E511.csv,4,10.206257386535707,5.386925728839015,0.18133493604584455,9.999999999999998,5.3869257288389525
DCS_E5110.csv,1,7.769844963828972,2.970873010471565,0.10024944900313085,1.6927912160797154,2.9708730104715677
DCS_E5110.csv,2,8.583644706406357,15.394516798110297,0.09224838986843319,6.130032029772739,15.394516798110326
DCS_E5110.csv,3,9.521126266159412,24.329690544882858,0.09122153382125936,4.255876934410085,24.329690544882883
DCS_E5110.csv,4,10.190347309343972,9.904653679294892,0.18041746938358239,9.999999999975316,9.904653679294876
DCS_E5111.csv,1,7.767463775386403,2.9532629110507957,0.10198158881749024,1.8047422338100267,2.953262911050798
DCS_E5111.csv,2,8.584515036561426,15.403849866309285,0.09266678390583523,6.279619360749437,15.403849866309304
DCS_E5111.csv,3,9.52100310102813,24.764717565914232,0.09098606838494147,4.294309386655758,24.76471756591426
DCS_E5111.csv,4,10.189235610861784,10.043901023269836,0.1797612516975985,9.999999999999941,10.043901023269964
DCS_E5112.csv,1,7.767544852933929,2.5941437937352028,0.10246093837231035,1.8170236097452956,2.594143793735203
DCS_E5112.csv,2,8.582991246160844,15.624915134433227,0.09179226023512871,6.030349799264943,15.624915134433206
DCS_E5112.csv,3,9.519987738481767,23.025347361701684,0.0910422533993422,4.164494661474139,23.025347361701787
DCS_E5112.csv,4,10.190050745228202,9.288311247300163,0.18235934347205413,9.999999999999998,9.288311247300083
DCS_E5113.csv,1,7.767217175454175,2.5123813777668182,0.10013975277348512,1.7665089568531471,2.512381377766818
DCS_E5113.csv,2,8.58670879048276,15.757577574370481,0.09223595149831092,6.177611900860509,15.757577574370586
DCS_E5113.csv,3,9.518742693325708,21.879171462709042,0.0910771076879096,4.182602831726737,21.879171462709042
DCS_E5113.csv,4,10.187006622467653,8.841151766317337,0.1835660518456358,9.999999999965445,8.841151766317328
DCS_E5114.csv,1,7.769071185727696,2.236224433381476,0.10114040771854804,1.9694272283899656,2.2362244333814765
DCS_E5114.csv,2,8.587918505654134,17.315412609419145,0.0901962260532042,5.94882056577178,17.315412609419276
DCS_E5114.csv,3,9.522024212835456,21.716962615956362,0.0910767212358509,4.267933815536374,21.716962615956366
DCS_E5114.csv,4,10.190221112164073,8.704921646699677,0.18256443196380254,9.999999999999993,8.704921646699775
DCS_E5115.csv,1,7.771897415651321,2.3824494467222017,0.09936519351782248,2.168707277514404,2.3824494467221995
DCS_E5115.csv,2,8.592995815996257,20.316488966483508,0.09088788488566506,6.106746917741321,20.316488966483547
DCS_E5115.csv,3,9.523652983017934,26.900654454171043,0.09034194221064759,4.254526579524904,26.900654454170915
DCS_E5115.csv,4,10.195575378188789,10.612714064729918,0.18192569237459372,9.999999999999696,10.612714064729898
DCS_E5116.csv,1,7.7691030087760895,2.2472814247251875,0.10082097164844049,2.2273196861327134,2.2472814247251907
DCS_E5116.csv,2,8.593801704866967,20.723180234451554,0.0910142967356707,6.188017337480683,20.723180234451394
DCS_E5116.csv,3,9.52262878335985,25.13932246509155,0.0908145217205917,4.283068946474708,25.139322465091528
DCS_E5116.csv,4,10.195131981209533,9.882269362353446,0.18090946382869533,9.999999999999732,9.882269362353355
DCS_E512.csv,1,7.775452556072078,3.026589845256035,0.11053450856917442,1.2843461842692137,3.0265898452548106
DCS_E512.csv,2,8.576479635753243,11.394125675706018,0.09208771401070596,5.632342850250816,11.394125675706041
DCS_E512.csv,3,9.520198621395323,12.982347912708459,0.09588627118805514,4.162346224107062,12.98234791270847
DCS_E512.csv,4,10.202595728647776,6.085182164783175,0.18164098268729056,9.999999999999998,6.085182164783258
DCS_E513.csv,1,7.776780959647186,2.9613201566505665,0.11086026965236588,1.3575887056797684,2.9613201566503347
DCS_E513.csv,2,8.577836275833333,11.570210664762262,0.09189604671719916,5.61212939459623,11.570210664762262
DCS_E513.csv,3,9.521987436623712,15.035879794913985,0.09463387549275082,4.1535050882043665,15.035879794913974
DCS_E513.csv,4,10.19819184075537,6.7138959152771776,0.18215575973871925,9.999999999999995,6.713895915277195
DCS_E514.csv,1,7.77387572976978,2.9426432178905273,0.1098193944366213,1.488644260017085,2.9426432178905157
DCS_E514.csv,2,8.577820180341325,12.318207536846177,0.09198266624374798,5.749629388207654,12.318207536846181
DCS_E514.csv,3,9.522474040622006,17.232036567253296,0.09369974386826169,4.19465368272387,17.232036567253203
DCS_E514.csv,4,10.19608787632055,7.492803211563287,0.18127336533021454,9.999999999999998,7.492803211563219
DCS_E515.csv,1,7.776320293893612,2.980540564649654,0.10697504516600234,1.5436133949148618,2.980540564649648
DCS_E515.csv,2,8.582625818601416,12.692695426230067,0.09247083128246884,5.92526500323059,12.692695426229974
DCS_E515.csv,3,9.524231601636185,18.833437844057187,0.09317428666259198,4.246594876200001,18.8334378440572
DCS_E515.csv,4,10.19742024935391,8.020290629687942,0.18001401766965314,9.999999999999066,8.020290629687857
DCS_E5206.csv,1,7.775024813841759,3.0946848486932783,0.10400166435550531,1.6139260411128247,3.094684848693281
DCS_E5206.csv,2,8.583539627295114,13.570792428180797,0.09199431269117511,6.036643064126144,13.570792428180884
DCS_E5206.csv,3,9.524177124322245,21.00035061963273,0.09188282092223032,4.249222372213434,21.000350619632833
DCS_E5206.csv,4,10.194502866495837,8.861730604787946,0.18027823301871193,9.999999999999998,8.86173060478784
DCS_E5207.csv,1,7.774323014732562,3.0432341723525633,0.10551517814370243,1.7099246467090055,3.0432341723525607
DCS_E5207.csv,2,8.585095258887534,13.82085958376526,0.092636137139762,6.164599190266918,13.820859583765154
DCS_E5207.csv,3,9.525168084033394,22.20672104961995,0.09169901385242092,4.274567720000326,22.206721049619926
DCS_E5207.csv,4,10.195373687890674,9.239565882585632,0.17917099690227964,9.999999999999998,9.239565882585605
DCS_E5208.csv,1,7.771397965680487,3.077863825972813,0.10599796915323761,1.801849057841671,3.0778638259728157
DCS_E5208.csv,2,8.581618233271895,14.659814135409839,0.09246247014553026,6.044352053382143,14.659814135409823
DCS_E5208.csv,3,9.521706740560454,24.071212503378785,0.09172284484609668,4.237873122373595,24.071212503378675
DCS_E5208.csv,4,10.190911195122327,9.949041545092902,0.18081047789657143,9.999999999999998,9.949041545093005
DCS_E5209.csv,1,7.009319888841422,1.170270702775605,0.17204718192718232,4.8253864453057425,1.1702707027756054
DCS_E5209.csv,2,7.7672246745935025,3.2852583326226523,0.10247710966328571,1.6863757212546229,3.2852583326226523
DCS_E5209.csv,3,8.583023991985632,14.963728794344727,0.09274499420042596,6.140159528467797,14.963728794344762
DCS_E5209.csv,4,9.521970004800616,25.108240417993844,0.09147777992332896,4.274609349112784,25.108240417993812
DCS_E5209.csv,5,10.192360970717942,10.348652832099532,0.18037288872075685,9.999999999942496,10.348652832099559
DCS_E521.csv,1,7.773565808526235,2.863835853630799,0.1119756728854593,1.3041868309597815,2.8638358536300554
DCS_E521.csv,2,8.575160714866241,11.101616731208702,0.09234125728396503,5.62220195986495,11.10161673120876
DCS_E521.csv,3,9.516759560591867,10.99047236433515,0.09664472786183256,4.080874503862397,10.990472364335144
DCS_E521.csv,4,10.203728575862897,5.418647608158382,0.18208454420616432,9.999999999999964,5.418647608158377
