arquivo,tempo_pico,amplitude,k,theta,area,R2
DCS_E5101.csv,6.1,1.3325325534567847e-06,9.99821323604247,1.9998553208792051,9.75757568478324e-07,-0.23714874611868364
DCS_E5101.csv,6.8,0.8750882547216199,1.45800647367854,0.5169019437279526,0.8757589656965216,0.9631410021587913
DCS_E5101.csv,7.2,0.8356620384728347,7.915125971931791,0.07754840943543742,0.8356620384767972,0.998714616241409
DCS_E5101.csv,8.0,1.8608200507214343,2.104515936084709,0.23606787976157173,1.8606007399596238,0.9995833794596533
DCS_E5101.csv,8.7,9.891474927375976,9.999999999999998,0.04506725989543062,9.891474927377939,0.9978769891755656
DCS_E5101.csv,9.6,9.214821379823658,7.174958371202245,0.06145482596267992,9.21482138112868,0.9981892238589885
DCS_E5101.csv,10.3,5.5111987399733495,8.187415472195406,0.076414525895928,5.511198739985711,0.9841486064376015
DCS_E5101.csv,15.0,0.18592245226652745,5.616654168741119,0.08759623003654077,0.18592245333581162,0.9979739944583009
DCS_E5101.csv,18.1,0.08915290544839347,7.483665167719084,0.0871774326255979,0.08915290544879828,0.9919368501036318
DCS_E5101.csv,19.9,0.041869194678434564,3.914102854095403,0.18721031271808697,0.04186919987856121,0.59719298969408
DCS_E5101.csv,27.2,0.06320803567845326,1.2688527879572784,1.9999864665224985,0.04638448202938303,-inf
DCS_E5102.csv,6.1,0.0030965759907171132,8.794769902790431,1.7365747113008467,0.0028917920360839854,-0.25897163752593433
DCS_E5102.csv,6.8,0.8749636921968218,1.4743671257557465,0.47891127668458516,0.8753703221391147,0.964881983342404
DCS_E5102.csv,7.2,0.8537342775208324,7.74767013952892,0.07960853527465564,0.853734277519766,0.9986044850575729
DCS_E5102.csv,8.0,1.9143848250139661,2.2019024270475516,0.22472379223508948,1.914565458796228,0.9994979441158247
DCS_E5102.csv,8.7,10.138552357973362,9.999999999999964,0.04490839669602519,10.138552357967532,0.9979668848951749
DCS_E5102.csv,9.6,10.951495401215652,7.0292545796301305,0.06164424774953432,10.951495400993293,0.9983613550463605
DCS_E5102.csv,10.3,6.197497611137962,8.141577043575882,0.07637018540087372,6.197497611154229,0.9838466595090899
DCS_E5102.csv,15.0,0.18426647825689135,6.987469611621002,0.07345922781504013,0.18426647825813178,0.9987656794161663
DCS_E5102.csv,18.1,0.05865409926352308,7.463885094780962,0.07561861837966735,0.05865409926263086,0.9875616969085245
DCS_E5102.csv,19.9,0.004238850106372139,9.999999999988809,0.04299991293027401,0.004238850106378764,0.5931635326099063
DCS_E5102.csv,20.7,0.03918916508518418,1.2467517650678122,1.9999965713954773,0.03864578761908115,0.12757695810223257
DCS_E5102.csv,20.8,0.0038178551052217126,9.999999999999208,0.03682514389671056,0.0038178551052076167,0.731226109588734
DCS_E5102.csv,27.1,,,,,
DCS_E5102.csv,27.4,,,,,
DCS_E5103.csv,0.3,0.0009872261243608906,0.8010163047961385,0.25115503657183913,0.000917228775090986,0.6374134565556113
DCS_E5103.csv,6.1,0.002706171804726789,0.11686644027107038,0.014526729606298694,0.00043472058752325464,-0.2220684434886051
DCS_E5103.csv,6.8,0.9175531237520603,1.4813020126425271,0.4748987805327781,0.9175956361269998,0.9709513015579075
DCS_E5103.csv,7.2,0.8723151767606321,7.89120351612678,0.07983276946408091,0.8723151767640404,0.9983676009450696
DCS_E5103.csv,8.0,1.9133388033109606,2.257076380794719,0.21595241011070512,1.91340952089158,0.9996939316439645
DCS_E5103.csv,8.7,10.283726742251185,9.999999999999998,0.044889254108661215,10.283726742241338,0.9979815849534956
DCS_E5103.csv,9.6,12.646992436152372,6.979083027814002,0.061431989969003314,12.646992429513077,0.9984385320155992
DCS_E5103.csv,10.3,6.802124535289494,8.075221012073266,0.07644567112392979,6.802124535311387,0.9828900414998074
DCS_E5103.csv,15.0,0.21326678628675177,7.15067547419182,0.07431338071021154,0.21326678626998155,0.9982661805822517
