arquivo,tempo_pico,amplitude,t0,k,theta,area,R2
DCS_E5101.csv,7.15,0.9410369315753853,6.924362912632111,1.98,0.218,0.9412788116772972,0.9667148189469397
DCS_E5101.csv,7.95,1.659807327061621,7.73079785006363,1.98,0.218,1.6596391893345668,0.9346172203575018
DCS_E5101.csv,8.667,15.492826984896809,8.46640656835259,1.98,0.218,15.48537477642398,0.8473214709170906
DCS_E5101.csv,9.633,13.09344599937138,9.421247952066508,1.98,0.218,13.09460812042732,0.8926576471961846
DCS_E5101.csv,10.283,6.19084949586337,10.050496762833001,1.98,0.218,6.188073551294659,0.9023902846548205
DCS_E5101.csv,15.017,0.22278570903452616,14.808172840879669,1.98,0.218,0.22284446792263726,0.9685081696929209
DCS_E5101.csv,18.067,0.09342191561725108,17.841507403137054,1.98,0.218,0.09344655629034113,0.898652841837327
DCS_E5102.csv,7.15,0.9497414238424402,6.921977481088457,1.98,0.218,0.9498812966508992,0.967663545998651
DCS_E5102.csv,7.95,1.7282760110421647,7.731361359743276,1.98,0.218,1.7279626679457667,0.9345775392910659
DCS_E5102.csv,8.667,15.930756075562938,8.467475397560888,1.98,0.218,15.924462609983978,0.8498311424886988
DCS_E5102.csv,9.633,15.66407485116086,9.422257710731095,1.98,0.218,15.666685654553868,0.8900513507039705
DCS_E5102.csv,10.283,6.981156351488798,10.04767572013275,1.98,0.218,6.980246758392415,0.9061823914156171
DCS_E5102.csv,15.033,0.23021697496583599,14.810354266304484,1.98,0.218,0.2302695012888658,0.9568116393361179
DCS_E5102.csv,18.083,0.06940646674664633,17.854104905632667,1.98,0.218,0.06940954370989547,0.9544632349240614
DCS_E5103.csv,7.15,0.9598085223918266,6.920622831482449,1.98,0.218,0.9598368007383199,0.9644289999828287
DCS_E5103.csv,7.95,1.7598907268703403,7.73089738343245,1.98,0.218,1.7596886627919859,0.9452054044219196
DCS_E5103.csv,8.667,16.182633755248393,8.469041242214134,1.98,0.218,16.18007993368365,0.8567117134437561
DCS_E5103.csv,9.633,18.207139001842364,9.424316580915585,1.98,0.218,18.211802033918907,0.8922712672038055
DCS_E5103.csv,10.283,7.681030400531873,10.044137662953023,1.98,0.218,7.6826207218376155,0.9080966248297401
DCS_E5103.csv,15.033,0.26142569797839965,14.813259865895107,1.98,0.218,0.2614272830626967,0.9642153478404963
DCS_E5103.csv,18.083,0.08742871753897904,17.843922274300258,1.98,0.218,0.08744775483161916,0.8826418202894748
DCS_E5104.csv,7.15,0.9946304315295914,6.918300436593508,1.98,0.218,0.9943681654412917,0.9603638461108696
DCS_E5104.csv,7.95,1.8722165221744922,7.725605545170357,1.98,0.218,1.8727102769978545,0.9673468082654204
DCS_E5104.csv,8.667,17.372725141842654,8.468045750892609,1.98,0.218,17.36746594507008,0.8470048588755753
DCS_E5104.csv,9.633,21.02039667593388,9.424499732905408,1.98,0.218,21.025851194730723,0.8864721825168012
DCS_E5104.csv,10.283,8.596638680305212,10.04255491237551,1.98,0.218,8.598876636546676,0.9105748949366462
DCS_E5104.csv,15.033,0.29407868074973986,14.808872794931174,1.98,0.218,0.2941563931503184,0.9710691574486635
DCS_E5104.csv,18.067,0.18252047857735268,17.8410493075095,1.98,0.218,0.18256746211973263,0.9603113994928255
DCS_E5105.csv,7.15,1.0320494154786686,6.919438626359866,1.98,0.218,1.03194025432387,0.9563896527204625
DCS_E5105.csv,7.933,1.95495272316735,7.721957939086206,1.98,0.218,1.9552378683217324,0.973495587404141
DCS_E5105.csv,8.667,18.123078094531206,8.471544168872532,1.98,0.218,18.125142475632757,0.8588118312143785
DCS_E5105.csv,9.633,23.156285386275563,9.425863307479501,1.98,0.218,23.16232229726032,0.8859992606187274
DCS_E5105.csv,10.283,9.248019571027534,10.043790871569083,1.98,0.218,9.25008869623714,0.9097840243799702
DCS_E5105.csv,15.017,0.31215839417233615,14.80914339159259,1.98,0.218,0.31224000888979175,0.9713187213728862
DCS_E5105.csv,18.05,0.08801462837941083,17.836330685718995,1.98,0.218,0.08800778648666135,0.9538097409896495
DCS_E5106.csv,7.15,1.0969863820309267,6.91811202429635,1.98,0.218,1.0966655825537954,0.9570332474244021
DCS_E5106.csv,7.933,2.0963402272103937,7.7197657375071795,1.98,0.218,2.0962030512250625,0.9812331455454217
DCS_E5106.csv,8.667,19.377848431496478,8.473003727387052,1.98,0.218,19.381916392442164,0.8629014232473418
DCS_E5106.csv,9.633,25.705977623165694,9.427060987920216,1.98,0.218,25.711799367888034,0.8871201848637195
DCS_E5106.csv,10.283,10.1219721535646,10.041950414962166,1.98,0.218,10.124658174912057,0.9084240685520575
DCS_E5106.csv,15.017,0.34199622560376913,14.809488409559341,1.98,0.218,0.34208358270771144,0.9739354853083624
DCS_E5106.csv,18.067,0.08615674588632796,17.833773118633093,1.98,0.218,0.0861172556103347,0.9537648209035257
DCS_E5107.csv,7.15,1.1227922762928717,6.91535310604023,1.98,0.218,1.1224713659927903,0.9644572206511057
DCS_E5107.csv,7.933,2.1783971654092955,7.716531504885106,1.98,0.218,2.17729227228811,0.9900569960641977
DCS_E5107.csv,8.667,20.289085227331128,8.472292326093013,1.98,0.218,20.29251310652619,0.8571231170492513
DCS_E5107.csv,9.633,27.833094284721216,9.425944860227714,1.98,0.218,27.840314959852265,0.8826841010098919
