arquivo,pico_id,A,mu,k_global,theta_global
clb_05_gl,1,9.479994779701545e-38,0.003332616406323057,10.173971068319181,0.04481120109113609
clb_05_gl_1,1,0.0033815709067431168,7.999581563647534,10.173971068319181,0.04481120109113609
clb_05_gl_2,1,2.2653143585023305,8.905250920578151,10.173971068319181,0.04481120109113609
clb_05_gl_3,1,4.511910884340947,8.92727618230701,10.173971068319181,0.04481120109113609
clb_1_gl,1,2.254160342153708e-28,0.0005832016762137496,10.173971068319181,0.04481120109113609
clb_1_gl,2,0.005192589185850906,7.954506369915573,10.173971068319181,0.04481120109113609
clb_1_gl_1,1,1.8421303404286087,8.889309404369802,10.173971068319181,0.04481120109113609
clb_1_gl_2,1,3.7830978569843468,8.905953526703476,10.173971068319181,0.04481120109113609
clb_1_gl_3,1,7.6007291823570595,8.93045736885946,10.173971068319181,0.04481120109113609
glc_05_gl,1,0.32269519665383456,10.980840246573287,10.173971068319181,0.04481120109113609
glc_05_gl_1,1,2.396031606492332e-37,9.24918104808214,10.173971068319181,0.04481120109113609
glc_05_gl_1,2,0.0841452461239169,21.445031407357828,10.173971068319181,0.04481120109113609
glc_05_gl_2,1,1.4258528610887438,11.0063370530985,10.173971068319181,0.04481120109113609
glc_05_gl_3,1,2.8528616208845987,11.02810273595836,10.173971068319181,0.04481120109113609
glc_1_gl,1,0.0011693302738210504,0.08335117346004134,10.173971068319181,0.04481120109113609
glc_1_gl,2,0.012363706549963658,12.263390624662494,10.173971068319181,0.04481120109113609
glc_1_gl_1,1,1.756611157266198,10.99021490224873,10.173971068319181,0.04481120109113609
glc_1_gl_2,1,3.5910579793617465,11.00951046746207,10.173971068319181,0.04481120109113609
glc_1_gl_3,1,7.190092835887736,11.025010371763374,10.173971068319181,0.04481120109113609
TN100,1,33.583265871353646,9.76547104796567,10.173971068319181,0.04481120109113609
TN_2.5X,1,15.071617293625271,9.73900383840219,10.173971068319181,0.04481120109113609
TN_4X,1,10.525564882551846,9.732450670518327,10.173971068319181,0.04481120109113609
TV100,1,31.799536550193885,9.765213719445624,10.173971068319181,0.04481120109113609
TV_2.5X,1,12.221774839643414,9.736338224392359,10.173971068319181,0.04481120109113609
TV_4X,1,9.804567522119465,9.732670805810042,10.173971068319181,0.04481120109113609
xy_05_gl,1,8.386910992917756e-35,0.00018953632039054772,10.173971068319181,0.04481120109113609
xy_05_gl,2,0.6339412180866618,11.759677557691193,10.173971068319181,0.04481120109113609
xy_05_gl_1,1,1.3098385977017526,11.76417324047189,10.173971068319181,0.04481120109113609
xy_05_gl_2,1,2.6525892358490686,11.780528096163865,10.173971068319181,0.04481120109113609
xy_05_gl_3,1,5.295794907528133,11.802002487415558,10.173971068319181,0.04481120109113609
xy_1_gl,1,4.444329362359818e-39,7.289404993209992e-10,10.173971068319181,0.04481120109113609
xy_1_gl,2,0.8749690160907407,11.758107887753246,10.173971068319181,0.04481120109113609
xy_1_gl_1,1,1.790400536077748,11.764658229479837,10.173971068319181,0.04481120109113609
xy_1_gl_2,1,3.6583170481301783,11.780591404097182,10.173971068319181,0.04481120109113609
xy_1_gl_3,1,7.277693578952706,11.800795247156554,10.173971068319181,0.04481120109113609
