arquivo,tempo_pico,amplitude,k,theta,area,R2
Celobise_1gL_10uL.csv,7.6,1.2258989771449693,3.3550939900668966,0.11946166862873178,1.2259017487609867,0.9980238565284517
Celobise_1gL_10uL.csv,18.5,0.17249871023124544,2.814310491778808,0.27953675036535225,0.1724984400472596,0.7676962714261262
Celobise_1gL_20uL.csv,7.7,2.5362020752131293,2.8405331110807115,0.13850798968668535,2.53625068247244,0.9976486296913161
Celobise_1gL_20uL.csv,18.4,0.11545638272605592,4.667500464196963,0.1482102807555043,0.11545638368653167,0.9316877535346778
Celobise_1gL_40uL.csv,7.7,5.247442619135472,3.0094370013614156,0.13658614012784384,5.247385983409491,0.9983368575656212
Celobise_1gL_40uL.csv,18.5,0.17003578159232952,3.0086204280468967,0.2634560500819275,0.17003577594226402,0.5674148126779714
Celobise_1gL_5uL.csv,7.6,0.6115420920924095,2.6610099326045416,0.14773712773337208,0.6115658721014793,0.9983643217034832
Glicose_1gL_10uL.csv,9.4,3.650923416217481,9.474256569955193,0.06348209127379328,3.650923416218008,0.999806534695704
Glicose_1gL_10uL.csv,18.2,0.17308482576950449,1.616371733300291,0.4626661780656838,0.17309942293905914,0.9817683821207881
Glicose_1gL_10uL.csv,18.4,0.13992501397249404,3.3835578771357637,0.20833139650958146,0.13992507986032054,0.8908815087226799
Glicose_1gL_20uL.csv,8.4,0.08704537624124285,9.999999999999972,0.05908244974653964,0.08704537624124832,0.9683954497099787
Glicose_1gL_20uL.csv,9.4,8.026367751046587,8.659652086906103,0.07067826132352792,8.026367751052057,0.9960653135010427
Glicose_1gL_20uL.csv,18.2,0.18575132323423624,3.8770641385515177,0.18578338570252184,0.18575135077500943,0.9000859651899166
Glicose_1gL_40uL.csv,8.4,0.18507487121858934,6.797810441425669,0.09300026947068618,0.18507487121284905,0.9743641205018857
Glicose_1gL_40uL.csv,9.4,19.794891219441435,5.297858937694264,0.12232799422283773,19.79489119778982,0.9749575134576931
Glicose_1gL_40uL.csv,18.1,0.1444571612882694,2.0921063523487975,0.2624467555610734,0.14447309827782814,0.9732024967480284
Glicose_1gL_5uL.csv,9.4,1.727511276502067,5.105736406912193,0.09026846356724873,1.7275113094360395,0.9997462972125161
Glicose_1gL_5uL.csv,18.2,0.11735836928460218,4.803711507348913,0.14447680088501716,0.11735836971454862,0.9513664721752823
XY_1gL_10uL.csv,10.1,1.6041113528586417,6.192673567187551,0.10467554847857002,1.6041113524392998,0.9967051634979487
XY_1gL_10uL.csv,18.4,0.12455683756033188,3.6348162140364595,0.18456228722962295,0.12455679515514069,0.8919558920335948
XY_1gL_20uL.csv,10.1,3.4436856237786726,5.656950940026047,0.11617414646856898,3.4436856209152755,0.9942014173470655
XY_1gL_20uL.csv,18.4,0.14353610493164062,3.710346108622195,0.19133732640704645,0.14353614036650972,0.7706372741028612
XY_1gL_40uL.csv,10.1,7.403488912566173,5.155729297208378,0.1309183418998511,7.403488908546215,0.9929765114961316
XY_1gL_40uL.csv,18.3,0.1532338037947971,3.803169226585532,0.20365236480218454,0.15323382510366612,0.9616385861443578
XY_1gL_5uL.csv,10.1,0.7623758189876867,6.4974998346235076,0.09927990734649371,0.7623758189119174,0.9972429537686852
XY_1gL_5uL.csv,18.4,0.11782186084308198,4.790276253209716,0.14103550452208277,0.11782186138253763,0.9377183261599534
