arquivo,tempo_pico,amplitude,t0,k,theta,area
DCS_E5101.csv,7.15,0.8161771077165761,6.700000000000001,7.141042596532532,0.07865269093443075,0.8161771077156555
DCS_E5101.csv,7.95,1.4394316888738703,7.500000000000001,7.141042596532532,0.07865269093443075,1.4394316888722465
DCS_E5101.csv,8.67,13.194365708657994,8.216666666666667,7.141042596532532,0.07865269093443075,13.194365708643113
DCS_E5101.csv,9.63,11.295047022533312,9.183333333333334,7.141042596532532,0.07865269093443075,11.295047022520574
DCS_E5101.csv,10.28,5.415794767011536,9.833333333333332,7.141042596532532,0.07865269093443075,5.415794767005428
DCS_E5101.csv,15.02,0.19184814478897003,14.566666666666674,7.141042596532532,0.07865269093443075,0.19184814478875367
DCS_E5101.csv,18.07,0.08147315501236875,17.616666666666667,7.141042596532532,0.07865269093443075,0.08147315501227685
DCS_E5102.csv,7.15,0.8240649241710739,6.700000000000001,7.141042596532532,0.07865269093443075,0.8240649241701445
DCS_E5102.csv,7.95,1.4984427584577877,7.500000000000001,7.141042596532532,0.07865269093443075,1.4984427584560975
DCS_E5102.csv,8.67,13.548858475485206,8.216666666666667,7.141042596532532,0.07865269093443075,13.548858475469922
DCS_E5102.csv,9.63,13.49951921279622,9.183333333333334,7.141042596532532,0.07865269093443075,13.499519212780992
DCS_E5102.csv,10.28,6.11148056500961,9.833333333333332,7.141042596532532,0.07865269093443075,6.111480565002718
DCS_E5102.csv,15.03,0.20032740139488586,14.583333333333332,7.141042596532532,0.07865269093443075,0.20032740139465988
DCS_E5102.csv,18.08,0.060596214102246616,17.633333333333333,7.141042596532532,0.07865269093443075,0.06059621410217827
DCS_E5103.csv,7.15,0.83297299633675,6.700000000000001,7.141042596532532,0.07865269093443075,0.8329729963358106
DCS_E5103.csv,7.95,1.526150548996743,7.500000000000001,7.141042596532532,0.07865269093443075,1.5261505489950216
DCS_E5103.csv,8.67,13.735433480458553,8.216666666666667,7.141042596532532,0.07865269093443075,13.735433480443062
DCS_E5103.csv,9.63,15.660561118436153,9.183333333333334,7.141042596532532,0.07865269093443075,15.660561118418489
DCS_E5103.csv,10.28,6.728461653443441,9.833333333333332,7.141042596532532,0.07865269093443075,6.7284616534358515
DCS_E5103.csv,15.03,0.22713621887420768,14.583333333333332,7.141042596532532,0.07865269093443075,0.2271362188739515
DCS_E5103.csv,18.08,0.07659933391223542,17.633333333333333,7.141042596532532,0.07865269093443075,0.07659933391214903
DCS_E5104.csv,7.15,0.863382278210496,6.700000000000001,7.141042596532532,0.07865269093443075,0.8633822782095222
DCS_E5104.csv,7.95,1.6268006546677114,7.500000000000001,7.141042596532532,0.07865269093443075,1.6268006546658766
