time,signal
0.0,-0.5804255
0.016666666666666666,-0.22468086
0.03333333333333333,-0.08893617
0.05,-0.037446808
0.06666666666666667,-0.0140425535
0.08333333333333333,-0.009361702
0.1,-0.004680851
0.11666666666666667,0.0
0.13333333333333333,0.0
0.15,0.0
0.16666666666666666,-0.004680851
0.18333333333333332,-0.009361702
0.2,-0.0140425535
0.21666666666666667,-0.023404256
0.23333333333333334,-0.028085107
0.25,-0.037446808
0.26666666666666666,-0.042127658
0.2833333333333333,-0.05148936
0.3,-0.056170214
0.31666666666666665,-0.06553192
0.3333333333333333,-0.074893616
0.35,-0.079574466
0.36666666666666664,-0.08893617
0.38333333333333336,-0.09361702
0.4,-0.10297872
0.4166666666666667,-0.10765957
0.43333333333333335,-0.11702128
0.45,-0.12638298
0.4666666666666667,-0.13106383
0.48333333333333334,-0.14042553
0.5,-0.14510638
0.5166666666666667,-0.15446809
0.5333333333333333,-0.16382979
0.55,-0.16851063
0.5666666666666667,-0.17787234
0.5833333333333334,-0.18255319
0.6,-0.18723404
0.6166666666666667,-0.19659574
0.6333333333333333,-0.2012766
0.65,-0.2106383
0.6666666666666666,-0.21531914
0.6833333333333333,-0.22468086
0.7,-0.23404256
0.7166666666666667,-0.2387234
0.7333333333333333,-0.2480851
0.75,-0.2574468
0.7666666666666667,-0.26212767
0.7833333333333333,-0.27148935
0.8,-0.27617022
0.8166666666666667,-0.2855319
0.8333333333333334,-0.29489362
0.85,-0.29957446
0.8666666666666667,-0.30893618
0.8833333333333333,-0.31829786
0.9,-0.3229787
0.9166666666666666,-0.33234042
0.9333333333333333,-0.33702126
0.95,-0.34170213
0.9666666666666667,-0.34638298
0.9833333333333333,-0.3557447
1.0,-0.36042553
1.0166666666666666,-0.36510637
1.0333333333333334,-0.36978722
1.05,-0.3744681
1.0666666666666667,-0.3744681
1.0833333333333333,-0.37914893
1.1,-0.37914893
1.1166666666666667,-0.37914893
1.1333333333333333,-0.37914893
1.15,-0.37914893
1.1666666666666667,-0.37914893
1.1833333333333333,-0.3744681
1.2,-0.36978722
1.2166666666666666,-0.36042553
1.2333333333333334,-0.3557447
1.25,-0.34638298
1.2666666666666666,-0.33702126
1.2833333333333334,-0.3229787
1.3,-0.31361702
1.3166666666666667,-0.29957446
1.3333333333333333,-0.29021275
1.35,-0.27617022
1.3666666666666667,-0.26212767
1.3833333333333333,-0.25276595
1.4,-0.24340425
1.4166666666666667,-0.23404256
1.4333333333333333,-0.22468086
1.45,-0.22
1.4666666666666666,-0.21531914
1.4833333333333334,-0.2106383
1.5,-0.2106383
1.5166666666666666,-0.2106383
1.5333333333333334,-0.2106383
1.55,-0.21531914
1.5666666666666667,-0.22
1.5833333333333333,-0.2293617
1.6,-0.2387234
1.6166666666666667,-0.2480851
1.6333333333333333,-0.2574468
1.65,-0.27148935
1.6666666666666667,-0.2855319
1.6833333333333333,-0.29957446
1.7,-0.31361702
1.7166666666666666,-0.33234042
1.7333333333333334,-0.34638298
1.75,-0.36042553
1.7666666666666666,-0.37914893
1.7833333333333334,-0.39787233
1.8,-0.41191489
1.8166666666666667,-0.43063828
1.8333333333333333,-0.4493617
1.85,-0.46340424
1.8666666666666667,-0.4774468
1.8833333333333333,-0.49148935
1.9,-0.5102128
1.9166666666666667,-0.52425534
1.9333333333333333,-0.5382979
1.95,-0.55234045
1.9666666666666666,-0.56170213
1.9833333333333334,-0.5757447
2.0,-0.58978724
2.0166666666666666,-0.5991489
