arquivo,tempo_pico,A,t0,k,theta,area,R2
Pd. 3HP 0.5gL _ 10ul.csv,13.3,0.5468122252967955,12.904773835074097,8.770240212025449,0.04748251996398688,0.5468122252877742,0.9994570426022302
Pd. 3HP 0.5gL _ 10ul.csv,18.2,0.051241930924172806,17.772283660103216,9.99999999996693,0.04656418809982445,0.051241930924172015,0.9951896320411697
Pd. 3HP 0.5gL _ 10ul.csv,20.4,0.025202318119473956,20.023125852145398,9.999999999995236,0.04715321496818597,0.02520231811947864,0.981404116579199
Pd. 3HP 0.5gL _ 20ul.csv,13.3,1.1026194092703163,12.891818795839336,9.742743166017274,0.045293875848870846,1.1026194092716135,0.9995226500424788
Pd. 3HP 0.5gL _ 20ul.csv,18.2,0.24022051674863767,17.74266358236421,9.999999999999991,0.05057551477834836,0.24022051674871137,0.9994125877354189
Pd. 3HP 0.5gL _ 20ul.csv,20.4,0.06776937889550484,19.945722898572495,9.999999989495748,0.05613704109303458,0.0677693788955085,0.9910379641778642
Pd. 3HP 0.5gL _ 40ul.csv,13.3,2.226120274197589,12.900619390546321,9.83994502375145,0.045837013003075355,2.2261202741951616,0.9995192001576362
Pd. 3HP 0.5gL _ 40ul.csv,18.2,0.2586974090352155,17.787935639433233,9.91992773422363,0.04972817518809622,0.2586974090351589,0.9998945161839666
Pd. 3HP 0.5gL _ 40ul.csv,20.5,0.13831111603790006,19.945890472125168,9.999999999999757,0.05830798896526142,0.13831111603790439,0.9977590451074139
Pd. 3HP 0.5gL _ 5ul.csv,13.3,0.2676242229738688,12.918530276759599,8.075130933854574,0.04933404856097671,0.2676242230013717,0.9993889868354591
Pd. 3HP 0.5gL _ 5ul.csv,18.2,0.031809140260743496,17.795396069529037,9.999999999999657,0.041067977531858674,0.031809140260800575,0.9932608124344621
Pd. 3HP 10gL _ 10ul.csv,12.2,0.11060990940536808,11.812708204662176,9.94828439618233,0.045529639256004346,0.11060990940543056,0.9997013647797848
Pd. 3HP 10gL _ 10ul.csv,13.3,6.180162699402092,12.904847685707203,8.730881347940286,0.047779893717324044,6.1801626992961785,0.9993208509594624
Pd. 3HP 10gL _ 10ul.csv,18.2,0.25342213611258685,17.70100461439117,9.999999999998474,0.052868976553662246,0.25342213611253667,0.9986332336555966
Pd. 3HP 10gL _ 20ul.csv,12.2,0.21503711740873913,11.823903358974004,9.999999999999867,0.044976180829228246,0.2150371174088548,0.9994107183113163
Pd. 3HP 10gL _ 20ul.csv,13.3,12.591678157265312,12.892420075103711,9.682846972064413,0.04539628378139576,12.591678157285402,0.9993652339152596
Pd. 3HP 10gL _ 20ul.csv,18.2,0.25932327859139476,17.735328784762697,9.999999999999972,0.05173512719131472,0.2593232785913323,0.9982301564387878
Pd. 3HP 10gL _ 20ul.csv,20.4,0.05056642067001141,20.072593281790528,4.8104940582398585,0.09783342170800371,0.05056641790326313,0.9875087607919935
Pd. 3HP 10gL _ 40ul.csv,12.2,0.44076334133119205,11.828475693429949,9.999999999999998,0.04602881801039304,0.44076334133145223,0.9993202009420872
Pd. 3HP 10gL _ 40ul.csv,13.3,25.56286810312097,12.943429713947108,7.8435758491417165,0.052006668119825364,25.562868099439978,0.999436325220317
Pd. 3HP 10gL _ 40ul.csv,18.2,0.26503852022773866,17.78105977788456,9.99999999999534,0.05014734366909929,0.2650385202277222,0.9997465263518092
Pd. 3HP 10gL _ 40ul.csv,20.5,0.07785123008176086,19.91666666666669,9.438334380859372,0.06445815103360364,0.07785123008175701,0.9774721728127364
Pd. 3HP 10gL _ 5ul.csv,12.2,0.04524342318252731,11.844527459869632,9.4542379000297,0.043649328038437296,0.04524342318279143,0.9986627099403262
Pd. 3HP 10gL _ 5ul.csv,13.3,3.023284156403598,12.91787371551168,7.950200419986895,0.050274533953952594,3.0232841568204485,0.9991001806963727
Pd. 3HP 10gL _ 5ul.csv,18.1,0.23321281791621848,17.677207550921104,9.999999999999998,0.05370099749180483,0.233212817916256,0.9966372334315148
Pd. 3HP 2gL _ 10ul.csv,13.3,1.9795040167945228,12.904581614450487,8.803563987956803,0.04757465440033084,1.9795040167657985,0.99932887172186
Pd. 3HP 2gL _ 10ul.csv,18.2,0.056490818641436624,17.817362946167975,7.847637674732018,0.054216198055636246,0.056490818646908844,0.9973884160079065
Pd. 3HP 2gL _ 20ul.csv,12.2,0.06774859132395566,11.826010073475834,9.999999993358799,0.045158921948512204,0.06774859132401936,0.9986777076828944
Pd. 3HP 2gL _ 20ul.csv,13.3,3.957752122590781,12.894822330321997,9.489997587330018,0.04607213925364005,3.9577521226039845,0.9993262011083744
Pd. 3HP 2gL _ 20ul.csv,18.2,0.2522499517096082,17.737078133392806,9.999999999963686,0.050771267612328135,0.2522499517095608,0.9988865510491174
Pd. 3HP 2gL _ 20ul.csv,20.4,0.04654241974555472,19.957208327385924,9.999999891143336,0.0545741341509943,0.04654241974555886,0.9857407848878857
Pd. 3HP 2gL _ 40ul.csv,12.2,0.12515074590935493,11.852124401043694,9.999999999965803,0.04399632798701509,0.12515074590920197,0.9992081579203962
Pd. 3HP 2gL _ 40ul.csv,13.3,8.065338609670214,12.91564244619757,9.039930447672349,0.04815265265952528,8.065338609718763,0.9995208930179267
Pd. 3HP 2gL _ 40ul.csv,18.2,0.24365907354259908,17.792855044909256,9.999999999828235,0.04919568105971343,0.2436590735426983,0.9998095322330692
Pd. 3HP 2gL _ 40ul.csv,20.5,0.11726989515507932,19.93300084317623,9.999999999994653,0.05922514470409701,0.11726989515507298,0.9953838154805486
Pd. 3HP 2gL _ 5ul.csv,13.3,0.9536230573103011,12.921675817274943,7.873486007103067,0.050639864311911115,0.9536230573545477,0.9992057394364435
Pd. 3HP 2gL _ 5ul.csv,18.2,0.2159989338414433,17.697533818251294,9.999999999999623,0.051570829112666285,0.21599893384143626,0.997148087885297
