arquivo,pico_id,A,mu,k_global,theta_global
AGUA,1,1.9260287300395238e-14,5.3110851804615054e-05,10.686262164316052,0.0410141631069367
AGUA,2,0.008433074507464092,1.0669681277658924,10.686262164316052,0.0410141631069367
AGUA,3,0.006562188494777708,1.462784917451986,10.686262164316052,0.0410141631069367
AGUA,4,0.0030812269788069277,5.842866252602788,10.686262164316052,0.0410141631069367
AGUA,5,2.1560007223651443,48.86095943549366,10.686262164316052,0.0410141631069367
AGUA,6,3.1146288753909395,45.29103627914478,10.686262164316052,0.0410141631069367
AGUA,7,1.9316158359150828e-17,0.018688171702346112,10.686262164316052,0.0410141631069367
AGUA,8,16.907648095277324,44.639277605488076,10.686262164316052,0.0410141631069367
AGUA,9,0.010265875574898189,8.504346908989074,10.686262164316052,0.0410141631069367
AGUA,10,0.007938288374980946,9.445293157556172,10.686262164316052,0.0410141631069367
AGUA,11,0.004717098340348609,9.947506246447137,10.686262164316052,0.0410141631069367
AGUA,12,0.006261657116421071,4.524019197116207,10.686262164316052,0.0410141631069367
AGUA,13,0.011100107992532615,8.980167927943224,10.686262164316052,0.0410141631069367
AGUA,14,1.8334280588389196e-35,16.83503926969964,10.686262164316052,0.0410141631069367
Celobiose 0.5gl_10ul,1,1.0966844345984306,8.797812179531336,10.686262164316052,0.0410141631069367
Celobiose 0.5gl_20ul,1,2.261714095524288,8.815349891008918,10.686262164316052,0.0410141631069367
Celobiose 0.5gl_40ul,1,4.527105406028714,8.8373550784323,10.686262164316052,0.0410141631069367
Celobiose 0.5gl_5ul,2,0.526024478949471,8.79172437535413,10.686262164316052,0.0410141631069367
Glicose 2gl_10ul,1,3.9707844371531027,10.926162254180637,10.686262164316052,0.0410141631069367
Glicose 2gl_20ul,1,8.140167802595927,10.94081335370075,10.686262164316052,0.0410141631069367
Glicose 2gl_40ul,1,16.277180074763336,10.961205217501623,10.686262164316052,0.0410141631069367
Glicose 2gl_5ul,1,1.9263811281109988,10.91971056504301,10.686262164316052,0.0410141631069367
Xilose 1gl_10ul,1,1.53685710309139,11.707268059189058,10.686262164316052,0.0410141631069367
Xilose 1gl_20ul,1,3.1738407106781885,11.720861865006471,10.686262164316052,0.0410141631069367
Xilose 1gl_40ul,1,6.270920020587294,11.740913711165545,10.686262164316052,0.0410141631069367
Xilose 1gl_5ul,1,0.7351637201190128,11.699925705549667,10.686262164316052,0.0410141631069367
