time,signal,baseline,corrected
0.0,2.9442554,-1.1296512231786575,4.073906623178657
0.0166666666666666,1.1327659,-1.1235604239055412,2.256326323905541
0.0333333333333333,0.43531916,-1.1174697727225391,1.552788932722539
0.05,0.16851063,-1.1113792410014227,1.2798898710014228
0.0666666666666666,0.06553192,-1.1052888001139642,1.1708207201139642
0.0833333333333333,0.023404256,-1.099198421431935,1.122602677431935
0.1,0.009361702,-1.093108076327107,1.1024697783271071
0.1166666666666666,0.004680851,-1.0870177361712519,1.091698587171252
0.1333333333333333,0.0,-1.0809273723361414,1.0809273723361414
0.15,0.0,-1.0748369561935476,1.0748369561935476
0.1666666666666666,-0.009361702,-1.068746459115242,1.059384757115242
0.1833333333333333,-0.042127658,-1.0626558524729963,1.0205281944729963
0.2,-0.079574466,-1.0565651076385822,0.9769906416385823
0.2166666666666666,-0.11234043,-1.0504741959837915,0.9381337659837915
0.2333333333333333,-0.14978723,-1.0443831136242276,0.8945958836242276
0.25,-0.18723404,-1.0382918438711657,0.8510578038711657
0.2666666666666666,-0.22468086,-1.0322003552110228,0.8075194952110228
0.2833333333333333,-0.2574468,-1.0261086131990058,0.7686618131990058
0.3,-0.29489362,-1.020016580341388,0.725122960341388
0.3166666666666666,-0.32765958,-1.0139242159523398,0.6862646359523399
0.3333333333333333,-0.36042553,-1.0078314759843003,0.6474059459843003
0.35,-0.38851064,-1.0017383128426105,0.6132276728426105
0.3666666666666666,-0.4212766,-0.9956446751705663,0.5743680751705663
0.3833333333333333,-0.44468084,-0.9895505076171631,0.5448696676171632
0.4,-0.47276595,-0.9834557505773424,0.5106898005773424
0.4166666666666667,-0.5055319,-0.9773603398939305,0.4718284398939304
0.4333333333333333,-0.5382979,-0.9712642065232344,0.4329663065232344
0.45,-0.56170213,-0.9651672761634466,0.40346514616344653
0.4666666666666667,-0.5851064,-0.9590694688264472,0.37396306882644714
0.4833333333333333,-0.6085106,-0.9529706984007086,0.34446009840070857
0.5,-0.6319149,-0.9468708722263295,0.31495597222632954
0.5166666666666667,-0.6506383,-0.9407698906288677,0.29013159062886773
0.5333333333333333,-0.6740425,-0.9346676463504466,0.26062514635044665
0.55,-0.6880851,-0.9285640237971774,0.2404789237971774
0.5666666666666667,-0.7068085,-0.922458898109773,0.21565039810977304
0.5833333333333334,-0.72085106,-0.9163521340034939,0.19550107400349392
0.6,-0.73021275,-0.9102435844427446,0.1800308344427446
0.6166666666666667,-0.73957443,-0.9041330891753706,0.1645586591753706
0.6333333333333333,-0.7489362,-0.8980204731641386,0.14908427316413853
0.65,-0.753617,-0.891905544981836,0.13828854498183607
0.6666666666666666,-0.76765954,-0.8857880954717157,0.11812855547171563
0.6833333333333333,-0.786383,-0.8796678972614794,0.09328489726147937
0.7,-0.8004255,-0.873544704347928,0.07311920434792796
0.7166666666666667,-0.8144681,-0.8674182519395011,0.05295015193950103
0.7333333333333333,-0.8144681,-0.8612882563566319,0.04682015635663184
0.75,-0.8144681,-0.8551544151576728,0.04068631515767274
0.7666666666666667,-0.8191489,-0.8490164074301698,0.02986750743016986
0.7833333333333333,-0.8191489,-0.8428738940884876,0.023724994088487605
