time,signal,fit_total,peak_1,peak_2,peak_3
0.0,-0.079574466,0.0,0.0,0.0,0.0
0.0166666666666666,-0.03276596,0.0,0.0,0.0,0.0
0.0333333333333333,-0.0140425535,0.0,0.0,0.0,0.0
0.05,-0.004680851,0.0,0.0,0.0,0.0
0.0666666666666666,-0.004680851,0.0,0.0,0.0,0.0
0.0833333333333333,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.1166666666666666,0.0,0.0,0.0,0.0,0.0
0.1333333333333333,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.1666666666666666,0.0,2.4711667261457738e-17,2.4711667261457738e-17,0.0,0.0
0.1833333333333333,0.0,4.957838855685903e-10,4.957838855685903e-10,0.0,0.0
0.2,0.0,5.740483966429561e-10,5.740483966429561e-10,0.0,0.0
0.2166666666666666,0.0,5.756191600369939e-10,5.756191600369939e-10,0.0,0.0
0.2333333333333333,0.0,5.441839307759012e-10,5.441839307759012e-10,0.0,0.0
0.25,0.0,4.981289969047144e-10,4.981289969047144e-10,0.0,0.0
0.2666666666666666,0.0,4.467592468238955e-10,4.467592468238955e-10,0.0,0.0
0.2833333333333333,0.0,3.950827322570988e-10,3.950827322570988e-10,0.0,0.0
0.3,0.0,3.458001088526748e-10,3.458001088526748e-10,0.0,0.0
0.3166666666666666,0.0,3.002911205224749e-10,3.002911205224749e-10,0.0,0.0
0.3333333333333333,0.0,2.5915663926330197e-10,2.5915663926330197e-10,0.0,0.0
0.35,0.0,2.2253574793855794e-10,2.2253574793855794e-10,0.0,0.0
0.3666666666666666,-0.004680851,1.9029841438631576e-10,1.9029841438631576e-10,0.0,0.0
0.3833333333333333,-0.004680851,1.621650746789791e-10,1.621650746789791e-10,0.0,0.0
0.4,-0.004680851,1.3778145659538201e-10,1.3778145659538201e-10,0.0,0.0
0.4166666666666667,-0.004680851,1.167652159911387e-10,1.167652159911387e-10,0.0,0.0
0.4333333333333333,-0.004680851,9.873450482595324e-11,9.873450482595324e-11,0.0,0.0
0.45,-0.004680851,8.332484710114696e-11,8.332484710114696e-11,0.0,0.0
0.4666666666666667,-0.004680851,7.01984335122418e-11,7.01984335122418e-11,0.0,0.0
0.4833333333333333,-0.004680851,5.904852755547858e-11,5.904852755547858e-11,0.0,0.0
0.5,-0.004680851,4.9600764849820394e-11,4.9600764849820394e-11,0.0,0.0
0.5166666666666667,-0.004680851,4.161253050841709e-11,4.161253050841709e-11,0.0,0.0
0.5333333333333333,-0.004680851,3.487120244942341e-11,3.487120244942341e-11,0.0,0.0
0.55,-0.004680851,2.919178182052844e-11,2.919178182052844e-11,0.0,0.0
0.5666666666666667,-0.004680851,2.4414251321954822e-11,2.4414251321954822e-11,0.0,0.0
