time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12
21.2,0.056170214,0.014152024399359454,3.957535605431495e-54,9.847705769227268e-176,1.2615283855753923e-45,1.7091264335040932e-57,5.260511167095995e-70,2.4702111842713443e-113,2.5610251415766814e-88,1.6699303337981288e-66,3.878172718145921e-19,0.014152024399359454,0.0,0.0
21.216666666666665,0.056170214,0.013584064132527886,3.467555830867117e-54,6.191599381539134e-176,1.0944829627477857e-45,1.4166781911868318e-57,4.132255380166741e-70,1.611457202412942e-113,1.7462450552781023e-88,1.21458339725206e-66,2.987195758348887e-19,0.013584064132527886,0.0,0.0
21.23333333333333,0.056170214,0.013035561000192823,3.038227120918441e-54,3.8928760999443236e-176,9.49550244339616e-46,1.1742588782641419e-57,3.245954410914004e-70,1.0512239921192677e-113,1.1906556985467828e-88,8.833734576548906e-67,2.300526831600558e-19,0.013035561000192823,0.0,0.0
21.25,0.056170214,0.012506073621149602,2.6620435491912784e-54,2.447587712230103e-176,8.238039448448208e-46,9.733121266959727e-58,2.5497273581023898e-70,6.857464571898267e-114,8.118146644115722e-89,6.42464910678237e-67,1.7714081141216338e-19,0.012506073621149602,0.0,0.0
21.266666666666666,0.056170214,0.011995153602165631,2.332427887027912e-54,1.5388840434308678e-176,7.14704908784118e-46,8.067445956975511e-58,2.0028164431541098e-70,4.473255704517695e-114,5.5349960370377274e-89,4.6724276192433346e-67,1.3637610485149132e-19,0.011995153602165631,0.0,0.0
21.28333333333333,0.056170214,0.011502347304153091,2.043616722754278e-54,9.675501363518773e-177,6.200499118724274e-46,6.68675874602003e-58,1.5732025429515638e-70,2.917935873968714e-114,3.773701068401188e-89,3.3980040801524915e-67,1.0497523848662887e-19,0.011502347304153091,0.0,0.0
21.3,0.056170214,0.011027197465033138,1.7905597885545257e-54,6.083324875043258e-177,5.379272311777363e-46,5.542311279332424e-58,1.2357318166784983e-70,1.9033543667828926e-114,2.5728085285719822e-89,2.4711174917000097e-67,8.07913742687712e-20,0.011027197465033138,0.0,0.0
21.316666666666663,0.056170214,0.010569244687328028,1.568831738277947e-54,3.8247978968938644e-177,4.666780896355761e-46,4.593691797818458e-58,9.70643891291145e-71,1.2415250197083735e-114,1.754030993040346e-89,1.797012590406974e-67,6.216891006920025e-20,0.010569244687328028,0.0,0.0
21.33333333333333,0.056170214,0.01012802879824702,1.3745548366416795e-54,2.4047831685745615e-177,4.048631984853083e-46,3.8073998202845e-58,7.624155423081846e-71,8.098101881657153e-115,1.1957955038791568e-89,1.3067638506762218e-67,4.783130507382717e-20,0.01012802879824702,0.0,0.0
21.35,0.05148936,0.00970312341207773,1.2043312106090781e-54,1.5119704569314102e-177,3.5123372378488835e-46,3.15566445382263e-58,5.988522495853741e-71,5.282055457558312e-115,8.152042948778459e-90,9.502358507736515e-68,3.679446622355608e-20,0.00970309008975834,3.3322319389228995e-08,0.0
21.366666666666667,0.056170214,0.009296374725392464,1.0551834805169108e-54,9.506280776639513e-178,3.047060921993902e-46,2.615464699636882e-58,4.703744989819882e-71,3.445201757960536e-115,5.557326643096682e-90,6.9096183359130994e-68,2.8299883961043577e-20,0.009293970445851127,2.4042795413367157e-06,0.0
21.383333333333333,0.056170214,0.00892729132437227,9.245027347076311e-55,5.976926563663915e-178,2.6434012853655303e-46,2.1677172342599705e-58,3.694570869605646e-71,2.247079148062008e-115,3.788395773758251e-90,5.024178891876192e-68,2.1763023918053638e-20,0.008900214363906972,2.7076960465297887e-05,0.0
21.4,0.056170214,0.008663918086917986,8.100029395348645e-55,3.757899425956658e-178,2.2932008457300444e-46,1.79660304393727e-58,2.901886314413878e-71,1.4655954501529478e-115,2.5824668141273393e-90,3.6531252118590504e-68,1.6733501195368216e-20,0.008521369876818003,0.00014254821009998346,0.0
21.416666666666668,0.056170214,0.008651713847726296,7.096809888880577e-55,2.3627204280327626e-178,1.9893817692303863e-46,1.4890091803664958e-58,2.2792552140789594e-71,9.558767494924966e-116,1.7603708713534468e-90,2.656149339271606e-68,1.2864352901057469e-20,0.008156989382196453,0.0004947244655298423,0.0
21.433333333333334,0.060851064,0.009125809562775642,6.217816957814058e-55,1.4855233082491533e-178,1.7258030222175083e-46,1.2340659610428361e-58,1.7902006059741886e-71,6.234214806013001e-116,1.1999513769803357e-90,1.9312074469335597e-68,9.888334810168976e-21,0.007806630384741954,0.0013191791780336893,0.0
21.45,0.06553192,0.010402474653822637,5.4476711478897306e-55,9.339993099564656e-179,1.4971364173849128e-46,1.022763299801062e-58,1.4060689987221406e-71,4.065872195633489e-116,8.179244772894441e-91,1.4040866568480787e-68,7.599639816697123e-21,0.0074698561575494244,0.0029326184962732114,0.0
21.466666666666665,0.07021277,0.012853037145021305,4.772896596838438e-55,5.872372433151956e-179,1.2987590558841868e-46,8.476326410807958e-59,1.104352621652268e-71,2.6516597912893873e-116,5.575102742568957e-91,1.020816033329987e-68,5.839800577867857e-21,0.007146236327868265,0.005706800817153041,0.0
21.48333333333333,0.074893616,0.01686700905786027,4.181685468720302e-55,3.6921605549201104e-179,1.126659997334011e-46,7.024832830736849e-59,8.673714250933134e-72,1.7293146663096596e-116,3.799992070920844e-91,7.421465579383366e-69,4.4868206455512376e-21,0.006835347392550932,0.010031661665309338,0.0
21.5,0.079574466,0.022811788397188053,3.663691532581939e-55,2.321386830438909e-179,9.773592762361822e-47,5.821837915914104e-59,6.812377017016795e-72,1.1277748620840763e-116,2.5900173993251016e-91,5.395361339685817e-69,3.44679620863642e-21,0.006536773168166761,0.016275015229021292,0.0
21.516666666666666,0.08893617,0.03099523225692597,3.2098492804873442e-55,1.459534636027602e-179,8.47837632037618e-47,4.824807956852942e-59,5.35042733409334e-72,7.354666447028448e-117,1.7652770699795826e-91,3.9222935664298316e-69,2.647458859833407e-21,0.006250105180500328,0.024745127076425642,0.0
21.53333333333333,0.09829787,0.04163556161498614,2.812215425787758e-55,9.176588267273757e-180,7.354755359337851e-47,3.998487736923184e-59,4.202178589173007e-72,4.7961831634359605e-117,1.2031321066344766e-91,2.8513359880105156e-69,2.0331997912176878e-21,0.005974942997902785,0.035660618617083355,0.0
21.55,0.11234043,0.05484109449437923,2.46383001317782e-55,5.769631000121654e-180,6.38000284838304e-47,3.3136553086587145e-59,3.300325625102066e-72,3.127668881343827e-117,8.19981438996724e-92,2.0727430790465183e-69,1.5612362110815182e-21,0.005710894512725184,0.04913019998165405,0.0
