time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12
21.616666666666667,0.16382979,0.13201913172649482,5.601147536013432e-05,9.096085645416687e-30,1.5054914681971506e-191,2.0231077540295306e-21,4.221573704748556e-35,1.1128052461013023e-117,1.1074585511151939e-18,1.885131594016078e-67,2.1757706513021578e-45,6.298724694939376e-23,2.4149314119995223e-10,0.13196312000964155
21.633333333333333,0.18255319,0.1565795773064773,5.5576154879762076e-05,8.466765108509098e-30,9.219224607454776e-192,1.9096493244756682e-21,3.782011337150701e-35,7.271420101626254e-118,1.0297364737467078e-18,1.3954516898107011e-67,1.7342600414351327e-45,5.606263939120983e-23,1.8386837026808167e-10,0.15652400096772917
21.65,0.2012766,0.1820026318432455,5.5144188686272904e-05,7.880966277699245e-30,5.645605342368005e-192,1.802552617341247e-21,3.388201433260078e-35,4.751291818512427e-118,9.574636652941624e-19,1.032944731714261e-67,1.3823050387481622e-45,4.989854390456046e-23,1.3990077004094414e-10,0.18194748751465845
21.666666666666668,0.22468086,0.20773890158305525,5.471555121828557e-05,7.335680643593866e-30,3.4572171395349982e-192,1.7014609929380413e-21,3.035383489698336e-35,3.1045352218534037e-118,8.902584535596436e-19,7.645898797657783e-68,1.1017477603110555e-45,4.4411521227445773e-23,1.0637729577483622e-10,0.20768418592545967
21.683333333333334,0.24340425,0.23323308920462338,5.429021710637057e-05,6.828107572088847e-30,2.1171070665268884e-192,1.6060378009087605e-21,2.719292147768719e-35,2.0284948831223887e-118,8.277658706643927e-19,5.659384785203388e-68,8.781103886435218e-46,3.9527276858585303e-23,8.083479402824277e-11,0.23317879890668222
21.7,0.26212767,0.2579475946964754,5.386816117163692e-05,6.355639947665025e-30,1.2964596611792394e-192,1.515965260075061e-21,2.436105712272724e-35,1.3253900363330942e-118,7.696557867117595e-19,4.188891904442296e-68,6.9984964911649644e-46,3.517965991688026e-23,6.138650983226209e-11,0.25789372647391723
21.716666666666665,0.2855319,0.2813827197808268,5.344935842433065e-05,5.915850807747579e-30,7.939172117344082e-193,1.4309434010428479e-21,2.1824000208754232e-35,8.659762214524306e-119,7.156211737350901e-19,3.1004045989233907e-68,5.577622529483548e-46,3.130977147737768e-23,4.658834838517923e-11,0.2813292703758141
21.73333333333333,0.3042553,0.3030928299826043,5.303378406244199e-05,5.506480899746463e-30,4.861736852990464e-193,1.3506890680490815e-21,1.9551071081425962e-35,5.657971221257467e-119,6.6537649084638465e-19,2.2947052819324082e-68,4.445107492725081e-46,2.786517042646172e-23,3.533587841577133e-11,0.303039796163206
21.75,0.3229787,0.32269820671802096,5.262141347032269e-05,5.125427097112712e-30,2.9771978846494344e-193,1.2749349767320642e-21,1.7514781661030711e-35,3.6966473619130876e-119,6.186561821346774e-19,1.6983406993819659e-68,3.5424541184583686e-46,2.4799166183431404e-23,2.678508349794179e-11,0.32264558527776555
21.766666666666666,0.33702126,0.33989263427250416,5.221222221731435e-05,4.7707316151376e-30,1.8231566132832402e-193,1.203428824692658e-21,1.5690503549224673e-35,2.4151708351390007e-119,5.75213279451401e-19,1.2569329559688586e-68,2.8230271788894337e-46,2.2070188797889234e-23,2.0291440431444146e-11,0.3398404220299954
21.78333333333333,0.35106382,0.35444700659839184,5.180618605638455e-05,4.440571971305459e-30,1.116452561828589e-193,1.1359324518892243e-21,1.405617063639524e-35,1.5779028160952267e-119,5.348181027674801e-19,9.302267804111992e-69,2.2496491099706184e-46,1.9641227967966361e-23,1.536312747740572e-11,0.3543952003969723
21.8,0.36510637,0.3662094075444764,5.1403280922774676e-05,4.13325163882256e-30,6.836858539210296e-194,1.0722210480749233e-21,1.259201262467598e-35,1.030873156156136e-119,4.972570512968623e-19,6.88422453784235e-69,1.7926827868202942e-46,1.7479333447215944e-23,1.162511612757163e-11,0.3661580042519285
21.816666666666663,0.3744681,0.37510222169280544,5.100348293265677e-05,3.847191345484539e-30,4.186710537194249e-194,1.0120824046423097e-21,1.1280316253995148e-35,6.734770712250058e-120,4.623314790547976e-19,5.094607302353159e-69,1.4285027879679466e-46,1.5555170130142578e-23,8.791638143227425e-12,0.3750512182010811
21.83333333333333,0.37914893,0.3811168807661215,5.060676838179867e-05,3.5809209733448954e-30,2.5638304355932354e-194,9.5531620838722e-22,1.0105211352254696e-35,4.399800887699784e-120,4.298566489605047e-19,3.770126592157373e-69,1.1382764624194656e-46,1.3842621838904497e-23,6.645091812749353e-12,0.3810662739910946
21.85,0.38382977,0.38430685333134396,5.021311374424121e-05,3.333072017721734e-30,1.5700218047088286e-194,9.017333748443217e-22,9.052479129798904e-36,2.8743250262225038e-120,3.9966076000443133e-19,2.7899133756805683e-69,9.069920439444425e-47,1.2318438486402539e-23,5.019894522025073e-12,0.3842566402125798
21.866666666666667,0.38382977,0.3847794541747747,4.982249567098345e-05,3.1023705669369345e-30,9.614397882422793e-195,8.511554189771068e-22,8.10938040632658e-36,1.8777224313370094e-120,3.7158404238181967e-19,2.0645010385194036e-69,7.22683763623019e-47,1.0961921872450211e-23,3.790131552818749e-12,0.3847296316753136
