time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6
18.866666666666667,-0.10297872,3.3879993967827216e-71,4.765790277661194e-106,0.0,0.0,0.0,3.3879993967827216e-71,0.0
18.883333333333333,-0.10297872,2.259953100122466e-71,3.903634397377962e-106,0.0,0.0,0.0,2.259953100122466e-71,0.0
18.9,-0.10297872,1.5074337310658129e-71,3.1974456701808496e-106,0.0,0.0,0.0,1.5074337310658129e-71,0.0
18.916666666666668,-0.10297872,1.0054484396269483e-71,2.619009297801771e-106,0.0,0.0,0.0,1.0054484396269483e-71,0.0
18.933333333333334,-0.10297872,6.706010435402647e-72,2.1452145585266008e-106,0.0,0.0,0.0,6.706010435402647e-72,0.0
18.95,-0.10297872,4.4725124897260956e-72,1.757131483871321e-106,0.0,0.0,0.0,4.4725124897260956e-72,0.0
18.966666666666665,-0.09829787,2.982784564625586e-72,1.4392545623047255e-106,0.0,0.0,0.0,2.982784564625586e-72,0.0
18.98333333333333,-0.09829787,1.9891854351669756e-72,1.1788832554664194e-106,0.0,0.0,0.0,1.9891854351669756e-72,0.0
19.0,-0.09829787,1.3265138331718355e-72,9.656145779799583e-107,0.0,0.0,0.0,1.3265138331718355e-72,0.0
19.016666666666666,-0.09829787,8.845685506484393e-73,7.909274689120867e-107,0.0,0.0,0.0,8.845685506484393e-73,0.0
19.03333333333333,-0.09829787,5.898403443370274e-73,6.47842350028222e-107,0.0,0.0,0.0,5.898403443370274e-73,0.0
19.05,-0.09829787,3.932971428793955e-73,5.3064226974118284e-107,0.0,0.0,0.0,3.932971428793955e-73,0.0
19.066666666666663,-0.09829787,2.622349147168406e-73,4.346444920333338e-107,0.0,0.0,0.0,2.622349147168406e-73,0.0
19.08333333333333,-0.09829787,1.7484117299297712e-73,3.5601340494790176e-107,0.0,0.0,0.0,1.7484117299297712e-73,0.0
19.1,-0.09829787,1.1656829663281615e-73,2.916072740015351e-107,0.0,0.0,0.0,1.1656829663281615e-73,0.0
19.116666666666667,-0.09361702,7.77142747452137e-74,2.3885271800986423e-107,0.0,0.0,0.0,7.77142747452137e-74,0.0
19.133333333333333,-0.09361702,5.180895380488502e-74,1.9564189236423762e-107,0.0,0.0,0.0,5.180895380488502e-74,0.0
19.15,-0.09361702,3.453763450602927e-74,1.6024827199288135e-107,0.0,0.0,0.0,3.453763450602927e-74,0.0
