time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14
15.2,0.084255315,0.0008962366081672284,0.0004365012133241977,0.0004597353947979487,4.507916040716004e-14,2.2355393380059537e-245,4.100502400928863e-24,7.8384266335786e-28,3.126936511356738e-32,4.09861055865291e-47,9.485028617143684e-30,2.815183540374055e-18,0.0,0.0,0.0,0.0
15.216666666666669,0.079574466,0.0008891331695230798,0.00043303084534482164,0.0004561023241353441,4.291198356875578e-14,7.041472977347159e-246,3.565702544419741e-24,6.571492681873499e-28,2.4806965466560385e-32,2.718345213159221e-47,6.59389855935226e-30,2.1003379929015178e-18,0.0,0.0,0.0,0.0
15.233333333333333,0.079574466,0.0008820855044675137,0.00042958781724484514,0.0004524976871818181,4.084887444492427e-14,2.2178916838345224e-246,3.1005871790244315e-24,5.509159742531616e-28,1.9679486157974172e-32,1.8027551835085915e-47,4.583377788641338e-30,1.566693167514142e-18,0.0,0.0,0.0,0.0
15.25,0.079574466,0.0008750931808937301,0.00042617191640761286,0.0004489212644472312,3.8884841798969596e-14,6.985745836018288e-247,2.6960852282091523e-24,4.618415149102379e-28,1.5611314646432527e-32,1.195455194202785e-47,3.1854390367457086e-30,1.1684007389503104e-18,0.0,0.0,0.0,0.0
15.266666666666667,0.079574466,0.0008681557699763593,0.00042278293183826456,0.00044537283810107875,3.7015133469545077e-14,2.2002948312676156e-247,2.344305245807322e-24,3.8715680815549968e-28,1.2383713182949143e-32,7.926737448584546e-48,2.213571999503866e-30,8.711914861169694e-19,0.0,0.0,0.0,0.0
15.283333333333331,0.079574466,0.000861272846147334,0.00041942065415174427,0.00044185219196035376,3.523522493512647e-14,6.930182058273853e-248,2.038382172064269e-24,3.2453924446979222e-28,9.823088409916857e-33,5.2555778755478595e-48,1.5380100696019644e-30,6.494566235384498e-19,0.0,0.0,0.0,0.0
15.3,0.074893616,0.0008544439870719196,0.0004160848755608854,0.000438359111477493,3.35408084246573e-14,2.1827504860071215e-248,1.7723439760834477e-24,2.7204076610802483e-28,7.791679052328888e-33,3.4842677380627717e-48,1.0684798357787175e-30,4.8406334483316e-19,0.0,0.0,0.0,0.0
15.316666666666666,0.074893616,0.0008476687736249361,0.00041277538986459546,0.00043489338372841254,3.1927782548322547e-14,6.874786966830199e-249,1.5409956068770413e-24,2.2802752090152002e-28,6.180163511904937e-33,2.3097650929311337e-48,7.4219078251952655e-31,3.6072026704139637e-19,0.0,0.0,0.0,0.0
15.333333333333334,0.074893616,0.0008409467898671149,0.00040949199243610584,0.00043145479740061657,3.039224242364128e-14,2.165260308881248e-249,1.3398180089890399e-24,1.9112922964473148e-28,4.901791756952062e-33,1.5310506702379605e-48,5.1547463488029735e-31,2.6875463248010084e-19,0.0,0.0,0.0,0.0
15.35,0.074893616,0.0008342776230216457,0.0004062344802113186,0.00042804314278139643,2.893047027326231e-14,6.819565743440979e-250,1.1648802492672526e-24,1.6019670503658644e-28,3.8877273724638145e-33,1.0147918602513085e-48,3.579661812809875e-31,2.001977542050722e-19,0.0,0.0,0.0,0.0
15.366666666666667,0.074893616,0.0008276608634508693,0.0004030026516772237,0.00042465821174610656,2.7538926471958468e-14,2.1478259164363997e-250,1.0127630543706013e-24,1.342662110848795e-28,3.083350337820027e-33,6.7255878463074316e-49,2.4855361677290515e-31,1.4910115907541795e-19,0.0,0.0,0.0,0.0
15.383333333333333,0.074893616,0.000821096104633143,0.00039979630686040526,0.00042129979774652333,2.621424102139509e-14,6.764523430758483e-251,8.804922788830803e-25,1.1252956254943854e-28,2.4453224830037892e-33,4.457071371095978e-49,1.7256073939554403e-31,1.1102535023233459e-19,0.0,0.0,0.0,0.0
15.4,0.074893616,0.0008145829431398606,0.0003966152473156251,0.0004179676957992822,2.495320543226745e-14,2.1304488815271605e-251,7.65481015681468e-25,9.430904085050924e-29,1.9392583786527105e-33,2.9534878651988492e-49,1.197865729639246e-31,8.265770185579522e-20,0.0,0.0,0.0,0.0
15.416666666666666,0.074893616,0.0008081209786126413,0.00039345927611448943,0.000414661702474399,2.375276499436856e-14,6.709664934198907e-252,6.654792271642073e-25,7.903635132704844e-29,1.5378768174002923e-33,1.956983905528991e-49,8.314170900921868e-32,6.152693224230176e-20,0.0,0.0,0.0,0.0
15.433333333333334,0.074893616,0.0008017098137406651,0.0003903281978341898,0.00041138161588386517,2.2610011416080114e-14,2.1131307339044427e-252,5.785299212950998e-25,6.623497134755241e-29,1.2195337729661472e-33,1.2965998695122414e-49,5.769986921208584e-32,4.578979151148333e-20,0.0,0.0,0.0,0.0
15.45,0.074893616,0.0007953490542381806,0.00038722181854632885,0.0004081272356703295,2.1522175815660475e-14,6.654995023807536e-253,5.02931022945832e-25,5.550534337928974e-29,9.670581528773793e-34,8.58996795117521e-50,4.0038352039943115e-32,3.4071734228210084e-20,0.0,0.0,0.0,0.0
15.466666666666669,0.074893616,0.0007890383088221575,0.0003841399458058222,0.0004048983629958486,2.048662204753743e-14,2.09587296080475e-253,4.3720220116721265e-25,4.651245492068128e-29,7.668278814992393e-34,5.690417824170636e-50,2.7779437496066333e-32,2.534794005846197e-20,0.0,0.0,0.0,0.0
15.483333333333333,0.074893616,0.0007827771891901095,0.00038108238863988176,0.00040169480053072685,1.9500840347622847e-14,6.600518336113222e-254,3.800560089000106e-25,3.897542089353697e-29,6.0803672875643655e-34,3.769328617502976e-50,1.9271565268605284e-32,1.8854483640763435e-20,0.0,0.0,0.0,0.0
15.5,0.074893616,0.0007765653099980524,0.00037804895753706876,0.00039851635244242124,1.8562441282417724e-14,2.078677007537129e-254,3.303727750972203e-25,3.265874594079551e-29,4.821125247388745e-34,2.496613241324124e-50,1.3367716236093078e-32,1.4022027876647515e-20,0.0,0.0,0.0,0.0
15.516666666666667,0.074893616,0.0007704022888386413,0.0003750394644364344,0.00039536282438453775,1.766914998741143e-14,6.546239375981577e-255,2.8717876187864495e-25,2.7364995982989937e-29,3.822555178911965e-34,1.6535074147963013e-50,9.271383006780069e-33,1.0426340019179819e-20,0.0,0.0,0.0,0.0
15.533333333333331,0.07021277,0.0007642877462194428,0.00037205372271673244,0.0003922340234858915,1.681880068096179e-14,2.0615442780667506e-255,2.4962716257257398e-25,2.292865194893461e-29,3.0307207874755326e-34,1.0950370638062318e-50,6.429530945362993e-33,7.751370048037222e-21,0.0,0.0,0.0,0.0
15.55,0.07021277,0.0007582213055413602,0.00036909154718570283,0.00038912975833964807,1.600933144050511e-14,6.492162518466749e-256,2.16981571539689e-25,1.9210955153685904e-29,2.4028406690926053e-34,7.25136006471001e-51,4.458224216345555e-33,5.761707830879749e-21,0.0,0.0,0.0,0.0
15.566666666666666,0.07021277,0.0007522025930772286,0.0003661527540694441,0.0003860498389925457,1.5238779228574734e-14,2.04447613559872e-256,1.88601604579158e-25,1.609558447473292e-29,1.904982399038718e-34,4.801514929645998e-51,3.090955468858634e-33,4.2820408477675744e-21,0.0,0.0,0.0,0.0
15.583333333333334,0.07021277,0.0007462312379505338,0.00036323716100184654,0.0003829940769341819,1.450527515669334e-14,6.438292010646442e-257,1.6393039041139037e-25,1.3485031220369823e-29,1.5102330607636815e-34,3.179109152318973e-51,2.142753389992624e-33,3.181836221347301e-21,0.0,0.0,0.0,0.0
15.6,0.07021277,0.0007403068721143056,0.0003603445870141127,0.00037996228508638594,1.3807039975787413e-14,2.0274739031622977e-257,1.424836900204767e-25,1.1297559185405394e-29,1.1972478234562568e-34,2.1047529029053296e-51,1.4852535706003985e-33,2.3639206800930168e-21,0.0,0.0,0.0,0.0
15.616666666666667,0.07021277,0.0007344291303301402,0.00035747485252434207,0.00037695427779265583,1.3142379782300221e-14,6.384631973465512e-258,1.2384043222092884e-25,9.464655514383779e-30,9.490984855282944e-35,1.3933669176495167e-51,1.0293862379021694e-33,1.755968232305006e-21,0.0,0.0,0.0,0.0
15.633333333333333,0.07021277,0.000728597650147384,0.00035462777932719695,0.00037396987080767747,1.2509681929705536e-14,2.010538864187452e-258,1.076344812992588e-25,7.928893200306695e-30,7.523600204591329e-35,9.223563651240895e-52,7.133551676336937e-34,1.3041564425001229e-21,0.0,0.0,0.0,0.0
15.65,0.07021277,0.000722812071882455,0.00035180319058363755,0.0003710088812869101,1.190741113560825e-14,6.331186403561609e-259,9.354747650041637e-26,6.642138806413765e-30,5.963859547350081e-35,6.1052162936577515e-52,4.9429170884959214e-34,9.684397501933545e-22,0.0,0.0,0.0,0.0
15.666666666666666,0.07021277,0.0007170720385983204,0.0003490009108107343,0.000368071127776252,1.1334105775091927e-14,1.9936722630836194e-259,8.130260394542399e-26,5.564049703747919e-30,4.7273356090718216e-35,4.040848654879272e-52,3.4246110615449844e-34,7.1902831433906125e-22,0.0,0.0,0.0,0.0
15.683333333333334,0.07021277,0.0007113771960841043,0.0003462207658715458,0.0003651564302017701,1.07883743514133e-14,6.27795917508866e-260,7.065917968112245e-26,4.660814098380938e-30,3.747079065736796e-35,2.674320858514332e-52,2.3724111206700604e-34,5.337654153506517e-22,0.0,0.0,0.0,0.0
15.7,0.07021277,0.0007057271928348544,0.00034346258296507573,0.0003622646098595097,1.0268892135573484e-14,1.9768753058146435e-260,6.140793832646753e-26,3.904094656742572e-30,2.9700019462540415e-35,1.7697992461682906e-52,1.6433109962916957e-34,3.9617448044972473e-22,0.0,0.0,0.0,0.0
15.716666666666669,0.07021277,0.0007001216800314401,0.00034072619061629653,0.0003593954894053691,9.774397966694546e-15,6.224954041527455e-261,5.336693549690476e-26,3.2701428582221406e-30,2.3540090452593137e-35,1.1711276543952559e-52,1.138154001970603e-34,2.940050293987178e-22,0.0,0.0,0.0,0.0
15.733333333333333,0.07021277,0.0006945603115206047,0.00033801141866624895,0.0003565488928450521,9.303691205520487e-15,1.9601491604702596e-261,4.6377984124443384e-26,2.739056506488694e-30,1.8657227110337644e-35,7.749155412306982e-53,7.881957644337772e-35,2.181502827094104e-22,0.0,0.0,0.0,0.0
15.75,0.07021277,0.0006890427437951438,0.0003353180982622054,0.0003537246455240828,8.855628833721719e-15,6.172174637499267e-262,4.030355517707726e-26,2.2941572787320076e-30,1.4786783253279363e-35,5.127132912818593e-53,5.457821137755522e-35,1.618415811122141e-22,0.0,0.0,0.0,0.0
15.766666666666667,0.07021277,0.0006835686359742372,0.0003326460618479093,0.0003509225741178988,8.42912269203934e-15,1.943494957836893e-262,3.5024082318393685e-26,1.9214689228663692e-30,1.1718931449793796e-35,3.3920716441203335e-53,3.77882665191363e-35,1.2004893309150397e-22,0.0,0.0,0.0,0.0
15.783333333333331,0.07021277,0.0006781376497839162,0.000329995143153884,0.00034814250662200906,8.023136850629642e-15,6.119624480553601e-263,3.0435617911272545e-26,1.609279842094556e-30,9.287312915462386e-36,2.244015518085465e-53,2.616058424311556e-35,8.903502750829535e-23,0.0,0.0,0.0,0.0
15.8,0.07021277,0.0006727494495376603,0.00032736517718780336,0.00034538427234222024,7.63668510529156e-15,1.926913791964438e-263,2.64477946112412e-26,1.3477764309940982e-30,7.360036358903274e-36,1.4844215704921898e-53,1.810885672208413e-35,6.602348193381088e-23,0.0,0.0,0.0,0.0
15.816666666666666,0.07021277,0.0006674037021171529,0.0003247560002249442,0.00034264770188494,7.268828593560896e-15,6.067306972960173e-264,2.2982052747551917e-26,1.1287357287474224e-30,5.832539877519981e-36,9.818821827944112e-54,1.2533953350797318e-35,4.895210974014176e-23,0.0,0.0,0.0,0.0
15.833333333333334,0.07021277,0.0006621000769531481,0.00032216744979869346,0.0003399326271475359,6.918673524937812e-15,1.9104067207291735e-264,1.9970098868970763e-26,9.45267801486296e-31,4.621930468411759e-36,6.494300557844427e-54,8.674388773947792e-36,3.628945006271821e-23,0.0,0.0,0.0,0.0
15.85,0.07021277,0.0006568382460064937,0.0003195993646911341,0.00033723888130877424,6.585369019794506e-15,6.015225403490971e-265,1.7352565337058854e-26,7.915998142078126e-31,3.662495422413479e-36,4.295131143284748e-54,6.002660417324454e-36,2.6898363520903955e-23,0.0,0.0,0.0,0.0
15.866666666666667,0.07021277,0.0006516178837492765,0.0003170515849236903,0.00033456629881931804,6.268105051764043e-15,1.8939747663944336e-265,1.5077844769648766e-26,6.628950513329793e-31,2.9021430983870344e-36,2.840479573032635e-54,4.153393361068881e-36,1.9934637278109353e-23,0.0,0.0,0.0,0.0
15.883333333333333,0.07021277,0.0006464386671461091,0.00031452395174784507,0.0003319147153922979,5.9661104886641454e-15,5.9633829491791375e-266,1.3101076547546324e-26,5.551012340196182e-31,2.2995807337408114e-36,1.8783575508992078e-54,2.8735387657501336e-36,1.477162681619562e-23,0.0,0.0,0.0,0.0
15.9,0.07021277,0.0006413002756355465,0.0003120163076359219,0.000329283967993946,5.678651227242466e-15,1.877618916169089e-266,1.1383265564237404e-26,4.64823395590261e-31,1.8220767361555636e-36,1.2420422432385546e-54,1.987861259375991e-36,1.0944258029365097e-23,0.0,0.0,0.0,0.0
15.916666666666666,0.07021277,0.0006362023911116373,0.0003095284962719348,0.0003266738948342975,5.405028417257851e-15,5.911782677083869e-267,9.890515979313083e-27,3.8921734224893595e-31,1.443686463490354e-36,8.212325024097526e-55,1.3750243747763963e-36,8.107422725583103e-24,0.0,0.0,0.0,0.0
15.933333333333334,0.07021277,0.0006311446979056013,0.00030706036254249966,0.00032408433535795704,5.144576770623555e-15,1.8613401227606765e-267,8.593364981478432e-27,3.2590036841618294e-31,1.1438455340613233e-36,5.429598351933669e-55,9.510215140188222e-37,6.005073053110825e-24,0.0,0.0,0.0,0.0
15.95,0.07021277,0.0006261268827676453,0.0003046117525278156,0.00032151513023493305,4.896662951545091e-15,5.86042754603339e-268,7.466203520073401e-27,2.7287643446143877e-31,9.062545669790869e-37,3.589560212077808e-55,6.57697516503762e-37,4.447267311568926e-24,0.0,0.0,0.0,0.0
15.966666666666669,0.07021277,0.000621148634848902,0.0003021825134927081,0.00031896612135153327,4.660684043777106e-15,1.8451393049259077e-268,6.486772662946001e-27,2.2847346608659546e-31,7.179950023202496e-37,2.372940747086991e-55,4.547977132417624e-37,3.2931241929939128e-24,0.0,0.0,0.0,0.0
15.983333333333333,0.07021277,0.0006162096456835051,0.0002997724938777395,0.00031643715180132957,4.4360660913114555e-15,5.80932040836147e-269,5.635725716325262e-27,1.9129081315360222e-31,5.688281427956883e-37,1.5685732573432468e-55,3.144610386663768e-37,2.438166661869404e-24,0.0,0.0,0.0,0.0
16.0,0.07021277,0.0006113096091707805,0.0002973815432903788,0.00031392806587617956,4.2222627089816275e-15,1.82901734801881e-269,4.896247527783529e-27,1.6015522312255714e-31,4.506394659530762e-37,1.0368003316653954e-55,2.1740634126517497e-37,1.8049265551920084e-24,0.0,0.0,0.0,0.0
16.016666666666666,0.07021277,0.00060644822155758,0.0002950095124962395,0.0003114387090573218,4.01875375964047e-15,5.758464011628328e-270,4.253723511487711e-27,1.3408395035124842e-31,3.569981132978917e-37,6.852641357390567e-56,1.50291578771027e-37,1.3359709188126224e-24,0.0,0.0,0.0,0.0
16.033333333333335,0.07021277,0.0006016251814207276,0.00029265625341037794,0.0003089689280065246,3.825044094723706e-15,1.8129751045307633e-270,3.69545190744297e-27,1.1225384558264249e-31,2.8280769401705792e-37,4.528908828150838e-56,1.0388538304418968e-37,9.887266739017585e-25,0.0,0.0,0.0,0.0
16.05,0.07021277,0.0005968401896496049,0.00029032161908865725,0.00030651857055730695,3.640662355167774e-15,5.707861000335629e-271,3.2103936323187115e-27,9.397545696018244e-32,2.2402948260030784e-37,2.992967466143215e-56,7.180123001153599e-38,7.3164046963047565e-25,0.0,0.0,0.0,0.0
16.066666666666666,0.07021277,0.0005920929494288452,0.0002880054637191685,0.0003040874857062116,3.4651598297922437e-15,1.797013394634215e-271,2.78895481513757e-27,7.867133068616967e-32,1.7746300837149433e-37,1.9778046784492423e-56,4.962119742487245e-38,5.413296979897482e-25,0.0,0.0,0.0,0.0
16.083333333333332,0.07021277,0.0005873831662211667,0.00028570764261371876,0.0003016755236041498,3.298109368397799e-15,5.657513917626446e-272,2.422797750984144e-27,6.585783086130683e-32,1.4057214240845535e-37,1.3068866779885186e-56,3.4289471260736287e-38,4.0046917108970918e-25,0.0,0.0,0.0,0.0
16.1,0.07021277,0.0005827105477503178,0.00028342801219937753,0.00029928253554780125,3.139104346960259e-15,1.7811330067139784e-272,2.104676562389321e-27,5.512990820963204e-32,1.1134725141024773e-37,8.635067356394338e-57,2.3692604289315884e-38,2.9622373746903575e-25,0.0,0.0,0.0,0.0
16.116666666666667,0.07021277,0.0005780748039841567,0.0002811664300100877,0.0002969083739710813,2.987757682427075e-15,5.60742520696574e-273,1.8282943420381707e-27,4.6148339738235016e-32,8.819594191638052e-38,5.705148261700288e-57,1.6369052715911614e-38,2.1908597938019614e-25,0.0,0.0,0.0,0.0
16.133333333333333,0.07021277,0.0005734756471178355,0.00027892275467833124,0.0002945528924366605,2.8437008947419083e-15,1.765334697902341e-273,1.5881789713661813e-27,3.8629038785340436e-32,6.985646749860953e-38,3.769134936397931e-57,1.1308195142132136e-38,1.6201442934920382e-25,0.0,0.0,0.0,0.0
16.15,0.07021277,0.0005689127915571208,0.00027669684592686094,0.0002922159456275532,2.706583213836542e-15,5.557597213824705e-274,1.379575175663099e-27,3.233409978917483e-32,5.532909989162083e-38,2.4899470882025147e-57,7.811281811968143e-39,1.1979470011930506e-25,0.0,0.0,0.0,0.0
16.166666666666668,0.07021277,0.000564385953901826,0.00027448856456048894,0.0002898973893387609,2.5760707294367067e-15,1.7496191946023587e-274,1.1983506946395842e-27,2.7064296488440223e-32,4.382173893208834e-38,1.6447972428731874e-57,5.395240951837173e-39,8.85659378082137e-26,0.0,0.0,0.0,0.0
16.183333333333334,0.07021277,0.0005598948529293671,0.00027229777245793666,0.00028759708046897865,2.4518455816325123e-15,5.508032187329084e-275,1.0409147242441893e-27,2.265279784142763e-32,3.470680831905373e-38,1.086447071191524e-57,3.726140011599488e-39,6.546986814735899e-26,0.0,0.0,0.0,0.0
16.2,0.07021277,0.0005554392095784313,0.0002701243325637404,0.0002853148770123573,2.3336051902610117e-15,1.733987193015451e-275,9.041470262524465e-28,1.8959904148318277e-32,2.7487096371352857e-38,7.175941091637437e-58,2.5731644162357475e-39,4.8390736269591483e-26,0.0,0.0,0.0,0.0
16.216666666666665,0.07021277,0.0005510187469327673,0.00026796810888021907,0.00028305063805032706,2.2210615212425387e-15,5.4587322819208036e-276,7.853363114899991e-28,1.5868637873758603e-32,2.176868627194587e-38,4.7394001323070344e-58,1.7767904090319235e-39,3.576262721877427e-26,0.0,0.0,0.0,0.0
16.233333333333334,0.07021277,0.0005466331902050908,0.0002658289664594983,0.0002808042237434785,2.1139403881011192e-15,1.7184393596563343e-276,6.82126684584333e-28,1.3281050494923228e-32,1.7239505027632026e-38,3.129984881524956e-58,1.2267764047076015e-39,2.64267294209288e-26,0.0,0.0,0.0,0.0
16.25,0.07021277,0.0005422822667211102,0.00026370677139559426,0.00027857549532350404,2.0119807869837855e-15,5.409699558979619e-277,5.924710964288886e-28,1.1115129183016026e-32,1.365232536992746e-38,2.0669767245058845e-58,8.469454237625467e-40,1.952561074560823e-26,0.0,0.0,0.0,0.0
16.266666666666666,0.07021277,0.0005379657059036583,0.0002616013908165512,0.00027636431508519223,1.9149342635742295e-15,1.7029763318709918e-277,5.145908881776893e-28,9.302205966693395e-33,1.0811296598800122e-38,1.364908522234518e-58,5.846641738533764e-40,1.442492052066196e-26,0.0,0.0,0.0,0.0
16.283333333333335,0.07021277,0.0005336832392569463,0.0002595126928766395,0.0002741705463784842,1.822564310373111e-15,5.360935988452904e-278,4.469406302656435e-28,7.784787813851012e-33,8.561272024837724e-39,9.0125201010705e-59,4.035699580986614e-40,1.0655410979107509e-26,0.0,0.0,0.0,0.0
16.3,0.07021277,0.0005294346003509319,0.00025744054674861096,0.0002719940536005863,1.7346457928904355e-15,1.687598718343968e-278,3.881775640062762e-28,6.514739297724368e-33,6.77935258338596e-39,5.950641914011365e-59,2.785432955236947e-40,7.870010888519578e-27,0.0,0.0,0.0,0.0
16.316666666666666,0.07021277,0.0005252195248057918,0.0002553848226160057,0.0002698347021881351,1.6509644033646956e-15,5.312443450458956e-279,3.3713504379384786e-28,5.451760598622061e-33,5.3681866113290535e-39,3.9287680029963276e-59,1.9223318533366163e-40,5.812047924882978e-27,0.0,0.0,0.0,0.0
16.333333333333332,0.07021277,0.0005210377502765162,0.0002533453916655202,0.0002676923586094246,1.5713161406900653e-15,1.6723070996064808e-279,2.927994566016335e-28,4.562112881070965e-33,4.25066122251971e-39,2.593725871048875e-59,1.3265573372129068e-40,4.291727461404925e-27,0.0,0.0,0.0,0.0
16.35,0.06553192,0.0005168890164376082,0.00025132212607942734,0.0002655668903566853,1.4955068152959559e-15,5.264223736873341e-280,2.542901638614191e-28,3.817550868713121e-33,3.365696367791442e-39,1.7122493553199579e-59,9.153473666535571e-41,3.1687249515627804e-27,0.0,0.0,0.0,0.0
16.366666666666667,0.06553192,0.0005127730649678998,0.0002493148990280552,0.0002634581659384212,1.4233515777832928e-15,1.6571020285357896e-280,2.2084207027241813e-28,3.194428959951887e-33,2.6649126238869787e-39,1.1302781200108085e-59,6.315508546029517e-41,2.33930459550763e-27,0.0,0.0,0.0,0.0
