time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13
17.533333333333335,0.079574466,0.023776260357368004,0.00018239070226278397,0.00010443018768200344,5.1347060018064297e-281,2.965287594697111e-29,8.97670155135677e-38,6.327151465893221e-46,1.2627970889624618e-72,1.5553374016052246e-52,6.0328731322276685e-37,0.023489439467423216,0.0,0.0,0.0
17.55,0.08893617,0.037466967246564904,0.00018093746417337315,0.00010357096582512514,1.837996203870468e-281,2.6115743218057305e-29,7.534148309159519e-38,5.01577833147661e-46,8.297602218542192e-73,1.066208204184355e-52,4.417141814416066e-37,0.037182458816566406,0.0,0.0,0.0
17.566666666666666,0.10765957,0.05578938682734285,0.00017949573022600036,0.0001027188039801176,6.579172445677573e-282,2.3000268115118688e-29,6.323300369594967e-38,3.9761322628276975e-46,5.4519768045149895e-73,7.308602897837392e-53,3.2339017174835204e-37,0.05550717229313673,0.0,0.0,0.0
17.583333333333332,0.13106383,0.0790879101910063,0.00017806541013638222,0.00010187364423815315,2.355025254394745e-282,2.0256218064225748e-29,5.306959265098032e-38,3.1519238966631816e-46,3.582100873471782e-73,5.009585341791064e-53,2.367449887194307e-37,0.07880797113663177,0.0,0.0,0.0
17.6,0.15446809,0.10741166862048128,0.00017664641432033358,0.0001010354291642697,8.429804721626853e-283,1.7839340754425416e-29,4.4538954356292033e-38,2.4985213530819128e-46,2.3534453719862714e-73,3.433557989927807e-53,1.7330195199191146e-37,0.10713398677699668,0.0,0.0,0.0
17.616666666666667,0.17787234,0.14049029450636952,0.00017523865388843353,0.000100204101793506,3.017429372890643e-283,1.5710652667562553e-29,3.737890944198661e-38,1.9805366290292472e-46,1.5461549113953933e-73,2.3532188130274394e-53,1.268513145675907e-37,0.14021485175068757,0.0,0.0,0.0
17.633333333333333,0.2106383,0.17774216633903334,0.0001738420406407287,9.937960562706781e-05,1.0800761451326034e-283,1.3835812191774054e-29,3.136935639616535e-38,1.569911576843412e-46,1.0157446232599323e-73,1.612707769776529e-53,9.284435922704778e-38,0.17746894469276553,0.0,0.0,0.0
17.65,0.24340425,0.21831142480678456,0.00017245648706147758,9.85618846285257e-05,3.8660663509065626e-284,1.2184567270157267e-29,2.6325521829397684e-38,1.244400089000755e-46,6.6726566493072205e-74,1.105158603772703e-53,6.794934601429729e-38,0.21804040643509456,0.0,0.0,0.0
17.666666666666668,0.27617022,0.2611270663508095,0.00017108190631393317,9.775088322004375e-05,1.3838273443897653e-284,1.0730268728976965e-29,2.2092292904143699e-38,9.863644962745484e-47,4.383245696287745e-74,7.573022126181581e-54,4.97261021869413e-38,0.2608582335612755,0.0,0.0,0.0
17.683333333333334,0.31361702,0.30497592396471884,0.00016971821223516652,9.694654627863908e-05,4.953272210169758e-285,9.449441481144792e-30,1.8539458521124008e-38,7.818211497310261e-47,2.8792257298016073e-74,5.189071431055819e-54,3.63875742592666e-38,0.30470925920620506,0.0,0.0,0.0
17.7,0.3557447,0.3485811698803008,0.00016836531933092378,9.614881913247077e-05,1.7729650441907494e-285,8.321406727346553e-30,1.5557713626738605e-38,6.196836117337456e-47,1.8912047438733957e-74,3.555379787811952e-54,2.6625116109809197e-38,0.3483166557418374,0.0,0.0,0.0
17.716666666666665,0.3931915,0.39067881223781986,0.0001670231427705267,9.535764755715967e-05,6.3460844598182335e-286,7.327949093903387e-30,1.3055304332411594e-38,4.911625528544443e-47,1.2421795863272505e-74,2.4358940517523094e-54,1.948048668915526e-38,0.39041643144749216,0.0,0.0,0.0
17.733333333333334,0.42595744,0.4300861487235355,0.00016569159838180763,9.45729777721382e-05,2.271481618391096e-286,6.45302336623132e-30,1.0955211129233729e-38,3.892899157743256e-47,8.158556081946691e-75,1.6688102345237205e-54,1.4252076624902017e-38,0.42982588414738154,0.0,0.0,0.0
17.75,0.46340424,0.46575794356550143,0.0001643706026460854,9.379475643702993e-05,8.130370126799016e-287,5.682496111154148e-30,9.192783937050129e-39,3.0854162042439135e-47,5.358279514514649e-75,1.1432252167137955e-54,1.0426215876769568e-38,0.4654997782064183,0.0,0.0,0.0
17.766666666666666,0.49148935,0.49682792865972847,0.0001630600726931738,9.302293064805708e-05,2.9101081236835075e-287,5.003918040398085e-30,7.713756548022969e-39,2.445384088922873e-47,3.5190111464129423e-75,7.831285079910868e-55,7.626857975480272e-39,0.49657184565638723,0.0,0.0,0.0
17.783333333333335,0.51957446,0.5226348906437963,0.00016175992629643125,9.22574479344791e-05,1.0416112430813913e-287,4.4063234603333956e-30,6.472579632401774e-39,1.938086512824719e-47,2.3109960622190832e-75,5.364271929587493e-55,5.578727523518644e-39,0.5223808732695654,0.0,0.0,0.0
17.8,0.5382979,0.5427339673704159,0.00016047008186784729,9.149825625505957e-05,3.728206204957746e-288,3.880053587257078e-30,5.4310212229240297e-39,1.536002826197681e-47,1.517613295903849e-75,3.674220066977599e-55,4.080330546528691e-39,0.542481999032293,0.0,0.0,0.0
17.816666666666666,0.55702126,0.5568947819864835,0.00015919045845316193,9.074530399456087e-05,1.3344181181944594e-288,3.416600890193407e-30,4.556991781533589e-39,1.2173169678262155e-47,9.965669102404575e-76,2.5164962409396354e-55,2.984189572078578e-39,0.5566448462240358,0.0,0.0,0.0
17.833333333333332,0.56638294,0.5650886868773065,0.0001579209757270251,8.999853996026841e-05,4.776190947473459e-289,3.008471960442529e-30,3.823557827893635e-39,9.647352970828969e-48,6.543879503607907e-76,1.7234721187845093e-55,2.1823705582155565e-39,0.5648407673616193,0.0,0.0,0.0
17.85,0.5710638,0.5674677065974085,0.00015666155398819096,8.925791337854285e-05,1.7095003150766384e-289,2.6490667043001434e-30,3.208113883428572e-39,7.645493444383986e-48,4.296825168661568e-76,1.1802912980353954e-55,1.595885616871599e-39,0.5672217871300418,0.0,0.0,0.0
17.866666666666667,0.56638294,0.5643378142590625,0.00015541211415474778,8.852337389140017e-05,6.118633623700279e-290,2.3325719172832264e-30,2.6916873337522284e-39,6.058927522176877e-48,2.8212638131680266e-76,8.082602611215092e-56,1.1669341887484553e-39,0.5640938787710164,0.0,0.0,0.0
17.883333333333333,0.55702126,0.5561290149919396,0.00015417257775938287,8.779487155311942e-05,2.189966539302252e-290,2.0538675289940265e-30,2.2583548844532844e-39,4.801521815528169e-48,1.8523515205239218e-76,5.534653509269211e-56,8.532228127096085e-40,0.5558870475426271,0.0,0.0,0.0
17.9,0.5429787,0.5433644085339233,0.00015294286694468378,8.707235682687803e-05,7.838235051645386e-291,1.808444011141833e-30,1.8947527047621364e-39,3.8050029116840775e-48,1.2161492404270513e-76,3.7897184597336812e-56,6.238069344901946e-40,0.5431243933101517,0.0,0.0,0.0
17.916666666666668,0.52893615,0.5266300201564444,0.00015172290445847445,8.635578058141492e-05,2.8054133967178772e-291,1.5923296204664044e-30,1.5896652251206934e-39,3.0152549885526084e-48,7.984250691800011e-77,2.5947819295098804e-56,4.5604713809729145e-40,0.5263919414714046,0.0,0.0,0.0
17.933333333333334,0.5102128,0.5065467746056207,0.000150512613649186,8.564509408772047e-05,1.00409137592047e-291,1.4020263062392878e-30,1.333679965921667e-39,2.3893847415871305e-48,5.24161775565169e-77,1.7765289886954572e-56,3.3338128707743432e-40,0.5063106168978838,0.0,0.0,0.0
17.95,0.48212767,0.48374557993882983,0.00014931191846126083,8.494024901575288e-05,3.5937461834023815e-292,1.2344532511865202e-30,1.1188977993968843e-39,1.8933946398662956e-48,3.4409668207569404e-77,1.216245806656842e-56,2.4369397988737925e-40,0.4835113277713528,0.0,0.0,0.0
17.966666666666665,0.4587234,0.4588461142431661,0.00014812074343059365,8.42411974311818e-05,1.2862321616772076e-292,1.0868971373080153e-30,9.386897467518894e-40,1.5003384602126266e-48,2.258809698191231e-77,8.326225019095723e-57,1.7812325734064834e-40,0.45861375230230433,0.0,0.0,0.0
17.983333333333334,0.43063828,0.4324395852914749,0.00014693901368000362,8.354789179215848e-05,4.6035104711862045e-293,9.56968336123769e-31,7.87492840170893e-40,1.1888591602812861e-48,1.482732774874211e-77,5.69971010828282e-57,1.301873687962444e-40,0.43220909838600274,0.0,0.0,0.0
18.0,0.4025532,0.40507546977398123,0.00014576665491474318,8.286028494611192e-05,1.6476187257933495e-293,8.425623180935146e-31,6.606387779402441e-40,9.420298558406339e-49,9.732631500411982e-78,3.901533435843916e-57,9.514579740491404e-41,0.40484684283412037,0.0,0.0,0.0
18.016666666666666,0.3744681,0.3772520367324395,0.00014460359341803757,8.217833012657073e-05,5.8968777306966e-294,7.4182565985133555e-31,5.54210107340595e-40,7.464350835926064e-49,6.3882497387662225e-78,2.670520674294102e-57,6.953173324622582e-41,0.3770252548088949,0.0,0.0,0.0
18.03333333333333,0.34638298,0.3494103162820806,0.00014344975604666017,8.150198095001172e-05,2.1104999832675818e-294,6.531261018219323e-31,4.649195149522098e-40,5.914425467577205e-49,4.1929315003818924e-78,1.8278253885917448e-57,5.081001566738926e-41,0.3491853645450839,0.0,0.0,0.0
18.05,0.31829786,0.32193108351101735,0.00014230507022653887,8.083119141273284e-05,7.553468388288189e-295,5.75026173919119e-31,3.90008513472701e-40,4.6862586036888375e-49,2.751933834669378e-78,1.2509838955345915e-57,3.712689017575899e-41,0.32170794724937807,0.0,0.0,0.0
18.066666666666663,0.29489362,0.29513438067524167,0.00014116946394839784,8.016591588775357e-05,2.7033689311071458e-295,5.0625996441803225e-31,3.271624097963683e-40,3.713069951314879e-49,1.8061033978547613e-78,8.561445316309313e-58,2.712694772880121e-41,0.2949130452954055,0.0,0.0,0.0
18.08333333333333,0.2668085,0.26928108982999294,0.00014004286576342812,7.950610912173725e-05,9.675247119964375e-296,4.457126576586821e-31,2.7443893919123266e-40,2.941936055536983e-49,1.1853093084637412e-78,5.858965107467215e-58,1.981921919537315e-41,0.26906154085510775,0.0,0.0,0.0
18.1,0.24340425,0.2445760843271434,0.00013892520477899422,7.885172623194201e-05,3.4627143488842113e-296,3.9240251079159926e-31,2.3020837026088923e-40,2.330915709136079e-49,7.778669250332308e-79,4.009343751568328e-58,1.4479232563144054e-41,0.24435830739613246,0.0,0.0,0.0
18.116666666666667,0.22468086,0.22117252328414655,0.00013781641065437232,7.82027227031948e-05,1.2392790996334732e-296,3.4546497902972626e-31,1.9310323785682526e-40,1.8467715488565726e-49,5.104621001962866e-79,2.743496004273421e-58,1.0577379280497966e-41,0.220956504150789,0.0,0.0,0.0
18.133333333333333,0.20595744,0.19917690130018334,0.00013671641359651736,7.755905438488907e-05,4.4352637316044174e-297,3.041387334559629e-31,1.6197615702132265e-40,1.4631642203902555e-49,3.3497033532148465e-79,1.8772154822678026e-58,7.726526157187477e-42,0.19896262583220192,0.0,0.0,0.0
18.15,0.18723404,0.17865452061053422,0.0001356251443558651,7.692067748800836e-05,1.5873315342962934e-297,2.6775334590677906e-31,1.3586441946246315e-40,1.1592211196598434e-49,2.198031446486594e-79,1.2844073378709426e-58,5.643704744409205e-42,0.17844197478869034,0.0,0.0,0.0
18.166666666666668,0.16851063,0.1596351099604196,0.0001345425342221643,7.628754858217389e-05,5.680855161197275e-298,2.357184422977163e-31,1.139602826093038e-40,9.184020327310902e-50,1.4422688493833588e-79,8.787602060326454e-59,4.1220972202745884e-42,0.15942427987761526,0.0,0.0,0.0
