time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11
20.716666666666665,0.028085107,3.160391893743272e-05,3.160391893654333e-05,2.0971395076262907e-170,1.3950349514000195e-47,1.3422199611431028e-54,1.0836730166028355e-60,1.0986488054954996e-107,8.839264839323716e-84,1.5454295396908034e-62,8.893920999949005e-16,0.0,0.0
20.73333333333333,0.028085107,3.134996671776727e-05,3.134996671707628e-05,1.3171479064258187e-170,1.1958304915236415e-47,1.1150203646406844e-54,8.719397740059012e-61,7.180586332175727e-108,6.026927213304578e-84,1.1251930088719204e-62,6.909973863065864e-16,0.0,0.0
20.75,0.028085107,3.109804689257129e-05,3.1098046892034546e-05,8.27259511333073e-171,1.0250631729613454e-47,9.262692712341572e-55,7.015701927848322e-61,4.693015605965047e-108,4.109267052134867e-84,8.192030426692999e-63,5.367412949770961e-16,0.0,0.0
20.766666666666666,0.028085107,3.084814327904341e-05,3.084814327862658e-05,5.195758916082137e-171,8.786746998209565e-48,7.694618228853374e-55,5.6448472059590124e-61,3.0671511999544527e-108,2.8016987953294478e-84,5.96407165680727e-63,4.1683099541053325e-16,0.0,0.0
20.78333333333333,0.028085107,3.0600239822394906e-05,3.0600239822071265e-05,3.263294080733855e-171,7.531857652034144e-48,6.3919338570315314e-55,4.541817552193267e-61,2.0045158604044497e-108,1.9101488758699714e-84,4.3419114478854906e-63,3.236400813580647e-16,0.0,0.0
20.8,0.028085107,3.0354320594845848e-05,3.0354320594594618e-05,2.0495732019708063e-171,6.456134733446395e-48,5.30973509268192e-55,3.6542951303819585e-61,1.3100110487900426e-108,1.3022720687452062e-84,3.160864889508587e-63,2.512307498407813e-16,0.0,0.0
20.816666666666663,0.023404256,3.0110369794628693e-05,3.0110369794433713e-05,1.2872729820895067e-171,5.534005356872505e-48,4.410713356507988e-55,2.94018058523105e-61,8.561139965001416e-109,8.878201702697026e-85,2.3010063244915794e-63,1.9498103329221021e-16,0.0,0.0
20.83333333333333,0.023404256,2.986837174499927e-05,2.9868371744847978e-05,8.084959960804502e-172,4.7435456269083103e-48,3.663871431005641e-55,2.3655975036212873e-61,5.594733957494028e-109,6.052532080287093e-85,1.6750070894417297e-63,1.5129406488154568e-16,0.0,0.0
20.85,0.023404256,2.962831089325614e-05,2.962831089313877e-05,5.0779110849975587e-172,4.0659601231201574e-48,3.0434560737742098e-55,1.9032865221193455e-61,3.656103754593432e-109,4.126083772162369e-85,1.2192773085624188e-63,1.1737138363924885e-16,0.0,0.0
20.866666666666667,0.023404256,2.939017180976779e-05,2.9390171809676754e-05,3.189277506192101e-172,3.485135611479096e-48,2.5280711000865966e-55,1.5313130101648903e-61,2.389179832502247e-109,2.8127288563697864e-85,8.875143530855927e-64,9.103621909517756e-17,0.0,0.0
20.883333333333333,0.023404256,2.9153939187006283e-05,2.9153939186935688e-05,2.003085682924526e-172,2.987258400868299e-48,2.0999404300862136e-55,1.232027107406435e-61,1.5612428074201409e-109,1.9173730548250028e-85,6.46004254442003e-64,7.059577164129731e-17,0.0,0.0
20.9,0.023404256,2.8919597838589393e-05,2.8919597838534657e-05,1.2580756106267913e-172,2.5604862711125827e-48,1.7442957507321253e-55,9.912268445738349e-62,1.0201954194227607e-109,1.3069962209081303e-85,4.701998830789527e-64,5.4733910584504586e-17,0.0,0.0
20.916666666666668,0.023404256,2.868713269833009e-05,2.8687132698287663e-05,7.901580310625169e-173,2.1946671921236695e-48,1.4488677265412401e-55,7.974846956245079e-62,6.666342485946325e-110,8.909042725257902e-86,3.422290310455587e-64,4.242759254487281e-17,0.0,0.0
20.933333333333334,0.023404256,2.845652881929329e-05,2.8456528819260408e-05,4.9627360047596625e-173,1.881098162685205e-48,1.2034632533700074e-55,6.416056498969829e-62,4.355953494217152e-110,6.072629517246975e-86,2.4907974762385823e-64,3.2881772651139635e-17,0.0,0.0
