time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15,peak_16,peak_17
8.55,0.5102128,0.6120298018869301,5.609996318729962e-07,0.0027125966192528407,0.00516483470643605,1.7011842887588448e-05,0.006548998888906124,0.005566322444990074,1.9420389290011903e-23,0.10184988362923944,0.49016959275558614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.566666666666666,0.4868085,0.5742079227458083,5.407084442118563e-07,0.0026902281875658394,0.005122795722534276,1.639449222460308e-05,0.006496883121915946,0.005517762328958592,1.214775936020391e-23,0.09535657323313576,0.4590067449510291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.583333333333334,0.46340424,0.537645450314362,5.211489371742365e-07,0.0026680438154946164,0.005081096016425735,1.5799358908462285e-05,0.0064451740094734755,0.00546962129634929,7.598628949914471e-24,0.08922232665921148,0.4287428680095617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.44468084,0.5024550859069905,5.022948207604835e-07,0.0026460419939128075,0.005039732894070209,1.5225651501011404e-05,0.006393868501951159,0.005421895807013524,4.7530796267055686e-24,0.08343263975053362,0.3995051790131874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.616666666666667,0.42595744,0.4687233376133893,4.841207456595233e-07,0.002624221225987024,0.004998703682074465,1.4672606398632532e-05,0.006342963570479925,0.005374582349266144,2.973142481063501e-24,0.0779730331105631,0.37139467694787437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.633333333333333,0.41191489,0.4365128010531346,4.666022697565896e-07,0.002602580027078051,0.004958005727548229,1.4139486869327894e-05,0.0062924562068493485,0.005327677439687516,1.859760936287176e-24,0.07282912780025583,0.34448834776257653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.39787233,0.40586449917128203,4.4971582582625695e-07,0.0025811169246427635,0.004917636397960775,1.3625582122387993e-05,0.006242343423407218,0.0052811776229260525,1.163320211421787e-24,0.06798671114518191,0.3188414383592151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.666666666666666,0.38851064,0.376800224454064,4.3343869036920224e-07,0.002559830458136853,0.004877593080998297,1.3130206409576944e-05,0.006192622252958755,0.0052350794715014795,7.276828945970804e-25,0.06343179344170898,0.29448974210365975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.683333333333334,0.38382977,0.34932483733144803,4.1774895355243034e-07,0.0025387191789182826,0.0048378731844219,1.2652698156797724e-05,0.006143289748665246,0.0051893795856086545,4.551827409125939e-25,0.05915065632156632,0.2714518488651573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.37914893,0.3234284840361267,4.0262549021424025e-07,0.0025177816501515153,0.004798474135926381,1.2192419125235812e-05,0.006094342983942448,0.005144074592922147,2.847279638884549e-25,0.055129893501171555,0.2497313221273972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.716666666666667,0.37914893,0.29908870572472324,3.8804793189642513e-07,0.0024970164467124794,0.004759393382999652,1.1748753601007901e-05,0.006045779052358432,0.005099161148401426,1.7810461039283144e-25,0.05135644460671535,0.22931877428600297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.733333333333333,0.3744681,0.2762724182052726,3.739966398676242e-07,0.002476422155094293,0.004720628392782938,1.1321107612376491e-05,0.005997595067531247,0.005054635934096846,1.1140915817873272e-25,0.04781762272910814,0.2101938188224069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.3744681,0.2549377481601767,3.6045267910289884e-07,0.0024559973733137017,0.004682176651931649,1.0908908173617612e-05,0.005949788163026125,0.00501049565895626,6.968949282988644e-26,0.04450113632501677,0.1923268846270795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.766666666666667,0.3744681,0.23503571734088138,3.473977931859237e-07,0.0024357407108182775,0.004644035666477013,1.0511602554660652e-05,0.005902355492252496,0.004966737058632491,4.359276179327613e-26,0.04139510604205679,0.17568088337029647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.783333333333333,0.3744681,0.21651177089359427,3.348143801012597e-07,0.0024156507883943347,0.004606202961688408,1.012865757564515e-05,0.005855294228360689,0.00492335689529148,2.7268554901682823e-26,0.03848807700812368,0.16021272553977994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.37914893,0.19930714982370606,3.226854688853792e-07,0.002395726238075546,0.004568676081936432,9.759558925567473e-06,0.005808601564138373,0.00488035195742123,1.7057308709199765e-26,0.03576902708731519,0.14587468465042486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.816666666666666,0.37914893,0.1833601106970431,3.109946971062008e-07,0.002375965703052319,0.004531452590556714,9.403810504217672e-06,0.005762274711906852,0.004837719059641584,1.066987995679343e-26,0.03322737156819175,0.13261561225849255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.833333333333334,0.38382977,0.16860699808987406,2.997262891418935e-07,0.002356367837581845,0.004494530069714431,9.06093378662969e-06,0.005716310903417073,0.004795455042514736,6.674353185744791e-27,0.03085296471450339,0.12038200886206682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
