time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8
21.1,0.0,4.252573207457552e-06,4.252573207457552e-06,3.615549538822093e-253,3.0693708570719677e-91,3.2300038955944757e-84,2.0866584804623107e-98,1.2712808744948165e-78,7.395692056997789e-62,0.0
21.116666666666667,0.0,4.217438580967236e-06,4.217438580967236e-06,1.8127466420976388e-253,2.2788240621418805e-91,2.402028101337012e-84,1.4245923450212286e-98,9.001083920147818e-79,5.461414962719278e-62,0.0
21.133333333333333,-0.004680851,4.182594095883214e-06,4.182594095883214e-06,9.088629313083448e-254,1.6918663786860353e-91,1.7862703808447643e-84,9.725709656623787e-99,6.372906245885088e-79,4.032912915573965e-62,0.0
21.15,-0.004680851,4.148037357625824e-06,4.148037357625824e-06,4.556781077997239e-254,1.2560738417788685e-91,1.3283435200955413e-84,6.6396239356721885e-99,4.512006370171661e-79,2.977966927846847e-62,0.0
21.166666666666668,-0.004680851,4.1137659913638645e-06,4.1137659913638645e-06,2.2846329350862103e-254,9.325199802345178e-92,9.877970243180319e-85,4.532702088420142e-99,3.1944152413924024e-79,2.1989142797270112e-62,0.0
21.183333333333334,-0.004680851,4.079777641851908e-06,4.079777641851908e-06,1.1454422584036578e-254,6.923010634885728e-92,7.345462552523173e-85,3.0942999314992716e-99,2.2615310740402505e-79,1.6236191950393947e-62,0.0
21.2,-0.004680851,4.046069973268868e-06,4.046069973268868e-06,5.742863211065897e-255,5.139557693211606e-92,5.462163853430803e-85,2.112317523053578e-99,1.6010441522762773e-79,1.1988022451677088e-62,0.0
21.216666666666665,-0.004680851,4.012640669057991e-06,4.012640669057991e-06,2.8792690477500807e-255,3.815490717484556e-92,4.061668305931438e-85,1.4419413066777305e-99,1.133427253498436e-79,8.85112462930008e-63,0.0
21.23333333333333,-0.004680851,3.979487431768099e-06,3.979487431768099e-06,1.4435589864862532e-255,2.8324938875123843e-92,3.020218443296495e-85,9.843002061938067e-100,8.023680383898153e-80,6.534869907521213e-63,0.0
21.25,-0.004680851,3.9466079828961625e-06,3.9466079828961625e-06,7.237445953751623e-256,2.10272026715698e-92,2.2457760361550342e-85,6.718915904745069e-100,5.679933497638198e-80,4.8246194459468506e-63,0.0
21.266666666666666,-0.004680851,3.914000062731195e-06,3.914000062731195e-06,3.6285628420341776e-256,1.5609463424766793e-92,1.6698933445840886e-85,4.586300379853166e-100,4.020708383682188e-80,3.561860035915694e-63,0.0
21.28333333333333,-0.004680851,3.881661430199359e-06,3.881661430199359e-06,1.8192085310207857e-256,1.1587464526568063e-92,1.2416672957245393e-85,3.1305271204081497e-100,2.8461096497046883e-80,2.6295313346299375e-63,0.0
21.3,-0.004680851,3.849589862710416e-06,3.849589862710416e-06,9.120714093094369e-257,8.601671350338966e-93,9.232429171981919e-86,2.1368013766762998e-100,2.0146074749031254e-80,1.9411880466539267e-63,0.0
21.316666666666663,-0.004680851,3.817783156005448e-06,3.817783156005448e-06,4.5727107099397905e-257,6.385152467069044e-93,6.864690727074786e-86,1.458487033508449e-100,1.4259984328413473e-80,1.4329949729003798e-63,0.0
21.33333333333333,-0.004680851,3.7862391240057254e-06,3.7862391240057254e-06,2.292541159060864e-257,4.739731202787818e-93,5.104112424290771e-86,9.954804773421502e-101,1.0093399947407225e-80,1.0578146291213964e-63,0.0
21.35,-0.004680851,3.7549555986629597e-06,3.7549555986629597e-06,1.1493679678676642e-257,3.518278243354637e-93,3.795017364320263e-86,6.794456202727359e-101,7.14407123160963e-81,7.80840547123925e-64,0.0
21.366666666666667,-0.004680851,3.7239304298107323e-06,3.7239304298107323e-06,5.762349212940757e-258,2.611564137392209e-93,2.821639966958472e-86,4.637334938889022e-101,5.056429566830602e-81,5.7637226464675193e-64,0.0
21.383333333333333,-0.004680851,3.6931614850170736e-06,3.6931614850170736e-06,2.888940509447032e-258,1.938497601048779e-93,2.0978949595660218e-86,3.165002478402793e-101,3.5787558654228946e-81,4.2543357610820334e-64,0.0
21.4,0.0,3.6663837401036998e-06,3.662646649438371e-06,1.4483588144034503e-258,1.4388778017450367e-93,1.5597687190574831e-86,2.1600882596736875e-101,2.532853905139036e-81,3.14013604260595e-64,3.737090665328723e-09
21.416666666666668,0.0,4.024441928114374e-06,3.632383825674402e-06,7.261264911869852e-259,1.0680132600434872e-93,1.1596608987272468e-86,1.4742149608040402e-101,1.7925785572514581e-81,2.3176786506738867e-64,3.9205810243997197e-07
21.433333333333334,0.0,9.048348789433366e-06,3.6023709336246228e-06,3.640381896825344e-259,7.927266871495382e-94,8.621764919554077e-87,1.0061020435285996e-101,1.268633790512187e-81,1.7105905699050776e-64,5.4459778558087435e-06
