time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10
18.33333333333333,0.037446808,0.026586633642720934,5.3899373834064845e-229,1.102348551046283e-46,2.1613659676896686e-33,4.067148369714679e-37,7.533507891699065e-82,1.2730972971332113e-59,1.2281859006041507e-41,0.026586633642720934,0.0,0.0
18.35,0.037446808,0.022969451956981142,2.4887677655040563e-229,9.1350462496024e-47,1.8831840204790516e-33,3.437747236866563e-37,4.932378614201575e-82,8.759791208793576e-60,9.083242154364745e-42,0.022969451956981142,0.0,0.0
18.366666666666667,0.03276596,0.019796503452881562,1.149168397538523e-229,7.570006598628512e-47,1.6407920505632346e-33,2.9057214461824983e-37,3.229245361531863e-82,6.027067582028523e-60,6.717277433706576e-42,0.019796503452881562,0.0,0.0
18.383333333333333,0.03276596,0.0170219961293452,5.306175708563499e-230,6.273002740882011e-47,1.4295872601130676e-33,2.456010057175631e-37,2.1141277093351132e-82,4.146661692797733e-60,4.9673116516643546e-42,0.0170219961293452,0.0,0.0
18.4,0.03276596,0.014603219271113924,2.450068549991599e-230,5.198145445377014e-47,1.2455585578619383e-33,2.075880941093842e-37,1.3840347155029383e-82,2.8528009711100597e-60,3.673037666222061e-42,0.014603219271113924,0.0,0.0
18.416666666666668,0.028085107,0.012500671440503496,1.1312888417496138e-230,4.30739922859707e-47,1.0852105245958672e-33,1.7545707884974838e-37,9.060421355698396e-83,1.962568193545036e-60,2.715847157571658e-42,0.012500671440503496,0.0,0.0
18.433333333333334,0.028085107,0.01067809519510265,5.223570192010236e-231,3.5692386962547856e-47,9.454971449582045e-34,1.4829807490648202e-37,5.931103567901502e-83,1.3500770027781641e-60,2.0079891266534407e-42,0.01067809519510265,0.0,0.0
18.45,0.028085107,0.00910243811672041,2.4119040875395488e-231,2.957534681833593e-47,8.237640516720646e-34,1.2534191089179438e-37,3.882472390504203e-83,9.286945794366317e-61,1.4845457802404078e-42,0.00910243811672041,0.0,0.0
18.466666666666665,0.023404256,0.00774375728561031,1.1136566204310426e-231,2.450630895741481e-47,7.176981891997832e-34,1.0593837381740573e-37,2.5413650573678532e-83,6.38804483756444e-61,1.0974940043607705e-42,0.00774375728561031,0.0,0.0
18.48333333333333,0.023404256,0.006575081934609484,5.142108637006517e-232,2.0305785127774043e-47,6.252839441332867e-34,8.953781638820144e-38,1.6634570668879644e-83,4.393835167022626e-61,8.113106134103517e-43,0.006575081934609484,0.0,0.0
18.5,0.023404256,0.00557224674166921,2.3742687200738694e-232,1.682501692550542e-47,5.447649118888926e-34,7.567560726520627e-38,1.0887848168654363e-83,3.0220414024575727e-61,5.9972024972988545e-43,0.00557224674166921,0.0,0.0
18.516666666666666,0.023404256,0.004713706113845168,1.0962691088944256e-232,1.3940716433429094e-47,4.746105758730326e-34,6.395898498681372e-38,7.126207868067727e-84,2.0784423773219205e-61,4.4328898319051335e-43,0.004713706113845168,0.0,0.0
18.53333333333333,0.018723404,0.0039803379095765005,5.06177886849123e-233,1.1550706670906093e-47,4.1348726820089364e-34,5.405594410175704e-38,4.664025761077874e-84,1.4294092248922669e-61,3.2764379375175113e-43,0.0039803379095765005,0.0,0.0
18.55,0.018723404,0.003355243352432673,2.3371568001883596e-233,9.570307963919227e-48,3.602328620455206e-34,4.5685839451372517e-38,3.052456412595228e-84,9.830062273670213e-62,2.4215522777383685e-43,0.003355243352432673,0.0,0.0
18.566666666666663,0.018723404,0.002823548410415014,1.0791236876808277e-233,7.929342654131863e-48,3.138347162952932e-34,3.8611443060235943e-38,1.9976717621166848e-84,6.759851214764199e-62,1.7896279755946022e-43,0.002823548410415014,0.0,0.0
18.58333333333333,0.018723404,0.002372210644054249,4.9825687369464574e-234,6.569652379029068e-48,2.734104547395267e-34,3.263222912165033e-38,1.307329229450445e-84,4.648354773773115e-62,1.3225399190202018e-43,0.002372210644054249,0.0,0.0
18.6,0.018723404,0.001989834451821257,2.3005626929130162e-234,5.443040240424851e-48,2.3819121564537676e-34,2.757869725493349e-38,8.555236994207044e-85,3.1962647159404842e-62,9.773093367240074e-44,0.001989834451821257,0.0,0.0
