time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12
12.116666666666667,8.093191,8.135034669640973,0.0034080403200761685,1.2193363870798619e-146,3.7957559381656535e-19,5.62917935034854e-12,2.8295494982531064e-10,1.8210095348754204e-15,0.004647637178872646,8.126978991853438,0.0,0.0,0.0,0.0
12.133333333333333,8.224256,8.233280002946941,0.0033816593926756624,4.0558393261545084e-147,3.1106153845050325e-19,4.92108725591492e-12,2.422895235063602e-10,1.2463334875223928e-15,0.0035655998380817776,8.226332743468971,0.0,0.0,0.0,0.0
12.15,8.257021,8.235142279262961,0.0033554786740309477,1.3490494844893065e-147,2.5489247561203837e-19,4.301846199803342e-12,2.0745290955544918e-10,8.526541593155278e-16,0.0027305823701890583,8.229056218006985,0.0,0.0,0.0,0.0
12.166666666666666,8.19617,8.147083142987778,0.00332949669297709,4.487092402888954e-148,2.0884815057021454e-19,3.7603364218987194e-12,1.77612004815678e-10,5.830833750471631e-16,0.002087477217312554,8.141666168896116,0.0,0.0,0.0,0.0
12.183333333333334,8.041702,7.977749884785233,0.003303711988540752,1.4924239273412335e-148,1.711068604427497e-19,3.2868259191916033e-12,1.5205241658631534e-10,3.985748880857117e-16,0.0015931350619222762,7.97285303757943,0.0,0.0,0.0,0.0
12.2,7.8076596,7.737322273238382,0.0032781231098781777,4.963745580964699e-149,1.4017405321901917e-19,2.872797769180632e-12,1.3016160304011913e-10,2.723410605300988e-16,0.0012138572383732923,7.732830292757096,0.0,0.0,0.0,0.0
12.216666666666669,7.4987235,7.436894274792494,0.0032527286162134157,1.650885699369792e-149,1.148236919313099e-19,2.510798870486173e-12,1.1141439955633087e-10,1.8601269011489697e-16,0.0009233913110037492,7.432718154751352,0.0,0.0,0.0,0.0
12.233333333333333,7.133617,7.087918862082831,0.0032275270767768115,5.4905359673313e-150,9.405010671424131e-20,2.1943074534065466e-12,9.536059462772965e-11,1.2699907984164503e-16,0.0007013347415197289,7.083990000166979,0.0,0.0,0.0,0.0
12.25,6.721702,6.701733787026048,0.0032025170707436967,1.826008438730169e-150,7.702846283681988e-20,1.9176170391482813e-12,8.161426621407429e-11,8.667410689079716e-17,0.0005318679934957394,6.697999401878277,0.0,0.0,0.0,0.0
12.266666666666667,6.2770214,6.289177162077235,0.0031776971871733837,6.072691009370462e-151,6.308230615547035e-20,1.6757348124855659e-12,6.984463003141394e-11,5.91304495932759e-17,0.0004027524208463189,6.285596712397695,0.0,0.0,0.0,0.0
12.283333333333331,5.818298,5.860294300148374,0.003153066024948401,2.0195286167066817e-151,5.165692156978107e-20,1.4642926235139843e-12,5.976818620354239e-11,4.0324422253680777e-17,0.00030454010304026627,5.856836693959153,0.0,0.0,0.0,0.0
12.3,5.3502126,5.424131620315607,0.0031286221927138945,6.715978885980198e-152,4.22974654645971e-20,1.2794690542706233e-12,5.114198074938329e-11,2.7489219770185284e-17,0.00022995267771928055,5.420773045392752,0.0,0.0,0.0,0.0
