time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8
9.683333333333334,0.023404256,0.0651337744288536,8.022278420582357e-19,0.0022624833183054983,8.24525138943672e-20,0.021356833258565175,0.02039843050788533,0.021116027344097593,0.0,0.0
9.7,0.023404256,0.06396424823355923,7.4054228059477855e-19,0.002245527284562429,6.956763986564362e-20,0.02101520048329954,0.019945459153867785,0.02075806131182947,0.0,0.0
9.716666666666669,0.023404256,0.06280004460509518,6.835984672185841e-19,0.0022286927926607274,5.869328930874707e-20,0.020673730201043145,0.019492640649124794,0.020404980962266513,0.0,0.0
9.733333333333333,0.023404256,0.06164242780393975,6.310320204866354e-19,0.00221197904824534,4.9516231513253336e-20,0.020332822082614135,0.01904078796897032,0.020056838704109955,0.0,0.0
9.75,0.023404256,0.06049254672786636,5.825065507044919e-19,0.002195385260962487,4.1771956914956947e-20,0.019992842970863973,0.018590649142822057,0.019713669353217837,0.0,0.0
9.766666666666667,0.023404256,0.05935144359728883,5.377115103519871e-19,0.0021789106444611316,3.523711158161914e-20,0.019654129291418534,0.018142910713328523,0.019375492948080646,0.0,0.0
9.783333333333331,0.018723404,0.05822006182421446,4.963602095208347e-19,0.0021625544163938635,2.972310442024292e-20,0.019316989265113854,0.01769820107977151,0.01904231706293523,0.0,0.0
9.8,0.018723404,0.05709925318567387,4.581879837020688e-19,0.002146315798417274,2.5070705657892835e-20,0.018981704941706454,0.017257093723335018,0.01871413872221512,0.0,0.0
9.816666666666666,0.018723404,0.055989784396960354,4.229505022323968e-19,0.0021301940161918584,2.1145483168379524e-20,0.018648534072122528,0.016820110312856965,0.018390945995789,0.0,0.0
9.833333333333334,0.018723404,0.05489234316092135,3.9042220660496795e-19,0.002114188299381361,1.7833946919068884e-20,0.018317711834510052,0.016387723690550422,0.018072719336479512,0.0,0.0
9.85,0.018723404,0.0538075437551285,3.603948686786055e-19,0.002098297881651693,1.504029185987924e-20,0.017989452427635347,0.01596036073793104,0.01775943270791042,0.0,0.0
9.866666666666667,0.018723404,0.05273593220768956,3.3267625958367802e-19,0.0020825220006693403,1.2683646532185286e-20,0.017663950543661013,0.01553840512281095,0.017451054540548253,0.0,0.0
