time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12
11.133333333333333,0.05148936,0.030910606277155743,0.0018363251801050402,3.904818559952291e-16,0.000509183534737678,0.0018968390083104849,4.311295798599902e-30,1.9725676624882332e-05,2.761558273807736e-13,0.026648532877101113,0.0,0.0,0.0,0.0
11.15,0.060851064,0.04407848210722902,0.0018229740127144532,3.6245808841554213e-16,0.0005049742970104076,0.0018829544160931472,3.696744503917768e-30,1.8894242849851623e-05,1.9327216663548546e-13,0.03984868513836753,0.0,0.0,0.0,0.0
11.166666666666666,0.07021277,0.06023089241710468,0.001809716379420005,3.364422058067516e-16,0.0005007997607401544,0.00186916790062047,3.169730489328761e-30,1.80978485607374e-05,1.3519916057131684e-13,0.05603311052762778,0.0,0.0,0.0,0.0
11.183333333333334,0.084255315,0.07893029498957936,0.0017965516648099904,3.1229059341675975e-16,0.0004966596410046431,0.0018554788096626245,2.717794147751167e-30,1.733501735312764e-05,9.453035873613781e-14,0.07476426985665413,0.0,0.0,0.0,0.0
11.2,0.09829787,0.09947624567201403,0.0017834792570446708,2.898698898272852e-16,0.0004925536552060547,0.0018418864948353624,2.330247952770578e-30,1.660433501644455e-05,6.606390424505206e-14,0.09534172192984515,0.0,0.0,0.0,0.0
11.216666666666669,0.11702128,0.12098104302913587,0.0017704985478417723,2.6905625633464464e-16,0.0004884815230522615,0.0018283903115838536,1.997924620464404e-30,1.590444691485091e-05,4.614830022749937e-14,0.11687776819969671,0.0,0.0,0.0,0.0
11.233333333333333,0.13574468,0.1424625949163356,0.0017576089324619752,2.49734698285538e-16,0.00048444296653822063,0.0018149896191665183,1.7129610321969715e-30,1.5234055478405461e-05,3.2221710230790985e-14,0.138390319342658,0.0,0.0,0.0,0.0
11.25,0.15446809,0.16293908278625557,0.001744809809694333,2.317984346811753e-16,0.00048043770992750655,0.0018016837806387848,1.4686128445409397e-30,1.4591917799825497e-05,2.2487732803550936e-14,0.1588975595681724,0.0,0.0,0.0,0.0
11.266666666666667,0.17319149,0.18151291142429782,0.0017321005818416917,2.151483126243274e-16,0.000476465479733997,0.0017884721628368726,1.2590954317590873e-30,1.3976843332418316e-05,1.568735431853136e-14,0.17750189635653693,0.0,0.0,0.0,0.0
11.283333333333331,0.18723404,0.19743562168929962,0.0017194806547060609,1.9969226342620145e-16,0.00047252600470370137,0.0017753541363615154,1.0794474236749648e-30,1.338769168492112e-05,1.0938641092530524e-14,0.1934548732018323,0.0,0.0,0.0,0.0
