time,signal_corr
0.0,2.374429813162378
0.0166666666666666,2.7300314097168967
0.0333333333333333,2.8656330562239365
0.05,2.9169793745814196
0.0666666666666666,2.940240585129957
0.0833333333333333,2.9447783921518207
0.1,2.949316197870478
0.1166666666666666,2.9538540024504987
0.1333333333333333,2.95371095449747
0.15,2.953567904557902
0.1666666666666666,2.94874400111923
0.1833333333333333,2.9439200946098176
0.2,2.939096183899058
0.2166666666666666,2.929591417797465
0.2333333333333333,2.9247674980567724
0.25,2.9152627223701213
0.2666666666666666,2.9104387908721585
0.2833333333333333,2.90093399963923
0.3,2.896110047689471
0.3166666666666666,2.8866052339829977
0.3333333333333333,2.877100419422007
0.35,2.872276438850961
0.3666666666666666,2.862771591056785
0.3833333333333333,2.857947582768959
0.4,2.8484427086597095
0.4166666666666667,2.843618667344103
0.4333333333333333,2.8341137473802394
0.45,2.8246088172693478
0.4666666666666667,2.819784715455975
0.4833333333333333,2.8102797403281774
0.5,2.8054555902176137
0.5166666666666667,2.7959505533997366
0.5333333333333333,2.786445498093889
0.55,2.7816212724634948
0.5666666666666667,2.772116144616253
0.5833333333333334,2.76729184260423
0.6,2.7624675044240505
0.6166666666666667,2.752962278016993
0.6333333333333333,2.7481378512690884
0.65,2.7386325420113082
0.6666666666666666,2.7338080480196623
0.6833333333333333,2.7243026270153874
0.7,2.7147971766650443
0.7166666666666667,2.7099725345807077
0.7333333333333333,2.7004669783201574
0.75,2.690961365386975
0.7666666666666667,2.6861365232307337
0.7833333333333333,2.676630809247188
0.8,2.6718058407783722
0.8166666666666667,2.662299995112788
0.8333333333333334,2.652794039485505
0.85,2.6479688910783437
0.8666666666666667,2.6384627870200705
0.8833333333333333,2.6289566443864922
0.9,2.6241312602006515
0.9166666666666666,2.6146249114330122
0.9333333333333332,2.609799355001556
0.95,2.6049736777719716
0.9666666666666668,2.600147926557756
0.9833333333333332,2.5906412081203056
1.0,2.5858152791690125
1.0166666666666666,2.580989236361461
1.0333333333333334,2.576163076303517
1.05,2.571336775549431
1.0666666666666669,2.571191240601929
1.0833333333333333,2.566364757912309
1.1,2.5662189838804474
1.1166666666666667,2.566073084854894
1.1333333333333333,2.5659270571328783
1.15,2.5657808969603075
1.1666666666666667,2.565634600531773
1.1833333333333331,2.570168993990549
1.2,2.5747032934286
1.2166666666666666,2.583918254886486
1.2333333333333334,2.588452204353275
1.25,2.5976668877663576
1.2666666666666666,2.6068814110113587
1.2833333333333334,2.6207766099219487
1.3,2.629990760279664
1.3166666666666669,2.643885617813626
1.3333333333333333,2.653099448200356
1.35,2.666993917063496
1.3666666666666667,2.680888219973627
1.3833333333333333,2.69010150244799
1.4,2.699314569950211
1.4166666666666667,2.70852742789011
1.4333333333333331,2.717740091623525
1.45,2.7222717064521227
1.4666666666666666,2.7268031076232164
1.4833333333333334,2.731334270329676
1.5,2.7311843697098364
1.5166666666666666,2.7310342408474075
1.5333333333333334,2.730883878771474
1.55,2.7260524384564992
1.5666666666666669,2.721220734822331
1.5833333333333333,2.7117079427342987
1.6,2.7021948970033085
1.6166666666666667,2.6926815923860317
1.6333333333333333,2.683168023585098
1.65,2.6689733352492846
1.6666666666666667,2.6547783719737046
1.6833333333333331,2.6405831183000923
1.7,2.626387578717087
1.7166666666666666,2.6075109076605174
1.7333333333333334,2.5933147795136846
1.75,2.57911835860774
1.7666666666666666,2.560240779221971
1.7833333333333334,2.541362885584081
1.8,2.527165511870574
1.8166666666666669,2.508286982207123
1.8333333333333333,2.489408090668859
1.85,2.4752097412807488
1.8666666666666667,2.4610110280179733
1.8833333333333333,2.4468119748062116
1.9,2.427931665521924
1.9166666666666667,2.4137319039926344
1.9333333333333331,2.3995317539973096
1.95,2.3853312392666433
1.9666666666666663,2.3758112134833413
1.9833333333333332,2.361609910282403
2.0,2.3474082432513104
2.0166666666666666,2.337887055930314
2.033333333333333,2.328365421812716
2.05,2.318843314345064
2.066666666666667,2.3093208669273366
2.083333333333333,2.2997980129131403
2.1,2.2902746856098957
2.1166666666666667,2.2807508682790276
2.1333333333333333,2.275907534136157
2.15,2.2663828363512923
2.1666666666666665,2.256857708048923
2.183333333333333,2.2520129423082116
2.2,2.2424868921631846
2.216666666666667,2.2376411906028304
2.2333333333333334,2.2327950105712904
2.25,2.227948314967951
2.2666666666666666,2.218420276647546
2.283333333333333,2.2135725684202505
2.3,2.2087243230518743
2.316666666666667,2.203875623263955
2.333333333333333,2.1990263517338584
2.35,2.1941765610948707
2.3666666666666667,2.1893261839362985
2.3833333333333333,2.184475222803564
2.4,2.179623800198308
2.4166666666666665,2.1747717485784808
2.433333333333333,2.1699191103584425
2.45,2.165065947909059
2.466666666666667,2.164893003557798
2.4833333333333334,2.1600385995888263
2.5,2.155183548243014
2.5166666666666666,2.1503279817180303
2.533333333333333,2.1454716921684405
