arquivo,nivel_amostra,replica,pico,tempo_pico,analito,tempo_pico_padrao,A,concentracao_gL
ESTR11-2.csv,,,3,8.283333,,,0.962032,
ESTR11-2.csv,,,4,9.216667,Celobiose,8.810560,2.292483,0.510197
ESTR11-2.csv,,,5,10.050000,,,31.539383,
ESTR11-2.csv,,,6,11.350000,Glicose,10.936973,39.174132,9.577413
ESTR11-2.csv,,,7,12.150000,Xilose,11.723015,13.529531,4.288913
ESTR11-2.csv,,,8,17.850000,,,0.567222,
ESTR11-2.csv,,,9,21.866667,,,0.372465,
ESTR11-3.csv,,,1,6.983333,,,2.843132,
ESTR11-3.csv,,,2,7.816667,,,0.659723,
ESTR11-3.csv,,,3,8.283333,,,0.958363,
ESTR11-3.csv,,,4,9.216667,Celobiose,8.810560,2.256840,0.502405
ESTR11-3.csv,,,5,10.050000,,,30.768509,
ESTR11-3.csv,,,6,11.350000,Glicose,10.936973,38.227784,9.346710
ESTR11-3.csv,,,7,12.150000,Xilose,11.723015,13.222987,4.191995
ESTR11-3.csv,,,8,17.850000,,,0.577153,
ESTR11-3.csv,,,9,21.866667,,,0.399966,
ESTR12-1.csv,,,1,6.983333,,,0.249537,
ESTR12-1.csv,,,2,7.816667,,,0.637225,
ESTR12-1.csv,,,3,8.283333,,,0.935972,
ESTR12-1.csv,,,4,9.216667,Celobiose,8.810560,2.266399,0.504495
ESTR12-1.csv,,,5,10.050000,,,31.845210,
ESTR12-1.csv,,,6,11.350000,Glicose,10.936973,40.423129,9.881895
ESTR12-1.csv,,,7,12.150000,Xilose,11.723015,13.866852,4.395561
ESTR12-1.csv,,,8,17.833333,,,0.568768,
ESTR12-1.csv,,,9,21.883333,,,0.383256,
ESTR12-2.csv,,,1,7.816667,,,0.635598,
ESTR12-2.csv,,,2,8.283333,,,0.946892,
ESTR12-2.csv,,,3,9.216667,Celobiose,8.810560,2.318028,0.515781
ESTR12-2.csv,,,4,10.050000,,,32.438462,
ESTR12-2.csv,,,5,11.350000,Glicose,10.936973,41.330545,10.103107
ESTR12-2.csv,,,6,12.133333,Xilose,11.723015,14.093274,4.467146
ESTR12-2.csv,,,7,17.850000,,,0.556999,
ESTR12-2.csv,,,8,21.866667,,,0.376633,
ESTR12-3.csv,,,1,6.983333,,,0.258611,
ESTR12-3.csv,,,2,7.816667,,,0.634223,
ESTR12-3.csv,,,3,8.283333,,,0.928241,
ESTR12-3.csv,,,4,9.216667,Celobiose,8.810560,2.228122,0.496127
ESTR12-3.csv,,,5,10.050000,,,31.308456,
ESTR12-3.csv,,,6,11.350000,Glicose,10.936973,39.675824,9.699716
ESTR12-3.csv,,,7,12.133333,Xilose,11.723015,13.530745,4.289296
ESTR12-3.csv,,,8,17.850000,,,0.561187,
ESTR12-3.csv,,,9,21.883333,,,0.385785,
ESTR13-1.csv,,,1,6.983333,,,0.109125,
ESTR13-1.csv,,,2,7.816667,,,0.668462,
ESTR13-1.csv,,,3,8.283333,,,0.950984,
