arquivo,pico_id,A,mu,k_global,theta_global
Glic_3gl_10,1,6.2980026891513665,10.983311207642789,9.05068573294555,0.049258326110037255
Celob_1gl_5,1,1.011567311705131,8.862869842153525,9.05068573294555,0.049258326110037255
Celob_1gl_20,1,4.389502832483919,8.878170040341194,9.05068573294555,0.049258326110037255
Celob_1gl_10,1,2.18322573605308,8.866998481306785,9.05068573294555,0.049258326110037255
Xil_1gl_10,1,2.0012387052232055,11.773924275831401,9.05068573294555,0.049258326110037255
xil_1gl_20,1,4.052564321033949,11.788341663835034,9.05068573294555,0.049258326110037255
Glic_3gl_5,1,7.468274784323575e-36,0.13643868057469483,9.05068573294555,0.049258326110037255
Xil_1gl_5,1,4.478669894892225e-38,9.584308458635759,9.05068573294555,0.049258326110037255
Glic_3gl_40,1,25.46165075743107,11.024199422404369,9.05068573294555,0.049258326110037255
Celob_1gl_40,1,8.890659191405001,8.90253946538779,9.05068573294555,0.049258326110037255
xil_1gl_40,1,8.055690178181395,11.808315845681435,9.05068573294555,0.049258326110037255
Glic_3gl_20,1,12.76139893069011,11.0046410798637,9.05068573294555,0.049258326110037255
