time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15
9.75,0.5991489,0.3248642665526849,1.7017273715507374e-20,0.0008827113926006825,5.2762581716739116e-39,0.0002805333659669051,9.663361401180883e-37,0.001081102645905812,5.6451357746670655e-06,0.32261427401243686,2.5036114745025106e-23,0.0,0.0,0.0,0.0,0.0,0.0
9.766666666666667,0.5804255,0.2875918154137109,1.5065203854657776e-20,0.0008754812290257635,4.0857041965859315e-39,0.0002731951215411384,5.97417184649995e-37,0.0010090201822667048,4.578791124791256e-06,0.28542946489088306,7.519886945104113e-08,0.0,0.0,0.0,0.0,0.0,0.0
9.783333333333331,0.5710638,0.2541375333057506,1.3336742765021312e-20,0.0008683095428962334,3.163629679873877e-39,0.00026604505869165046,3.6934103029655777e-37,0.0009416799387798694,3.7113255297443862e-06,0.2520336428558806,2.4144583972534613e-05,0.0,0.0,0.0,0.0,0.0,0.0
9.8,0.5851064,0.2247424483365162,1.1806313674738506e-20,0.0008611958710104848,2.4495274165063296e-39,0.00025907848008483033,2.283377694735737e-37,0.0008787752353577554,3.006174486661923e-06,0.222125472679732,0.0006149198958444483,0.0,0.0,0.0,0.0,0.0,0.0
9.816666666666666,0.6365957,0.20284219535533063,1.045126086694884e-20,0.0008541397536987954,1.8965182026829716e-39,0.0002522908011846342,1.4116541225218625e-37,0.0008200187783158254,2.433387370120765e-06,0.19541226193198402,0.005501050702777233,0.0,0.0,0.0,0.0,0.0,0.0
9.833333333333334,0.73957443,0.20115649837699368,9.251516604219993e-21,0.0008471407347984801,1.4682833602683885e-39,0.00024567754770284675,8.727285665272944e-38,0.0007651414731510283,1.9684533514671155e-06,0.17161305118222756,0.027683518985762302,0.0,0.0,0.0,0.0,0.0,0.0
9.85,0.9174468,0.24900407073981806,8.189305969187017e-21,0.0008401983616291994,1.1366872604630779e-39,0.00023923435310111183,5.395484177017362e-38,0.0007138913066707203,1.5913312002073948e-06,0.1504608370660384,0.09674831832117843,0.0,0.0,0.0,0.0,0.0,0.0
9.866666666666667,1.1982979,0.3962494937507535,7.248885312616816e-21,0.0008333121849683967,8.799347405063753e-40,0.0002329569561438737,3.3356616470918385e-38,0.0006660322947244586,1.285648484367311e-06,0.13170406858334183,0.2628118380830906,0.0,0.0,0.0,0.0,0.0,0.0
9.883333333333333,1.6242553,0.7103698102984641,6.41631048888748e-21,0.0008264817590268831,6.811431503372323e-40,0.00022684119850143876,2.0622147687685804e-38,0.0006213434919652433,1.0380413324102389e-06,0.11510754309141945,0.5935865627162187,0.0,0.0,0.0,0.0,0.0,0.0
9.9,2.2374468,1.2663500268499923,5.679231492287124e-21,0.00081970664142455,5.272357874628815e-40,0.0002208830224023276,1.2749293623219292e-38,0.0005796180602349685,8.376106783589096e-07,0.10045281427444812,1.164276167240804,0.0,0.0,0.0,0.0,0.0,0.0
9.916666666666666,3.08,2.1321345277535695,5.026710491881333e-21,0.0008129863931662335,4.080844324721292e-40,0.00021507846833412856,7.88204081433225e-39,0.0005406623923324248,6.754749158025934e-07,0.0875382104577842,2.0430269145670366,0.0,0.0,0.0,0.0,0.0,0.0
9.933333333333334,4.1893616,3.353786342185834,4.4490606034953505e-21,0.0008063205786177045,3.1584494598498673e-40,0.00020942367279202614,4.872945537080837e-39,0.0005042952880797134,5.444022491131955e-07,0.07617854836661203,3.2760872098774834,0.0,0.0,0.0,0.0,0.0,0.0
9.95,5.593617,4.944194773312196,3.9377030395523684e-21,0.0007997087654818104,2.444424864497783e-40,0.00020391486607422904,3.012622768586551e-39,0.00047034717975551893,4.385088492287979e-07,0.06620461505658197,4.876515748935454,0.0,0.0,0.0,0.0,0.0,0.0
9.966666666666669,7.2834044,6.877729975903556,3.485040545442916e-21,0.0007931505247747401,1.891726763235231e-40,0.00019854837012348085,1.8625085093862336e-39,0.0004386594041101272,3.5301128067512713e-07,0.05746247941890206,6.818836785174365,0.0,0.0,0.0,0.0,0.0,0.0
9.983333333333333,9.24468,9.09145576196451,3.0843452686739843e-21,0.0007866454308024459,1.4639261728780997e-40,0.00019332059641389077,1.1514685716481646e-39,0.0004090835183184633,2.840236378456756e-07,0.04981268445808689,9.040253743937251,0.0,0.0,0.0,0.0,0.0,0.0
10.0,11.421276,11.491988331818316,2.7296594176694962e-21,0.0007801930611371784,1.1328152616502966e-40,0.00018822804388226932,7.118790629778594e-40,0.00038148065736262404,2.2839147315732315e-07,0.0431293624729183,11.447508839191542,0.0,0.0,0.0,0.0,0.0,0.0
10.016666666666667,13.742978,13.966141308344138,2.415707253840662e-21,0.0007737929965941867,8.765531441010515e-41,0.00018326729690323188,4.4010941207624675e-40,0.00035572093046580436,1.8355596962639836e-07,0.03729930731491692,13.927529036249288,0.0,0.0,0.0,0.0,0.0,0.0
10.033333333333331,16.102127,16.393174333100127,2.137817126095443e-21,0.000767444821208536,6.782296194962005e-41,0.00017843502330726837,2.7209176278131087e-40,0.0003316828543236455,1.4744294986956125e-07,0.03222103099874195,16.359675591959597,0.0,0.0,0.0,0.0,0.0,0.0
10.05,18.381702,18.656642431352235,1.891852403729943e-21,0.0007611481222120648,5.247527065771062e-41,0.0001737279724410283,1.6821721194100916e-40,0.00030925282099849964,1.1837225996007106e-07,0.027803826022422266,18.6275943580419,0.0,0.0,0.0,0.0,0.0,0.0
10.066666666666666,20.46468,20.65433477101451,1.6741502937557598e-21,0.0007549024900104944,4.0598702196852803e-41,0.0001691429732690821,1.0399818555239244e-40,0.0002883245984559997,9.498385158556357e-08,0.02396684973740942,20.629155456231516,0.0,0.0,0.0,0.0,0.0,0.0
10.083333333333334,22.234043,22.305405015778398,1.4814676440566097e-21,0.0007487075181606501,3.14086475710082e-41,0.0001646769325163762,6.429561963292181e-41,0.00026879886183191963,7.6177536223987e-08,0.02063824289966618,22.283584513388686,0.0,0.0,0.0,0.0,0.0,0.0
10.1,23.605532,23.55438456263652,1.310932936013642e-21,0.000742562803347842,2.429774874026285e-41,0.0001603268328506792,3.9750015196331536e-41,0.00025058275362141604,6.106392301648e-08,0.017754291043234453,23.535476738139543,0.0,0.0,0.0,0.0,0.0,0.0
10.116666666666667,24.513617,24.372243984956963,1.1600037608672221e-21,0.0007364679453633657,1.8795879145275154e-41,0.00015608973110425942,2.4574998391744964e-41,0.0002335894710813812,4.8924496510567566e-08,0.015258634458969732,24.355859154425946,0.0,0.0,0.0,0.0,0.0,0.0
10.133333333333333,24.939573,24.75498828884699,1.0264291544190965e-21,0.0007304225470821494,1.45391544255476e-41,0.00015196275653408912,1.5193225379434161e-41,0.00021773787923107008,3.917915727026481e-08,0.013101530250437214,24.74078659623455,0.0,0.0,0.0,0.0,0.0,0.0
10.15,24.888084,24.72043849883051,9.0821623588323e-22,0.0007244262144405256,1.124593694197624e-41,0.00014794310911984382,9.393052349528777e-42,0.00020295214792568727,3.1359850717271824e-08,0.011239168099010413,24.708123977900165,0.0,0.0,0.0,0.0,0.0,0.0
10.166666666666666,24.410639,24.30389008696812,8.0360065980745225e-22,0.0007184785564141504,8.698256656202338e-42,0.00014402805789900502,5.80715987469276e-42,0.00018916141156299123,2.5089158521048914e-08,0.009633039930712064,24.293205353922374,0.0,0.0,0.0,0.0,0.0,0.0
10.183333333333334,23.582127,23.553283237296547,7.110204459242947e-22,0.000712579184996045,6.727426494034964e-42,0.0001402149393383535,3.590220289831006e-42,0.00017629945006388917,2.006293160287437e-08,0.00824936257491861,23.5440047610843,0.0,0.0,0.0,0.0,0.0,0.0
10.2,22.477446,22.52440749700844,6.290928013670074e-22,0.000706727715174782,5.202905794278937e-42,0.0001365011557411753,2.2196202745231912e-42,0.00016430438984502978,1.603621202802782e-08,0.007058551683593025,22.516341396027872,0.0,0.0,0.0,0.0,0.0,0.0
10.216666666666669,21.17149,21.276525826036412,5.565935936240339e-22,0.000700923764912796,4.023678850503825e-42,0.0001328841736894881,1.3722604233589769e-42,0.0001531184235743178,1.2811829105893175e-08,0.006034744589844071,21.269504142272563,0.0,0.0,0.0,0.0,0.0,0.0
10.233333333333333,19.74383,19.868664613291045,4.924391715449801e-22,0.0006951669551248383,3.11158086757524e-42,0.00012936152252062994,8.483882787919609e-43,0.0001426875475696131,1.0231168193108358e-08,0.005155369383550669,19.862542017651112,0.0,0.0,0.0,0.0,0.0,0.0
10.25,18.250639,18.356692900186196,4.35670266218991e-22,0.0006894569096565514,2.406131707973729e-42,0.0001259307928375256,5.245091210860353e-43,0.0001329613157663928,8.166703387801663e-09,0.004400757232653738,18.351343785768577,0.0,0.0,0.0,0.0,0.0,0.0
10.266666666666667,16.738724,16.791214545071053,3.854377341279785e-22,0.0006837932552631911,1.86053698833694e-42,0.00012258963505200324,3.242736731966886e-43,0.00012389260924247677,6.5159611466053875e-09,0.003753794850171631,16.786530468205363,0.0,0.0,0.0,0.0,0.0,0.0
10.283333333333331,15.245532,15.216224321002686,3.4098993207565707e-22,0.0006781756215884715,1.4385929080256077e-42,0.00011933575796049243,2.004797885870799e-43,0.0001154374203466381,5.196643854304355e-09,0.0031996139725012636,15.212111753033646,0.0,0.0,0.0,0.0,0.0,0.0
10.3,13.799149,13.668431883058423,3.016615374077582e-22,0.0006726036411435369,1.1122906883445963e-42,0.00011616692735147629,1.2394521244802895e-43,0.00010755465053373308,4.1426930093815616e-09,0.002725314752029623,13.664810238944671,0.0,0.0,0.0,0.0,0.0,0.0
10.316666666666666,12.427659,12.177132654606718,2.668636483172644e-22,0.0006670769492860856,8.599625778949915e-43,0.00011308096464408085,7.662829635306433e-44,0.00010020592106166958,3.3011130031772898e-09,0.0023197200581276897,12.173932567412486,0.0,0.0,0.0,0.0,0.0,0.0
10.333333333333334,11.149787,10.764497303447758,2.360750178828899e-22,0.0006615951841995996,6.648470615401922e-43,0.00011007574555716027,4.73749576834858e-44,9.3355395755288e-05,2.629410151284371e-09,0.001973157810208992,10.761659116682626,0.0,0.0,0.0,0.0,0.0,0.0
10.35,9.970213,9.446156738453167,2.0883429219597295e-22,0.0006561579868727226,5.139785412693088e-43,0.0001071491988082948,2.928928354896581e-44,8.696961508942492e-05,2.093529069946887e-09,0.0016772686225329317,9.443629190936335,0.0,0.0,0.0,0.0,0.0,0.0
10.366666666666667,8.893617,8.231972981518512,1.8473313773273514e-22,0.0006507650010787603,3.97328152381276e-43,0.00010429930484208208,1.8107934210264737e-44,8.101734088780603e-05,1.666190817323508e-09,0.001424836213031863,8.22971206199248,0.0,0.0,0.0,0.0,0.0,0.0
10.383333333333333,7.9246807,7.1269041115896545,1.6341015624424132e-22,0.0006454158733553137,3.0713894430809265e-43,0.0001015240945871441,1.119513438572131e-44,7.546941097648921e-05,1.3255553753106668e-09,0.001209638209952001,7.124872062675228,0.0,0.0,0.0,0.0,0.0,0.0
10.4,7.0540423,6.131890841894203,1.445454970558743e-22,0.0006401102529840381,2.3741148142832084e-43,9.882164824125978e-05,6.921336367109766e-45,7.029860317017237e-05,1.0541457995747018e-09,0.0010263151745084605,6.130055295161153,0.0,0.0,0.0,0.0,0.0,0.0
10.416666666666666,6.281702,5.244711119844388,1.2785608696279728e-22,0.0006348477919705369,1.8350584919298895e-43,9.619009408405927e-05,4.279084272859908e-45,6.547950800712611e-05,8.379833422554665e-10,0.000870255840507492,5.243044345771835,0.0,0.0,0.0,0.0,0.0,0.0
10.433333333333334,5.593617,4.460766111925675,1.1309140702808847e-22,0.0006296281450243757,1.4183373832387378e-43,9.362760731670766e-05,2.6455255501461406e-45,6.098840968375372e-05,6.658925680296518e-10,0.0007374967495814825,4.459244370348176,0.0,0.0,0.0,0.0,0.0,0.0
10.45,4.994468,3.7737753356380033,1.0002975367008524e-22,0.0006244509695392325,1.0962023089427988e-43,9.113240892803414e-05,1.6355857401235114e-45,5.680317467308156e-05,5.289433606024366e-10,0.0006246346308838234,3.7723783139250355,0.0,0.0,0.0,0.0,0.0,0.0
10.466666666666669,4.470213,3.1763702646550813,8.847492858310518e-23,0.0006193159255731662,8.471951873731308e-44,8.870276458655136e-05,1.0111949759085386e-45,5.290314754280377e-05,4.200030968956422e-10,0.0005287500351296633,3.175080592362246,0.0,0.0,0.0,0.0,0.0,0.0
10.483333333333333,4.0114894,2.6605845175667646,7.825330837662574e-23,0.0006142226758290261,6.547235039055093e-44,8.633698355784076e-05,6.251679727501851e-46,4.926905351808123e-05,3.333774306982893e-10,0.0004473408836987463,2.6593873476367835,0.0,0.0,0.0,0.0,0.0,0.0
10.5,3.6182978,2.2182450021095548,6.921125043474498e-23,0.000609170885634966,5.059576272649163e-44,8.403341764676128e-05,3.865082489021661e-46,4.588290736208151e-05,2.6452230501595555e-10,0.0003782647335660238,2.2171276499008226,0.0,0.0,0.0,0.0,0.0,0.0
10.516666666666667,3.2765956,1.8412724919355057,6.121279647343171e-23,0.0006041602229251094,3.9097789538472136e-44,8.179046016398254e-05,2.389577053224832e-46,4.272792817350257e-05,2.0981318909521053e-10,0.00031968868790507296,1.8402241244265247,0.0,0.0,0.0,0.0,0.0,0.0
10.533333333333331,2.986383,1.521902468348145,5.41376396802128e-23,0.0005991903582203204,3.021149257009994e-44,7.960654491631577e-05,1.4773504714632329e-46,3.978845972493915e-05,1.6636026372817108e-10,0.00027004600040375626,1.5209138368185193,0.0,0.0,0.0,0.0,0.0,0.0
