time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9
20.166666666666668,0.023404256,3.1564595568889043e-06,2.682912874139633e-188,2.8146541045095665e-17,9.801423063444935e-36,7.345634425481977e-88,2.036123287000464e-51,4.139278825541712e-34,3.156459556860758e-06,0.0,0.0
20.183333333333334,0.023404256,2.8749523705095545e-06,1.5614769843082154e-188,2.6683703228161305e-17,8.59414345307378e-36,5.052541424511714e-88,1.5410164667524568e-51,3.3505262673807716e-34,2.874952370482871e-06,0.0,0.0
20.2,0.023404256,2.618221120716128e-06,9.087923619706575e-189,2.529687130641902e-17,7.535503318182742e-36,3.475205323441885e-88,1.166260254774087e-51,2.7119741340006804e-34,2.618221120690831e-06,0.0,0.0
20.216666666666665,0.023404256,2.3841186631869366e-06,5.2892465629371605e-189,2.3982097322644515e-17,6.607210544776454e-36,2.390237746714062e-88,8.826097437633847e-52,2.195039296772335e-34,2.3841186631629545e-06,0.0,0.0
20.23333333333333,0.023404256,2.1706805489798087e-06,3.078385606094476e-189,2.2735638325026342e-17,5.79322307213644e-36,1.6439621321921507e-88,6.679240236127688e-52,1.7765742625342736e-34,2.170680548957073e-06,0.0,0.0
20.25,0.023404256,1.9761098213540453e-06,1.7916463522238853e-189,2.1553945725267205e-17,5.079472251878477e-36,1.1306615605494424e-88,5.054411228738553e-52,1.43783420680428e-34,1.9761098213324913e-06,0.0,0.0
20.266666666666666,0.023404256,1.7987630431361454e-06,1.0427534186175997e-189,2.043365520892424e-17,4.453620203204325e-36,7.776131315575296e-89,3.8247169684691574e-52,1.1636401673095547e-34,1.7987630431157118e-06,0.0,0.0
20.28333333333333,0.023404256,1.6371374585401473e-06,6.06891447734424e-190,1.937157716933751e-17,3.904846988642664e-36,5.347917707611076e-89,2.8940985074196428e-52,9.417011742858378e-35,1.6371374585207757e-06,0.0,0.0
20.3,0.023404256,1.4898592004995516e-06,3.532160869806835e-190,1.836468763799122e-17,3.423663947215652e-36,3.677867239705031e-89,2.189841340900004e-52,7.620651522805951e-35,1.4898592004811869e-06,0.0,0.0
20.316666666666663,0.023404256,1.355672461217057e-06,2.0557485598840084e-190,1.741011968555144e-17,3.0017499716973994e-36,2.529284104289318e-89,1.65690413762914e-52,6.16674149117508e-35,1.3556724611996469e-06,0.0,0.0
20.33333333333333,0.023404256,1.2334295498248954e-06,1.1964638364267953e-190,1.6505155269159957e-17,2.631807911177731e-36,1.7393598673328576e-89,1.2536247623339627e-52,4.990040844430233e-35,1.2334295498083903e-06,0.0,0.0
20.35,0.023404256,1.1220817668014125e-06,6.963526297908323e-191,1.5647217502839463e-17,2.3074386262758864e-36,1.1961112385658486e-89,9.484692271752767e-53,4.03772968175401e-35,1.1220817667857653e-06,0.0,0.0
20.366666666666667,0.023404256,1.0206710301315567e-06,4.0528350225044053e-191,1.483386332905547e-17,2.0230305279903342e-36,8.225153702670936e-90,7.175703524553603e-53,3.2670458466081743e-35,1.0206710301167228e-06,0.0,0.0
20.383333333333333,0.023404256,9.283221931618908e-07,2.358786819483891e-191,1.4062776570619397e-17,1.7736626975512116e-36,5.655966514465814e-90,5.428643760373464e-53,2.643371063703569e-35,9.28322193147828e-07,0.0,0.0
20.4,0.023404256,8.442359987069013e-07,1.3728355622271799e-191,1.3331761343207892e-17,1.5550199183235433e-36,3.8891977253770415e-90,4.1068029853714557e-53,2.1386810094974258e-35,8.442359986935696e-07,0.0,0.0
20.416666666666668,0.023404256,7.676826182337165e-07,7.990030007212121e-192,1.2638735809781973e-17,1.3633181558008115e-36,2.674260026926576e-90,3.1067200413936284e-53,1.7302901605582312e-35,7.676826182210778e-07,0.0,0.0
20.433333333333334,0.023404256,6.979957289138782e-07,4.650272054274056e-192,1.1981726259170551e-17,1.195239201558444e-36,1.8388135222597647e-90,2.35009894559858e-53,1.3998353958493797e-35,6.979957289018965e-07,0.0,0.0
20.45,0.023404256,6.345670849999528e-07,2.706502127696836e-192,1.1358861491995997e-17,1.0478733547853117e-36,1.2643351756018496e-90,1.7776899161547188e-53,1.1324529689821178e-35,6.34567084988594e-07,0.0,0.0
20.466666666666665,0.023404256,5.768415433843281e-07,1.575209946352775e-192,1.0768367497998939e-17,9.18669153393176e-37,8.693151702400238e-91,1.3446577418760456e-53,9.161120872376729e-36,5.768415433735598e-07,0.0,0.0
20.48333333333333,0.018723404,5.243125063434855e-07,9.16787279180563e-193,1.020856240963876e-17,8.053892880911113e-37,5.976994158232378e-91,1.0170760889938905e-53,7.410753185694404e-36,5.243125063332769e-07,0.0,0.0
20.5,0.023404256,4.7651774738290454e-07,5.335790536054358e-193,9.677851717636786e-18,7.060719392945555e-37,4.10940522563299e-91,7.692741254988275e-54,5.994617062466474e-36,4.765177473732267e-07,0.0,0.0
20.516666666666666,0.023404256,4.330355887905697e-07,3.1054820730324715e-193,9.174723734869777e-18,6.189968701432191e-37,2.8253073559040965e-91,5.818283142846531e-54,4.848930548271344e-36,4.3303558878139494e-07,0.0,0.0
20.53333333333333,0.023404256,3.9348140199638354e-07,1.8074210706443508e-193,8.697745295725174e-18,5.426556908345849e-37,1.9424196126704226e-91,4.4004255490370835e-54,3.922075646119765e-36,3.934814019876858e-07,0.0,0.0
20.55,0.023404256,3.57504404135742e-07,1.0519369623553654e-193,8.245557678702308e-18,4.757257813496629e-37,1.3353990432792092e-91,3.327979588016406e-54,3.172279998475134e-36,3.5750440412749646e-07,0.0,0.0
