time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15,peak_16,peak_17,peak_18,peak_19,peak_20,peak_21,peak_22,peak_23,peak_24
8.0,0.5055319,0.5659200099098531,1.1192683012730338e-17,4.8739810599501715e-30,0.03647727370462254,0.00437609209786978,1.4926296956863003e-15,0.5052773303370459,0.019789313770313344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.016666666666667,0.50085104,0.5745222512809638,9.228822336782476e-18,3.326164634642172e-30,0.03649234260063235,0.004346158361943098,9.194947995099521e-16,0.5013632522256984,0.03232049809268894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.033333333333333,0.49148935,0.5860569573823208,7.608684710726211e-18,2.2694613457154113e-30,0.03650584092595133,0.004316393785333816,5.664232946004377e-16,0.49581229449219066,0.04942242817884431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.05,0.48212767,0.6012148143246805,6.272266397673387e-18,1.5481809280581463e-30,0.03651778243499169,0.004286798090506685,3.4892148864144237e-16,0.4888365526475143,0.07157368115166748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.066666666666666,0.47276595,0.6204432557399203,5.170010041168836e-18,1.055944837723627e-30,0.0365281808754657,0.004257370983172152,2.1493604701405465e-16,0.48063126329917405,0.09902644058210823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.083333333333334,0.46340424,0.6439237321534085,4.260991183565819e-18,7.200821672971122e-31,0.036537049986283716,0.004228112152819553,1.3239935478421662e-16,0.4713754167050811,0.13178315330922394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.45404255,0.6715705224116609,3.511418659795468e-18,4.909586182360583e-31,0.036544403495504134,0.00419902127323593,8.155633217473179e-17,0.46123248508956993,0.16959461255335087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.116666666666667,0.45404255,0.7030482181358443,2.893394712632613e-18,3.346805083594127e-31,0.036550255118334526,0.004170098003010833,5.023713215251063e-17,0.45035122446321124,0.2119766405512876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.133333333333333,0.45404255,0.7378038215650411,2.383889987841782e-18,2.2810737918975053e-31,0.03655461855518272,0.00414134198602757,3.0944783794118074e-17,0.43886651817209743,0.2582413428517333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.15,0.46340424,0.77510892825109,1.963896284146065e-18,1.5544340691966786e-31,0.03655750748975711,0.004112752851941239,1.9060998455605927e-17,0.4269002383309767,0.307538429578415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.166666666666666,0.4774468,0.8141075462905729,1.6177263262389111e-18,1.0590830067093902e-31,0.03655893558721505,0.004084330216644011,1.1740849864965678e-17,0.41456210733725984,0.35890217314945405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.183333333333334,0.4961702,0.8538655596511213,1.332435125128666e-18,7.214613521050573e-32,0.036558916492358505,0.004056073682717919,7.231846984317529e-18,0.40195054629600924,0.41130002318003567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.51957446,0.8934185209090322,1.0973418765986616e-18,4.9138531008186975e-32,0.03655746382787613,0.004027982839875639,4.454457649534299e-18,0.38915350075478394,0.46367957348649647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.216666666666667,0.55234045,0.9318152337838379,9.036349811267091e-19,3.3462465195661503e-32,0.03655459119263062,0.004000057265389485,2.7436989319882754e-18,0.37624923690419987,0.515011348421618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.233333333333333,0.5851064,0.9681553650520427,7.440457763666639e-19,2.2783528928523996e-32,0.036550312159990925,0.0039722965245090665,1.68995128964452e-18,0.36330710353342793,0.5643256528341148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,0.61787236,1.0016200448963064,6.125790633350546e-19,1.551000624031166e-32,0.03654464027620782,0.003944700170867824,1.0408978877965827e-18,0.35038825668014106,0.6107424477690897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.266666666666667,0.65531915,1.0314950356876804,5.042905685763232e-19,1.0556780398054746e-32,0.03653758905883269,0.003917267746878849,6.411185853615555e-19,0.3375463451889063,0.6534938336930625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.283333333333333,0.6880851,1.0571865527252176,4.151031904236631e-19,7.184228626561218e-33,0.03652917199517818,0.003889998784120231,3.9487986885366336e-19,0.3248281563721101,0.691939225573809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.72085106,1.0782302025278052,3.4165528906601117e-19,4.888307793270177e-33,0.036519402540820214,0.003862892803710232,2.432137328115461e-19,0.31227422171659863,0.725573685466676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.316666666666666,0.7489362,1.0942937711208818,2.811754480604989e-19,3.3255790548295207e-33,0.03650829411814034,0.003835949316672621,1.4979859756399943e-19,0.29991938314615324,0.7540301445399157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.333333333333334,0.7723404,1.1051747590675767,2.3137910111464322e-19,2.262074620799406e-33,0.03649586011490787,0.0038091678242923536,9.226224873896579e-20,0.2877933207730505,0.777076410355326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.35,0.79574466,1.1107936378695393,1.9038321713882748e-19,1.5384311814230661e-33,0.036482113882900895,0.0037825478184619673,5.682468465791148e-20,0.27592104338160617,0.7946079327865703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.366666666666667,0.8097872,1.1111838110906422,1.5663589750996442e-19,1.0461194715811923e-33,0.0364670687365654,0.0037560887820188454,3.499828937220409e-20,0.2643233431063323,0.8066373104657256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.383333333333333,0.8144681,1.1064792200094677,1.2885828602749937e-19,7.112415605903052e-34,0.03645073795171192,0.003729790189073706,2.155526950037458e-20,0.25301721591640614,0.8132814759522758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.8191489,1.0969004532222062,1.0599664391995508e-19,4.834885026565116e-34,0.03643313476424881,0.0037036515053304356,1.3275687530106263e-20,0.24201624961130275,0.8147474173413243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.416666666666666,0.8144681,1.082740115813198,8.718281581968912e-20,3.2861615460953373e-34,0.03641427236895149,0.0036776721883976394,8.176314325255608e-21,0.2313309810820592,0.8113171901737896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.433333333333334,0.8051064,1.064348097626619,7.170162139597497e-20,2.2331913832216395e-34,0.036394163918267074,0.003651851688091992,5.0356460086050245e-21,0.2209692246080591,0.803332857412201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.79106385,1.0421172606533466,5.896396252421268e-20,1.5173919968156433e-34,0.03637282252115356,0.0036261894467337417,3.1013438988768593e-21,0.21093637294849504,0.7911818757369643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.466666666666667,0.7770213,1.0164699492748057,4.84846467422966e-20,1.0308725503555962e-34,0.03635026124195284,0.003600684899434475,1.910037265734058e-21,0.2012356729567027,0.7752833301767156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.483333333333333,0.753617,0.9878456188341475,3.986410197652329e-20,7.002417898449375e-35,0.036326493099297245,0.003575337474377419,1.1763349321442232e-21,0.19186847739965945,0.7560753108608134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
