time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15,peak_16,peak_17
27.53333333333333,0.0,0.0022860627868227746,0.0,6.257224923505485e-20,1.1772024094271604e-90,8.323622020620507e-80,3.2348649886005025e-159,3.612388955061304e-125,1.2705520810506027e-97,5.512936093227422e-41,2.892329138691249e-54,3.268185921367114e-07,0.0017065264766660136,1.718762032714724e-22,0.0005792094915646242,0.0,0.0,0.0,0.0
27.55,0.0,0.0022627424646882548,0.0,6.023957544532546e-20,9.694964434420151e-91,6.978131287084163e-80,2.2189851221056134e-159,2.617546781042985e-125,9.718861084032268e-98,4.760637664737586e-41,2.2792038126656494e-54,3.1703602567023046e-07,0.0016933240418199513,1.447506859236995e-22,0.000569101386842633,0.0,0.0,0.0,0.0
27.566666666666663,0.0,0.0022397872717856418,0.0,5.799384257564243e-20,7.984345713422209e-91,5.850119389180184e-80,1.522121066976094e-159,1.8966654689165563e-125,7.434195430361756e-98,4.110963664327087e-41,1.796010844114757e-54,3.0754449446195134e-07,0.0016802217248498492,1.2190071549184632e-22,0.0005592580024413305,0.0,0.0,0.0,0.0
27.58333333333333,0.0,0.0022171807234272166,0.0,5.583181105196169e-20,6.575525774656317e-91,4.9044366847929826e-80,1.0440963689100919e-159,1.3743057667114125e-125,5.686542352209446e-98,3.549919444777531e-41,1.4152237879161703e-54,2.9833540081940167e-07,0.0016672187908956645,1.0265325567142431e-22,0.0005496635971307328,0.0,0.0,0.0,0.0
27.6,0.0,0.002194908202348072,0.0,5.3750361981606197e-20,5.415264543579e-91,4.111614104536915e-80,7.161905105642526e-160,9.95800531573336e-126,4.349689905749199e-98,3.0654181063963974e-41,1.1151458945201487e-54,2.894003989665656e-07,0.0016543145101790987,8.644107347618978e-23,0.0005403042917700065,0.0,0.0,0.0,0.0
27.616666666666667,0.0,0.004296734251588974,0.0,5.1746492658823506e-20,4.4597130437859956e-91,3.446945177854148e-80,4.9126195717974236e-160,7.2153549338203e-126,3.327086090649538e-98,2.647020526185209e-41,8.786758611481148e-55,2.807313877337791e-07,0.0016415081579727788,7.278612984299046e-23,0.0005311677592587825,0.002123777602969678,0.0,0.0,0.0
27.633333333333333,0.004680851,0.0038834832080870936,0.0,4.981731223767187e-20,3.672757053944685e-91,2.889716391236235e-80,3.369723813232963e-160,5.228046159642199e-126,2.5448694770230174e-98,2.2857108006071622e-41,6.923348104062622e-55,2.7232050345726975e-07,0.0016287990145695437,6.128557387505163e-23,0.0005222429775261759,0.0017321688954879163,0.0,0.0,0.0
27.65,0.004680851,0.0036565086268819554,0.0,4.7960037566025267e-20,3.024652870431682e-91,2.4225619119708965e-80,2.3113839186938363e-160,3.788065699182765e-126,1.946537290844905e-98,1.9737022796581652e-41,5.454992259848306e-55,2.641601130824682e-07,0.0016161863652518775,5.159993319599426e-23,0.0005135200307172263,0.0015265380707997689,0.0,0.0,0.0
27.666666666666668,0.004680851,0.0034975769102614106,0.0,4.617198917468175e-20,2.4909036664177993e-91,2.0309225828838575e-80,1.5854278451686896e-160,2.7446816235124258e-126,1.488866277735158e-98,1.7042700263462093e-41,4.297962652759555e-55,2.5624280746528614e-07,0.0016036695002614617,4.344315657498001e-23,0.0005049899476647321,0.0013886612195277517,0.0,0.0,0.0
27.683333333333334,0.0,0.003373518763188798,0.0,4.4450587415812256e-20,2.0513340202401801e-91,1.702592340098513e-80,1.0874705278876807e-160,1.9886705224994996e-126,1.1387920261344961e-98,1.4716061027825196e-41,3.386270871732855e-55,2.4856139486578215e-07,0.0015912477147688496,3.65742187346306e-23,0.0004966445695168667,0.0012853779175082155,0.0,0.0,0.0
27.7,0.0,0.0032705620833621968,0.0,4.2793348745187875e-20,1.689327666793202e-91,1.4273379278939498e-80,7.459077788761684e-161,1.440887571074547e-126,8.710215685950997e-99,1.2706945740087616e-41,2.6679110244263896e-55,2.411088946287283e-07,0.0015789203088432413,3.0790042615137716e-23,0.0004884764403902459,0.0012029242252340807,0.0,0.0,0.0
27.716666666666665,0.0,0.0031817292496882977,0.0,4.119788214283452e-20,1.3911996876600214e-91,1.1965800670545372e-80,5.116222337521e-161,1.0439837969594389e-126,6.6620697843226975e-99,1.0972035439429179e-41,2.101897859337822e-55,2.3387853104583403e-07,0.0015666865874224133,2.59195326478363e-23,0.00048047871637413054,0.001134330067360708,0.0,0.0,0.0
27.73333333333333,0.0,0.0031030193651077486,0.0,3.966188566696067e-20,1.1456794312680511e-91,1.0031261466809507e-80,3.509217783575939e-161,7.564040278684627e-127,5.09548152194314e-99,9.473919034761489e-42,1.655932095160374e-55,2.2686372739444157e-07,0.0015545458602827548,2.1818544892978462e-23,0.00047264508928470734,0.001075601551812892,0.0,0.0,0.0
27.75,0.0,0.0030319341980409665,0.0,3.81831431362013e-20,9.434846350370542e-92,8.409461138676617e-81,2.406954489143863e-161,5.480375622739509e-127,3.897239345711445e-99,8.180287866429507e-42,1.3045601826910832e-55,2.2005810014769053e-07,0.0015424974420094292,1.8365647151920876e-23,0.00046496972236872443,0.001024246975562665,0.0,0.0,0.0
27.766666666666666,0.0,0.0029668129892434056,0.0,3.6759520935397293e-20,7.769706650414065e-92,7.049845808657041e-81,1.6509050161397111e-161,3.970664971512933e-127,2.9807443440044512e-99,7.06324003678206e-42,1.0277238227676938e-55,2.1345545335130763e-07,0.001530540651966674,1.5458545160268076e-23,0.000457447195758795,0.0009786116860645852,0.0,0.0,0.0
27.78333333333333,0.0,0.0029064973047841828,0.0,3.5388964940312555e-20,6.398416250932875e-92,5.9100329722876895e-81,1.1323298417759013e-161,2.876819382636742e-127,2.2797550689218973e-99,6.098679555222477e-42,8.096167176212701e-56,2.070497731622607e-07,0.0015186748142682035,1.301107037019114e-23,0.0004500724599415354,0.0009375429808012817,0.0,0.0,0.0
27.8,0.0,0.002850147646257132,0.0,3.406949755686317e-20,5.269124234145351e-92,4.954490800926441e-81,7.766413016845657e-162,2.0842911644129736e-127,1.743602453655397e-99,5.2657973799183074e-42,6.377834998003554e-56,2.0083522254470182e-07,0.0015068992577477564,1.095064119824512e-23,0.0004428407958521586,0.0009002067574346725,0.0,0.0,0.0
