time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15,peak_16
27.83333333333333,0.0,0.019355349142402264,1.904149956179768e-14,8.217880506114191e-14,0.0,7.406642256092275e-80,2.5641548354345036e-92,6.655609373114889e-69,2.7055519718885984e-163,2.6634878317354375e-130,6.390903449002869e-97,1.7766096719634092e-36,1.0040323223460749e-50,1.7233148105036704e-22,2.3974522132378773e-09,5.8604498217411354e-05,0.018293660891127102,0.001003081355504316
27.85,0.0,0.019346825951706437,1.876373621822414e-14,8.106856754653725e-14,0.0,6.2787363185930216e-80,2.1069558320879983e-92,5.724625493110592e-69,1.8485127163507547e-163,1.9133892424451134e-130,4.918293601888921e-97,1.561270966377972e-36,8.084983139523444e-51,1.4652967531070862e-22,2.1564005920709584e-09,5.6691478758652876e-05,0.018397602620185867,0.0008925296962614909
27.866666666666667,0.0,0.019346568607035427,1.849002516631198e-14,7.997333287529062e-14,0.0,5.322571313401417e-80,1.7312690457616936e-92,4.923855935713912e-69,1.2629486217284276e-163,1.374523368061518e-130,3.7849710805900397e-97,1.3720215597524476e-36,6.510318965230464e-51,1.245862025257607e-22,1.9394305092677042e-09,5.484075423021344e-05,0.018498749349530302,0.0007929765637459387
27.883333333333333,0.004680851,0.019353695004473873,1.8220307279492875e-14,7.889289825963138e-14,0.0,4.512000130810814e-80,1.4225634535407854e-92,4.2350895586473813e-69,8.6287047568741e-164,9.874090960369817e-131,2.9127727924194296e-97,1.2057020207809725e-36,5.242243200086438e-51,1.0592483318982872e-22,1.7441530849604475e-09,5.305030248631976e-05,0.018597136424647248,0.0007035065330901073
27.9,0.0,0.019367371315009776,1.7954524294029388e-14,7.782706365355628e-14,0.0,3.824856018017141e-80,1.1688981852019362e-92,3.642661915165967e-69,5.895249994004393e-164,7.093136597883693e-131,2.241540500988327e-97,1.059535352995735e-36,4.2210824884052016e-51,9.005528239075086e-23,1.5684145723889924e-09,5.1318166744265604e-05,0.01869279890534708,0.0006232526744080791
27.916666666666668,0.0,0.0193868141504896,1.769261879642139e-14,7.677563171574791e-14,0.0,3.242346724669522e-80,9.60460876355091e-93,3.133099149249505e-69,4.027685403918787e-164,5.09537010357197e-131,1.724973854501679e-97,9.310807243208501e-37,3.3987742191708677e-51,7.656040866105419e-23,1.4102734146474144e-09,4.964245348400374e-05,0.01878577156395521,0.0005513987226825013
27.933333333333334,0.0,0.019411291624010642,1.7434534210997386e-14,7.573840777299549e-14,0.0,2.7485408550308364e-80,7.891882930782382e-93,2.694811680456477e-69,2.751728356430367e-164,3.6602383283111813e-131,1.3274384630028886e-97,8.18192792181456e-37,2.736608169702534e-51,6.50853168229932e-23,1.2679795183596755e-09,4.802133041466591e-05,0.01887608888375601,0.00048718014176727504
27.95,0.0,0.019440123493744285,1.718021478768575e-14,7.471519978411025e-14,0.0,2.3299323952880342e-80,6.4845456772324195e-93,2.3178307176166978e-69,1.879975921093652e-164,2.629294424332863e-131,1.0215091003793016e-97,7.189859478178731e-37,2.2034072615035207e-51,5.532808204917379e-23,1.1399555324304541e-09,4.645302450590131e-05,0.01896378505767323,0.00042988427151772443
27.966666666666665,0.0,0.01947268055947506,1.6929605589965082e-14,7.370581830432939e-14,0.0,1.975071519520465e-80,5.328149976851811e-93,1.9935816136045155e-69,1.2843864934823852e-164,1.8887101317367332e-131,7.860787445127952e-98,6.318028851672685e-37,1.7740620776250195e-51,4.7031854294588966e-23,1.0247799400081763e-09,4.4935820081998684e-05,0.019048893987171037,0.0003788497273514475
27.98333333333333,0.004680851,0.019508383461855485,1.6682652482990764e-14,7.271007645020113e-14,0.0,1.6742515879840992e-80,4.377955056723187e-93,1.7146889104843824e-69,8.774773086521762e-165,1.3567119196018976e-131,6.04903148498822e-98,5.551869715188599e-37,1.4283503746949697e-51,3.9978137981104055e-23,9.211717899268308e-10,4.346805697680994e-05,0.01913144928136189,0.0003334652022556015
28.0,0.004680851,0.019546701015889175,1.6439302121894222e-14,7.172778986494535e-14,0.0,1.4192437861308562e-80,3.5971962429563834e-93,1.4748086443692703e-69,5.994773608432575e-165,9.745546980372259e-132,4.654806410522934e-98,4.87857960318449e-37,1.14998618546615e-51,3.3981072249861715e-23,8.279769103360323e-10,4.204812874756085e-05,0.019211484256307837,0.00029316780276869965
