time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15,peak_16,peak_17,peak_18
24.58333333333333,0.004680851,0.011931842004680069,2.433132700459275e-08,8.871177532428598e-31,0.0,8.480941400256332e-93,1.1920870855285309e-07,3.0890799866215795e-250,1.2897104089594587e-15,4.3295623193750503e-79,5.7041302926414507e-67,1.0200236092766262e-129,9.522128887016675e-103,4.939575798526927e-77,3.851694144239051e-33,8.325734706483051e-36,0.011931695707047165,2.7575960551857037e-09,0.0,0.0
24.6,0.009361702,0.011843650392767677,2.4104574429536843e-08,8.462138934670284e-31,0.0,7.160850413259378e-93,1.1810120387281655e-07,1.793303375965094e-250,1.2459511825477246e-15,3.536563905019944e-79,4.774997613821848e-67,7.019754665712003e-130,6.858198148864052e-103,3.787499439833809e-77,3.266745667387925e-33,6.607691109896523e-36,0.011843505811075515,2.3759126139041946e-09,0.0,0.0
24.616666666666667,0.004680851,0.011756073533376814,2.3879931416145375e-08,8.071959450988048e-31,0.0,6.046234887382665e-93,1.1700396550975254e-07,1.0410655423516647e-250,1.2036761421268023e-15,2.8887904867022733e-79,3.997193089395629e-67,4.830907526928745e-130,4.939469090768075e-103,2.9040828890982474e-77,2.770576490706412e-33,5.24393921784307e-36,0.011755930602735241,2.046743443053778e-09,0.0,0.0
24.633333333333333,0.009361702,0.011669107679181692,2.3657378377314558e-08,7.699769617637238e-31,0.0,5.105112328892471e-93,1.1591689854676965e-07,6.043688511147251e-251,1.1628349678712726e-15,2.359650088845049e-79,3.3460725086922665e-67,3.3245326723071425e-130,3.557499107887426e-103,2.2266859194839794e-77,2.3497209479879724e-33,4.161466523955606e-36,0.011668966341993516,1.7629100892782978e-09,0.0,0.0
24.65,0.004680851,0.011582749097495985,2.343689590738466e-08,7.3447400533035996e-31,0.0,4.310478313056515e-93,1.1483990894178486e-07,3.5085346394588875e-251,1.123379045300018e-15,1.927419283752178e-79,2.8010046016503372e-67,2.2878502177229267e-130,2.5621445373400535e-103,1.7072709812820371e-77,1.992754450596946e-33,3.3022966871856254e-36,0.011582609302481577,1.5182084353031913e-09,0.0,0.0
24.666666666666668,0.004680851,0.011496994070278049,2.3218464780464058e-08,7.006079611416776e-31,0.0,3.6395316554483573e-93,1.1377290351949124e-07,2.0368036285281403e-251,1.0852614075070023e-15,1.5743519666736717e-79,2.3447176636107682e-67,1.5744166876515181e-130,1.8452565852044986e-103,1.3089995939806233e-77,1.689984315589309e-33,2.62039514652943e-36,0.011496855771631188,1.3072774754474343e-09,0.0,0.0
24.683333333333334,0.004680851,0.011411838894148558,2.300206594876823e-08,6.683033617631898e-31,0.0,3.073020183067751e-93,1.1271578996340019e-07,1.1824213084729818e-251,1.0484366793481583e-15,1.2859512532972265e-79,1.9627525488752403e-67,1.083445085596859e-130,1.3289364944803721e-103,1.003621922048824e-77,1.4331873934494063e-33,2.079211095693578e-36,0.011411702050805982,1.1254856138741317e-09,0.0,0.0
24.7,0.004680851,0.011327279880417995,2.278768054097439e-08,6.374882188552933e-31,0.0,2.594688334433745e-93,1.1166847680795364e-07,6.864280655157683e-252,1.0128610235180568e-15,1.0503746473596792e-79,1.643004718263985e-67,7.455714311790223e-131,9.570751315268696e-104,7.69474720549291e-78,1.2153874163241738e-33,1.649725045352838e-36,0.011327144455427466,9.688321678735035e-10,0.0,0.0
24.716666666666665,0.004680851,0.011243313355122504,2.2575289860591005e-08,6.080938627953459e-31,0.0,2.1908107393888594e-93,1.1063087343071048e-07,3.984900791192143e-252,9.784920884525084e-16,8.579480884212517e-80,1.3753408440970115e-67,5.130583477532907e-131,6.892585928370304e-104,5.899458914673272e-78,1.0306660576843422e-33,1.308898054529393e-36,0.011243179315096174,8.338620617849983e-10,0.0,0.0
24.73333333333333,0.004680851,0.011159935659066169,2.2364875384342555e-08,5.800547896922406e-31,0.0,1.8497983961950782e-93,1.0960289004460422e-07,2.3133412032437437e-252,9.452889579952948e-16,7.007689528412174e-80,1.1512778355620135e-67,3.53052600210644e-131,4.9637821570588276e-104,4.52296917975073e-78,8.74002602765311e-34,1.0384400562682782e-36,0.011159802973707833,7.175919612568714e-10,0.0,0.0
