time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10,peak_11,peak_12,peak_13,peak_14
28.2,0.004680851,0.018238024174325303,0.0,4.662545995512204e-34,3.44326440610511e-91,2.7762636018063794e-75,1.3128630486253546e-165,1.429490854125285e-131,8.025566184086149e-102,1.6809948263247762e-48,3.838525806050158e-59,0.002684475231763906,0.002436198759172443,4.844570703355467e-22,0.0011521143407171492,0.011965235842671805
28.216666666666665,0.004680851,0.018067378720232022,0.0,4.368202346521458e-34,2.851673443180085e-91,2.3644989785678557e-75,9.002189257894058e-166,1.0327377185064963e-131,6.141154814617173e-102,1.42246126852216e-48,3.011545604088661e-59,0.0026640677758510097,0.002417235447968583,4.181898149638215e-22,0.0010814959448541552,0.011904579551558273
28.23333333333333,0.004680851,0.017900789914835166,0.0,4.092437842209992e-34,2.361714947319429e-91,2.0138010166639384e-75,6.172678668121517e-166,7.460968701734561e-132,4.699162322893803e-102,1.2036775355416665e-48,2.3626849640258962e-59,0.002643811922707732,0.002398417283802458,3.609757453185683e-22,0.0010147929233082634,0.011843767785016713
28.25,0.004680851,0.01773809057382277,0.0,3.8340799233667955e-34,1.9559305823266042e-91,1.7151139375057897e-75,4.232490789813574e-166,5.390101276240334e-132,3.5957285003651644e-102,1.0185339371370832e-48,1.853589715232626e-59,0.002623706586937509,0.002379743184814632,3.1157964309807373e-22,0.0009518238214291251,0.011782816980641502
28.266666666666666,0.004680851,0.017579118137449952,0.0,3.592030022024281e-34,1.6198607073781853e-91,1.4607247693408982e-75,2.9021189011234344e-166,3.8939930070333885e-132,2.7513724839921457e-102,8.618595693108254e-49,1.454162199403918e-59,0.0026037506904163636,0.002361212076845731,2.6893459842423e-22,0.0008924124116385418,0.011721742958549315
28.28333333333333,0.004680851,0.017423714862996157,0.0,3.365258893136416e-34,1.3415293611442158e-91,1.2440642491731858e-75,1.989899830764007e-166,2.813130961113846e-132,2.1052707028327985e-102,7.2927811087312e-49,1.1407843734069936e-59,0.0025839431622506886,0.0023428228933865015,2.3211910819753586e-22,0.000836387860484859,0.011660560946874109
28.3,0.004680851,0.017271727972646016,0.0,3.1528022407503073e-34,1.1110176896939465e-91,1.0595372426224527e-75,1.3644074042849598e-166,2.0322694183157442e-132,1.6108777085811599e-102,6.170857633690445e-49,8.949232154782222e-60,0.0025642829387352187,0.0023245745755281245,2.0033728619557234e-22,0.0007835848524199204,0.011599285605962753
28.316666666666663,0.004680851,0.01712300976111981,0.0,2.9537566200954563e-34,9.20110631182932e-92,9.02378305794938e-76,9.355214826356851e-167,1.468145735539194e-132,1.232574766069373e-102,5.221479352371183e-49,7.020362043366095e-60,0.0025447689633111606,0.002306466071912819,1.7290176273908935e-22,0.0007338436745438476,0.011537931051351983
28.33333333333333,0.004680851,0.016977417667107742,0.0,2.7672755981876244e-34,7.620042778779271e-92,7.685286619014226e-76,6.414463118968389e-167,1.060604866095667e-132,9.4310501992825e-103,4.41811792675065e-49,5.507123228953646e-60,0.002525400186524423,0.0022884963386846095,1.4921890893837398e-22,0.0006870102662974611,0.011476510875601248
28.35,0.004680851,0.016834814312298246,0.0,2.5925661566420853e-34,6.310634959756273e-92,6.545314178748187e-76,4.3980859886010784e-167,7.661867382987128e-133,7.216106463532932e-103,3.738322412858442e-49,4.3199791925021127e-60,0.002506175565984064,0.002270664339440448,1.2877606998735953e-22,0.0006429362378224288,0.011415038169051305
28.366666666666667,0.004680851,0.016695067511530208,0.0,2.4288853214184843e-34,5.226211727437759e-92,5.574423168595233e-76,3.0155322787824977e-167,5.534931117485201e-133,5.521307137676146e-103,3.1630927642556837e-49,3.3886765438552955e-60,0.0024870940663208733,0.002252969045181536,1.1113053473651618e-22,0.0006014788604551232,0.011353525539572678
28.383333333333333,0.004680851,0.016558050257349403,0.0,2.275537005182683e-34,4.328119424302416e-92,4.747537233057059e-76,2.0675742481866384e-167,3.998401404115017e-133,4.224516280957612e-103,2.6763495666895814e-49,2.6580931996092207e-60,0.002468154659146049,0.0022354094342648795,9.590000575338583e-23,0.0005625010325747176,0.011291985131363758
28.4,0.004680851,0.016423640682009407,0.0,2.131869048876163e-34,3.5843446987143777e-92,4.04329878845583e-76,1.417604620387315e-167,2.8883987592886363e-133,3.232274116302002e-103,2.2644852274171015e-49,2.0849802419097724e-60,0.0024493563230101227,0.0022179844923551286,8.275436605239687e-23,0.0005258712237894518,0.011230428642854702
28.416666666666668,0.004680851,0.01629172199972408,0.0,1.997270449925723e-34,2.9683738746139078e-92,3.4435175795762535e-76,9.71954655339788e-168,2.086529370817493e-133,2.473064840524431e-103,1.915984110903274e-49,1.635405145768219e-60,0.002430698043361978,0.0022006932123766663,7.140856631933401e-23,0.0004914634002169357,0.0111688673437685
28.433333333333334,0.004680851,0.016162182431759105,0.0,1.8711687653217168e-34,2.4582482330676005e-92,2.932701001451961e-76,6.663981342881289e-168,1.5072609779012934e-133,1.8921647692887066e-103,1.6211010327603671e-49,1.2827454349859245e-60,0.002412178812508063,0.002183534594465945,6.161648035662792e-23,0.0004591569333972368,0.01110731209138786
28.45,0.004680851,0.016034915116738352,0.0,1.753027678533508e-34,2.035781559539157e-92,2.4976540635481127e-76,4.5689713040044235e-168,1.0888022660897863e-133,1.447699880822787e-103,1.3715891492864342e-49,1.006114301231037e-60,0.002393797629571715,0.0021665076459240437,5.316559713860558e-23,0.00042883649516997315,0.01104577334607262
28.466666666666665,0.004680851,0.015909818008342402,0.0,1.6423447199283634e-34,1.6859120886209112e-92,2.1271386708039204e-76,3.132564222798477e-168,7.865135157510544e-134,1.107628879809034e-103,1.1604696559916188e-49,7.891252104034537e-61,0.002375553500452701,0.0021496113811695283,4.587243572945452e-23,0.0004003919406501411,0.010984261186070033
28.48333333333333,0.004680851,0.015786793762386345,0.0,1.5386491310098482e-34,1.396165763725567e-92,1.8115834267924872e-76,2.147723837216058e-168,5.68146040295051e-134,8.474345302318228e-104,9.818368733377146e-50,6.189225270785459e-61,0.002357445437786874,0.002132844821691517,3.9578584759209165e-23,0.0003737181812510349,0.010922785321656919
28.5,0.004680851,0.015665749615086693,0.0,1.4414998634040114e-34,1.1562116932359724e-92,1.542836468123949e-76,1.4724948934533542e-168,4.1040288474484944e-134,6.483569972082979e-104,8.306932839684595e-50,4.854208906198246e-61,0.0023394724609060104,0.0021162069960030225,3.4147281502401465e-23,0.00034871504952719206,0.010861355108650468
