time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8,peak_9,peak_10
17.45,0.0140425535,0.00236854556437751,3.37094216661214e-132,6.538452815069901e-10,2.662296661044923e-27,8.336321112895386e-62,5.679255238677374e-47,6.37446266038895e-35,0.002368544910532229,0.0,0.0,0.0
17.466666666666665,0.0140425535,0.002215718177248834,2.1033655591699306e-132,6.260627024963281e-10,2.2965876044641687e-27,5.741784536808229e-62,4.015304408903645e-47,4.714026137112977e-35,0.0022157175511861313,0.0,0.0,0.0
17.483333333333334,0.0140425535,0.0020721673175145942,1.3124364275509405e-132,5.994579656706993e-10,1.9810761636313816e-27,3.954583146805543e-62,2.838700980455619e-47,3.4858389785197624e-35,0.0020721667180566288,0.0,0.0,0.0
17.5,0.0140425535,0.0019373805759800285,8.189207097888114e-133,5.739812590502801e-10,1.7088775674372432e-27,2.7235539082257614e-62,2.0067581551444036e-47,2.577447216509305e-35,0.0019373800019987695,0.0,0.0,0.0
17.516666666666666,0.0140425535,0.0018108693635933973,5.109818716616393e-133,5.495848716073523e-10,1.474050552595923e-27,1.8756541653263917e-62,1.4185504111694409e-47,1.905634254782513e-35,0.0018108688129858418,1.0226839262442356e-12,0.0,0.0
17.533333333333335,0.0140425535,0.0016921726310053556,3.188373504843779e-133,5.262231049128257e-10,1.2714681699830814e-27,1.2916687759263675e-62,1.0026953269912985e-47,1.4088242623909537e-35,0.0016921676899308942,4.414851356626222e-09,0.0,0.0
17.55,0.0140425535,0.001581086531760865,1.9894496410072937e-133,5.038521884864011e-10,1.096706266253322e-27,8.894698709296184e-63,7.087087868996575e-48,1.041458049673736e-35,0.0015808335864550304,2.524414536461186e-07,0.0,0.0
17.566666666666666,0.0140425535,0.0014799410344222966,1.2413572040457081e-133,4.824301986956484e-10,9.459472246644732e-28,6.124816564277526e-63,5.0088887077019305e-48,7.698296114418698e-36,0.0014764451390091712,3.4954129829267e-06,0.0,0.0
17.583333333333332,0.0140425535,0.0014022832540704652,7.745699553942876e-134,4.6191698105580246e-10,8.158968789965786e-28,4.217322115820098e-63,3.539890380174642e-48,5.6900423534433055e-36,0.0013786019230651206,2.368086908836375e-05,0.0,0.0
17.6,0.0140425535,0.0013910753191860733,4.833086689279894e-134,4.4227407578813114e-10,7.037127993917854e-28,2.903771116224506e-63,2.5015733292183915e-48,4.205373982742285e-36,0.001286923702452628,0.00010415117445936957,0.0,0.0
17.616666666666667,0.0140425535,0.0015439224059639915,3.0157030971895286e-134,4.234646465007337e-10,6.069423949982618e-28,1.999263267471068e-63,1.7677131062883665e-48,3.107865145966407e-36,0.0012010496763321592,0.00034287230616718566,0.0,0.0
