time,signal,fit_total,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7
19.183333333333334,0.004680851,1.1297142312372617e-05,1.8481661754604643e-55,7.412880394568724e-27,7.901017066739501e-77,1.3356054567588582e-56,5.998059575263347e-40,1.1297142312372617e-05,0.0
19.2,0.004680851,9.463623127412805e-06,1.4873725612139803e-55,6.643751330366445e-27,5.4838910000204435e-77,9.705804099532991e-57,4.642490817625433e-40,9.463623127412805e-06,0.0
19.216666666666665,0.004680851,7.922680509111677e-06,1.1969932178806522e-55,5.9543972061689844e-27,3.806120117425687e-77,7.052918078736905e-57,3.5931238759756605e-40,7.922680509111677e-06,0.0
19.23333333333333,0.004680851,6.628536237148586e-06,9.632894647267553e-56,5.3365465176856066e-27,2.6415818431348034e-77,5.124956738669402e-57,2.78082890879497e-40,6.628536237148586e-06,0.0
19.25,0.004680851,5.542410631100657e-06,7.752024700211404e-56,4.782785092132295e-27,1.8333002541688864e-77,3.723880007123246e-57,2.1520748675728596e-40,5.542410631100657e-06,0.0
19.266666666666666,0.004680851,4.631482155837016e-06,6.238306683914474e-56,4.2864672592566015e-27,1.2723046540120865e-77,2.7057354238400783e-57,1.665411625079101e-40,4.631482155837016e-06,0.0
19.28333333333333,0.004680851,3.867996395887778e-06,5.020090554706568e-56,3.8416362225587954e-27,8.829511250611015e-78,1.9658900039553936e-57,1.2887450218528872e-40,3.867996395887778e-06,0.0
19.3,0.004680851,3.228503901558119e-06,4.0397050456067807e-56,3.442952678200384e-27,6.127316103695689e-78,1.4282933107437344e-57,9.972262101706113e-41,3.228503901558119e-06,0.0
19.316666666666663,0.004680851,2.6932090523641925e-06,3.250731185933257e-56,3.0856308276586253e-27,4.251987920459791e-78,1.0376716550047061e-57,7.716168895620101e-41,2.6932090523641925e-06,0.0
19.33333333333333,0.004680851,2.245414416183055e-06,2.6158074570567625e-56,2.7653810185685595e-27,2.950542769169444e-78,7.538534578920195e-58,5.970231940554256e-41,2.245414416183055e-06,0.0
19.35,0.004680851,1.871047135992478e-06,2.1048629499087627e-56,2.4783583274306583e-27,2.0473872933745627e-78,5.476440793588281e-58,4.619151435712118e-41,1.871047135992478e-06,0.0
19.366666666666667,0.004680851,1.5582556789614494e-06,1.6936950860150967e-56,2.2211164688967112e-27,1.420647498612987e-78,3.9782714404144664e-58,3.573672877662538e-41,1.5582556789614494e-06,0.0
